; Candidate 13162
; ADRP+ADD at VM 0xfffffff0091fe9c0 (fileoff 0x21fa9c0): page=0x1fe2a4000 add_imm=0xe74

0xfffffff0091fe940: 4dc100fc  stur	d13, [x10, #0xc]
0xfffffff0091fe944: 1f510c39  strb	wzr, [x8, #0x314]
0xfffffff0091fe948: 1f1903b9  str	wzr, [x8, #0x318]
0xfffffff0091fe94c: ca8800d0  adrp	x10, #0xfffffff00a318000
0xfffffff0091fe950: 4ac547f9  ldr	x10, [x10, #0xf88]
0xfffffff0091fe954: 0a9101f9  str	x10, [x8, #0x320]
0xfffffff0091fe958: 0a810c91  add	x10, x8, #0x320
0xfffffff0091fe95c: 1fa10c39  strb	wzr, [x8, #0x328]
0xfffffff0091fe960: 4ac100fc  stur	d10, [x10, #0xc]
0xfffffff0091fe964: 1fd10c39  strb	wzr, [x8, #0x334]
0xfffffff0091fe968: 1f3903b9  str	wzr, [x8, #0x338]
0xfffffff0091fe96c: ca8800d0  adrp	x10, #0xfffffff00a318000
0xfffffff0091fe970: 4ac947f9  ldr	x10, [x10, #0xf90]
0xfffffff0091fe974: 0aa101f9  str	x10, [x8, #0x340]
0xfffffff0091fe978: 0a010d91  add	x10, x8, #0x340
0xfffffff0091fe97c: 1f210d39  strb	wzr, [x8, #0x348]
0xfffffff0091fe980: 49c100fc  stur	d9, [x10, #0xc]
0xfffffff0091fe984: 1f510d39  strb	wzr, [x8, #0x354]
0xfffffff0091fe988: 1f5903b9  str	wzr, [x8, #0x358]
0xfffffff0091fe98c: 29cd47f9  ldr	x9, [x9, #0xf98]
0xfffffff0091fe990: 09b101f9  str	x9, [x8, #0x360]
0xfffffff0091fe994: 09810d91  add	x9, x8, #0x360
0xfffffff0091fe998: 1fa10d39  strb	wzr, [x8, #0x368]
0xfffffff0091fe99c: 2a15ffd0  adrp	x10, #0xfffffff0074a4000
0xfffffff0091fe9a0: 495542fd  ldr	d9, [x10, #0x4a8]
0xfffffff0091fe9a4: 29c100fc  stur	d9, [x9, #0xc]
0xfffffff0091fe9a8: 1fd10d39  strb	wzr, [x8, #0x374]
0xfffffff0091fe9ac: 1f7903b9  str	wzr, [x8, #0x378]
0xfffffff0091fe9b0: 80038052  mov	w0, #0x1c
0xfffffff0091fe9b4: dfc9c397  bl	#0xfffffff0082f1130
0xfffffff0091fe9b8: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe9bc: 00d107f9  str	x0, [x8, #0xfa0]
0xfffffff0091fe9c0: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe9c4: 00d03991  add	x0, x0, #0xe74
0xfffffff0091fe9c8: 1caac497  bl	#0xfffffff008329238
0xfffffff0091fe9cc: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe9d0: 00d507f9  str	x0, [x8, #0xfa8]
0xfffffff0091fe9d4: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe9d8: 002c3a91  add	x0, x0, #0xe8b
0xfffffff0091fe9dc: 17aac497  bl	#0xfffffff008329238
0xfffffff0091fe9e0: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe9e4: 00d907f9  str	x0, [x8, #0xfb0]
0xfffffff0091fe9e8: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fe9ec: 00703a91  add	x0, x0, #0xe9c
0xfffffff0091fe9f0: 12aac497  bl	#0xfffffff008329238
0xfffffff0091fe9f4: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fe9f8: 00dd07f9  str	x0, [x8, #0xfb8]
0xfffffff0091fe9fc: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea00: 00000d91  add	x0, x0, #0x340
0xfffffff0091fea04: 0daac497  bl	#0xfffffff008329238
0xfffffff0091fea08: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea0c: 00e107f9  str	x0, [x8, #0xfc0]
0xfffffff0091fea10: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea14: 00200d91  add	x0, x0, #0x348
0xfffffff0091fea18: 08aac497  bl	#0xfffffff008329238
0xfffffff0091fea1c: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea20: 00e507f9  str	x0, [x8, #0xfc8]
0xfffffff0091fea24: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea28: 00ac3a91  add	x0, x0, #0xeab
0xfffffff0091fea2c: 03aac497  bl	#0xfffffff008329238
0xfffffff0091fea30: c88800d0  adrp	x8, #0xfffffff00a318000
0xfffffff0091fea34: 00e907f9  str	x0, [x8, #0xfd0]
0xfffffff0091fea38: 2015ff90  adrp	x0, #0xfffffff0074a2000
0xfffffff0091fea3c: 00b00c91  add	x0, x0, #0x32c
