; Candidate 3332
; ADRP+ADD at VM 0xfffffff0087336f0 (fileoff 0x172f6f0): page=0x1ff2d0000 add_imm=0xde8

0xfffffff008733670: 0084a24e  add	v0.4s, v0.4s, v2.4s
0xfffffff008733674: 100000f9  str	x16, [x0]
0xfffffff008733678: 08200129  stp	w8, w8, [x0, #8]
0xfffffff00873367c: 09009852  mov	w9, #0xc000
0xfffffff008733680: 0a314011  add	w10, w8, #0xc, lsl #12
0xfffffff008733684: 09280229  stp	w9, w10, [x0, #0x10]
0xfffffff008733688: 091800b9  str	w9, [x0, #0x18]
0xfffffff00873368c: c951fff0  adrp	x9, #0xfffffff00716e000
0xfffffff008733690: 29413391  add	x9, x9, #0xcd0
0xfffffff008733694: 091000f9  str	x9, [x0, #0x20]
0xfffffff008733698: 018003ad  stp	q1, q0, [x0, #0x70]
0xfffffff00873369c: 08614011  add	w8, w8, #0x18, lsl #12
0xfffffff0087336a0: 08710211  add	w8, w8, #0x9c
0xfffffff0087336a4: 089000b9  str	w8, [x0, #0x90]
0xfffffff0087336a8: c851fff0  adrp	x8, #0xfffffff00716e000
0xfffffff0087336ac: 006146fd  ldr	d0, [x8, #0xcc0]
0xfffffff0087336b0: 001400fd  str	d0, [x0, #0x28]
0xfffffff0087336b4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087336b8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0087336bc: ff0f5fd6  retab	
0xfffffff0087336c0: 5f2403d5  bti	c
0xfffffff0087336c4: c8ffff17  b	#0xfffffff0087335e4
0xfffffff0087336c8: 5f2403d5  bti	c
0xfffffff0087336cc: 09fd0014  b	#0xfffffff008772af0
0xfffffff0087336d0: 5f2403d5  bti	c
0xfffffff0087336d4: 07fd0014  b	#0xfffffff008772af0
0xfffffff0087336d8: 7f2303d5  pacibsp	
0xfffffff0087336dc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0087336e0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087336e4: fd430091  add	x29, sp, #0x10
0xfffffff0087336e8: f30300aa  mov	x19, x0
0xfffffff0087336ec: 01fd0094  bl	#0xfffffff008772af0
0xfffffff0087336f0: 8096ff90  adrp	x0, #0xfffffff007a03000
0xfffffff0087336f4: 00a03791  add	x0, x0, #0xde8
0xfffffff0087336f8: e10313aa  mov	x1, x19
0xfffffff0087336fc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008733700: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008733704: ff2303d5  autibsp	
0xfffffff008733708: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00873370c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008733714
0xfffffff008733710: 208e38d4  brk	#0xc471
0xfffffff008733714: fe8bf017  b	#0xfffffff00835670c
0xfffffff008733718: 5f2403d5  bti	c
0xfffffff00873371c: 080c40b9  ldr	w8, [x0, #0xc]
0xfffffff008733720: 09809752  mov	w9, #0xbc00
0xfffffff008733724: 0001090b  add	w0, w8, w9
0xfffffff008733728: c0035fd6  ret	
0xfffffff00873372c: 5f2403d5  bti	c
0xfffffff008733730: 00808052  mov	w0, #0x400
0xfffffff008733734: c0035fd6  ret	
0xfffffff008733738: 7f2303d5  pacibsp	
0xfffffff00873373c: ffc301d1  sub	sp, sp, #0x70
0xfffffff008733740: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff008733744: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008733748: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00873374c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008733750: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008733754: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008733758: fd830191  add	x29, sp, #0x60
0xfffffff00873375c: f30300aa  mov	x19, x0
0xfffffff008733760: 013440b9  ldr	w1, [x0, #0x34]
0xfffffff008733764: 02008052  mov	w2, #0
0xfffffff008733768: 13fd0094  bl	#0xfffffff008772bb4
0xfffffff00873376c: 613a40b9  ldr	w1, [x19, #0x38]
