; Candidate 14881
; ADRP+ADD at VM 0xfffffff0099d96c4 (fileoff 0x29d56c4): page=0x1fdc1a000 add_imm=0xe74

0xfffffff0099d9644: 00283691  add	x0, x0, #0xd8a
0xfffffff0099d9648: b1ebaa97  bl	#0xfffffff00849450c
0xfffffff0099d964c: 7f2303d5  pacibsp	
0xfffffff0099d9650: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d9654: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d9658: fd430091  add	x29, sp, #0x10
0xfffffff0099d965c: c8e0fed0  adrp	x8, #0xfffffff0075f3000
0xfffffff0099d9660: 08b53491  add	x8, x8, #0xd2d
0xfffffff0099d9664: c9158052  mov	w9, #0xae
0xfffffff0099d9668: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d966c: c0e0fed0  adrp	x0, #0xfffffff0075f3000
0xfffffff0099d9670: 00203791  add	x0, x0, #0xdc8
0xfffffff0099d9674: a6ebaa97  bl	#0xfffffff00849450c
0xfffffff0099d9678: 7f2303d5  pacibsp	
0xfffffff0099d967c: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d9680: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d9684: fd430091  add	x29, sp, #0x10
0xfffffff0099d9688: c8e0fed0  adrp	x8, #0xfffffff0075f3000
0xfffffff0099d968c: 08b53491  add	x8, x8, #0xd2d
0xfffffff0099d9690: a9128052  mov	w9, #0x95
0xfffffff0099d9694: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d9698: c0e0fed0  adrp	x0, #0xfffffff0075f3000
0xfffffff0099d969c: 002c3491  add	x0, x0, #0xd0b
0xfffffff0099d96a0: 9bebaa97  bl	#0xfffffff00849450c
0xfffffff0099d96a4: 7f2303d5  pacibsp	
0xfffffff0099d96a8: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d96ac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d96b0: fd430091  add	x29, sp, #0x10
0xfffffff0099d96b4: c8e0fed0  adrp	x8, #0xfffffff0075f3000
0xfffffff0099d96b8: 08b53491  add	x8, x8, #0xd2d
0xfffffff0099d96bc: a91a8052  mov	w9, #0xd5
0xfffffff0099d96c0: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d96c4: c0e0fed0  adrp	x0, #0xfffffff0075f3000
0xfffffff0099d96c8: 00d03991  add	x0, x0, #0xe74
0xfffffff0099d96cc: 90ebaa97  bl	#0xfffffff00849450c
0xfffffff0099d96d0: 7f2303d5  pacibsp	
0xfffffff0099d96d4: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d96d8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d96dc: fd430091  add	x29, sp, #0x10
0xfffffff0099d96e0: c8e0fed0  adrp	x8, #0xfffffff0075f3000
0xfffffff0099d96e4: 08b53491  add	x8, x8, #0xd2d
0xfffffff0099d96e8: 691e8052  mov	w9, #0xf3
0xfffffff0099d96ec: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d96f0: c0e0fed0  adrp	x0, #0xfffffff0075f3000
0xfffffff0099d96f4: 006c3c91  add	x0, x0, #0xf1b
0xfffffff0099d96f8: 85ebaa97  bl	#0xfffffff00849450c
0xfffffff0099d96fc: 7f2303d5  pacibsp	
0xfffffff0099d9700: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d9704: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d9708: fd430091  add	x29, sp, #0x10
0xfffffff0099d970c: c8e0fed0  adrp	x8, #0xfffffff0075f3000
0xfffffff0099d9710: 08b53491  add	x8, x8, #0xd2d
0xfffffff0099d9714: 89288052  mov	w9, #0x144
0xfffffff0099d9718: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d971c: c0e0fed0  adrp	x0, #0xfffffff0075f3000
0xfffffff0099d9720: 00783d91  add	x0, x0, #0xf5e
0xfffffff0099d9724: 7aebaa97  bl	#0xfffffff00849450c
0xfffffff0099d9728: 7f2303d5  pacibsp	
0xfffffff0099d972c: ff8300d1  sub	sp, sp, #0x20
0xfffffff0099d9730: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0099d9734: fd430091  add	x29, sp, #0x10
0xfffffff0099d9738: c8e0fed0  adrp	x8, #0xfffffff0075f3000
0xfffffff0099d973c: 08b53491  add	x8, x8, #0xd2d
0xfffffff0099d9740: a9308052  mov	w9, #0x185
