; Candidate 7354
; ADRP+ADD at VM 0xfffffff008869710 (fileoff 0x1865710): page=0x1fe980000 add_imm=0xe80

0xfffffff008869690: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff008869694: e8be8052  mov	w8, #0x5f7
0xfffffff008869698: 094eff90  adrp	x9, #0xfffffff007229000
0xfffffff00886969c: 29d12691  add	x9, x9, #0x9b4
0xfffffff0088696a0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088696a4: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff0088696a8: 08811191  add	x8, x8, #0x460
0xfffffff0088696ac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088696b0: 680c8052  mov	w8, #0x63
0xfffffff0088696b4: c04dff90  adrp	x0, #0xfffffff007221000
0xfffffff0088696b8: 00d80091  add	x0, x0, #0x36
0xfffffff0088696bc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088696c0: 6837d597  bl	#0xfffffff007db7460
0xfffffff0088696c4: 1b000014  b	#0xfffffff008869730
0xfffffff0088696c8: b92a0194  bl	#0xfffffff0088b41ac
0xfffffff0088696cc: f50300aa  mov	x21, x0
0xfffffff0088696d0: 80008052  mov	w0, #4
0xfffffff0088696d4: 5f480094  bl	#0xfffffff00887b850
0xfffffff0088696d8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088696dc: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff0088696e0: 684dff90  adrp	x8, #0xfffffff007215000
0xfffffff0088696e4: 08691591  add	x8, x8, #0x55a
0xfffffff0088696e8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088696ec: e8be8052  mov	w8, #0x5f7
0xfffffff0088696f0: 094eff90  adrp	x9, #0xfffffff007229000
0xfffffff0088696f4: 29d12691  add	x9, x9, #0x9b4
0xfffffff0088696f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088696fc: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff008869700: 08811191  add	x8, x8, #0x460
0xfffffff008869704: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008869708: 680c8052  mov	w8, #0x63
0xfffffff00886970c: f52300a9  stp	x21, x8, [sp]
0xfffffff008869710: 004cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008869714: 00003a91  add	x0, x0, #0xe80
0xfffffff008869718: e18cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886971c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008869720: 634fffd0  adrp	x3, #0xfffffff007257000
0xfffffff008869724: 63841e91  add	x3, x3, #0x7a1
0xfffffff008869728: 02008052  mov	w2, #0
0xfffffff00886972c: 8126eb97  bl	#0xfffffff008333130
0xfffffff008869730: 157d8012  mov	w21, #-0x3e9
0xfffffff008869734: 600c8052  mov	w0, #0x63
0xfffffff008869738: c1008052  mov	w1, #6
0xfffffff00886973c: 25480094  bl	#0xfffffff00887b7d0
0xfffffff008869740: 00060034  cbz	w0, #0xfffffff008869800
0xfffffff008869744: 600c8052  mov	w0, #0x63
0xfffffff008869748: 34480094  bl	#0xfffffff00887b818
0xfffffff00886974c: f70300aa  mov	x23, x0
0xfffffff008869750: 972a0194  bl	#0xfffffff0088b41ac
0xfffffff008869754: f60300aa  mov	x22, x0
0xfffffff008869758: c0008052  mov	w0, #6
0xfffffff00886975c: 3d480094  bl	#0xfffffff00887b850
0xfffffff008869760: 17020034  cbz	w23, #0xfffffff0088697a0
0xfffffff008869764: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008869768: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00886976c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008869770: 084eff90  adrp	x8, #0xfffffff007229000
0xfffffff008869774: 09d12691  add	x9, x8, #0x9b4
0xfffffff008869778: e84dffd0  adrp	x8, #0xfffffff007227000
0xfffffff00886977c: 08811191  add	x8, x8, #0x460
0xfffffff008869780: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008869784: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008869788: 680c8052  mov	w8, #0x63
0xfffffff00886978c: 404dffb0  adrp	x0, #0xfffffff007212000
