; Candidate 6228
; ADRP+ADD at VM 0xfffffff00881bb14 (fileoff 0x1817b14): page=0x1fe9ce000 add_imm=0xe80

0xfffffff00881ba94: e80318aa  mov	x8, x24
0xfffffff00881ba98: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881ba9c: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff00881baa0: e80316aa  mov	x8, x22
0xfffffff00881baa4: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff00881baa8: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff00881baac: a84fffb0  adrp	x8, #0xfffffff007210000
0xfffffff00881bab0: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881bab4: 89498152  mov	w9, #0xa4c
0xfffffff00881bab8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00881babc: 2850ff90  adrp	x8, #0xfffffff00721f000
0xfffffff00881bac0: 08911491  add	x8, x8, #0x524
0xfffffff00881bac4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00881bac8: 880e8052  mov	w8, #0x74
0xfffffff00881bacc: 6351ffd0  adrp	x3, #0xfffffff007249000
0xfffffff00881bad0: 63902791  add	x3, x3, #0x9e4
0xfffffff00881bad4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881bad8: f90300f9  str	x25, [sp]
0xfffffff00881badc: 604effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881bae0: 00003a91  add	x0, x0, #0xe80
0xfffffff00881bae4: 618fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881bae8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881baec: 02008052  mov	w2, #0
0xfffffff00881baf0: 905dec97  bl	#0xfffffff008333130
0xfffffff00881baf4: 72f9ff17  b	#0xfffffff00881a0bc
0xfffffff00881baf8: ad610294  bl	#0xfffffff0088b41ac
0xfffffff00881bafc: f80300aa  mov	x24, x0
0xfffffff00881bb00: e0008052  mov	w0, #7
0xfffffff00881bb04: 537f0194  bl	#0xfffffff00887b850
0xfffffff00881bb08: a80d8052  mov	w8, #0x6d
0xfffffff00881bb0c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881bb10: f80300f9  str	x24, [sp]
0xfffffff00881bb14: 604effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881bb18: 00003a91  add	x0, x0, #0xe80
0xfffffff00881bb1c: 618fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881bb20: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881bb24: 6351ffd0  adrp	x3, #0xfffffff007249000
0xfffffff00881bb28: 63fc2891  add	x3, x3, #0xa3f
0xfffffff00881bb2c: 02008052  mov	w2, #0
0xfffffff00881bb30: 805dec97  bl	#0xfffffff008333130
0xfffffff00881bb34: e00313aa  mov	x0, x19
0xfffffff00881bb38: a10d8052  mov	w1, #0x6d
0xfffffff00881bb3c: e2008052  mov	w2, #7
0xfffffff00881bb40: 030080d2  mov	x3, #0
0xfffffff00881bb44: 04008052  mov	w4, #0
0xfffffff00881bb48: be9fff97  bl	#0xfffffff008803a40
0xfffffff00881bb4c: 602640f9  ldr	x0, [x19, #0x48]
0xfffffff00881bb50: 18008092  mov	x24, #-1
0xfffffff00881bb54: f8e300a9  stp	x24, x24, [sp, #8]
0xfffffff00881bb58: f30300f9  str	x19, [sp]
0xfffffff00881bb5c: 01008012  mov	w1, #-1
0xfffffff00881bb60: 22008052  mov	w2, #1
0xfffffff00881bb64: c3008052  mov	w3, #6
0xfffffff00881bb68: 040080d2  mov	x4, #0
0xfffffff00881bb6c: 050080d2  mov	x5, #0
0xfffffff00881bb70: 06008052  mov	w6, #0
0xfffffff00881bb74: 07008052  mov	w7, #0
0xfffffff00881bb78: 51c00094  bl	#0xfffffff00884bcbc
0xfffffff00881bb7c: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff00881bb80: f8e300a9  stp	x24, x24, [sp, #8]
0xfffffff00881bb84: f30300f9  str	x19, [sp]
0xfffffff00881bb88: 01008012  mov	w1, #-1
0xfffffff00881bb8c: 22008052  mov	w2, #1
0xfffffff00881bb90: c3008052  mov	w3, #6
