; Candidate 4784
; ADRP+ADD at VM 0xfffffff0087c5ed4 (fileoff 0x17c1ed4): page=0x1fea24000 add_imm=0xe80

0xfffffff0087c5e54: f50300aa  mov	x21, x0
0xfffffff0087c5e58: d5b80394  bl	#0xfffffff0088b41ac
0xfffffff0087c5e5c: f40300aa  mov	x20, x0
0xfffffff0087c5e60: 80008052  mov	w0, #4
0xfffffff0087c5e64: 7bd60294  bl	#0xfffffff00887b850
0xfffffff0087c5e68: b50d0034  cbz	w21, #0xfffffff0087c601c
0xfffffff0087c5e6c: 4852ff90  adrp	x8, #0xfffffff00720d000
0xfffffff0087c5e70: 087d2291  add	x8, x8, #0x89f
0xfffffff0087c5e74: 29178052  mov	w9, #0xb9
0xfffffff0087c5e78: e8db02a9  stp	x8, x22, [sp, #0x28]
0xfffffff0087c5e7c: 4852ff90  adrp	x8, #0xfffffff00720d000
0xfffffff0087c5e80: 08991391  add	x8, x8, #0x4e6
0xfffffff0087c5e84: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087c5e88: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087c5e8c: 68008052  mov	w8, #3
0xfffffff0087c5e90: 4052ff90  adrp	x0, #0xfffffff00720d000
0xfffffff0087c5e94: 00282191  add	x0, x0, #0x84a
0xfffffff0087c5e98: 81feff17  b	#0xfffffff0087c589c
0xfffffff0087c5e9c: c4b80394  bl	#0xfffffff0088b41ac
0xfffffff0087c5ea0: f40300aa  mov	x20, x0
0xfffffff0087c5ea4: 80008052  mov	w0, #4
0xfffffff0087c5ea8: 6ad60294  bl	#0xfffffff00887b850
0xfffffff0087c5eac: ff6b03a9  stp	xzr, x26, [sp, #0x30]
0xfffffff0087c5eb0: 4852ff90  adrp	x8, #0xfffffff00720d000
0xfffffff0087c5eb4: 08891b91  add	x8, x8, #0x6e2
0xfffffff0087c5eb8: 89148052  mov	w9, #0xa4
0xfffffff0087c5ebc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087c5ec0: 4852ff90  adrp	x8, #0xfffffff00720d000
0xfffffff0087c5ec4: 08991391  add	x8, x8, #0x4e6
0xfffffff0087c5ec8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c5ecc: 68008052  mov	w8, #3
0xfffffff0087c5ed0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087c5ed4: 2051ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c5ed8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c5edc: 0192fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c5ee0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c5ee4: 8353ffd0  adrp	x3, #0xfffffff007237000
0xfffffff0087c5ee8: 635c0291  add	x3, x3, #0x97
0xfffffff0087c5eec: 02008052  mov	w2, #0
0xfffffff0087c5ef0: 90b4ed97  bl	#0xfffffff008333130
0xfffffff0087c5ef4: 77000014  b	#0xfffffff0087c60d0
0xfffffff0087c5ef8: adb80394  bl	#0xfffffff0088b41ac
0xfffffff0087c5efc: f40300aa  mov	x20, x0
0xfffffff0087c5f00: 80008052  mov	w0, #4
0xfffffff0087c5f04: 53d60294  bl	#0xfffffff00887b850
0xfffffff0087c5f08: 4852ff90  adrp	x8, #0xfffffff00720d000
0xfffffff0087c5f0c: 08051e91  add	x8, x8, #0x781
0xfffffff0087c5f10: 09158052  mov	w9, #0xa8
0xfffffff0087c5f14: e8eb02a9  stp	x8, x26, [sp, #0x28]
0xfffffff0087c5f18: 4852ff90  adrp	x8, #0xfffffff00720d000
0xfffffff0087c5f1c: 08991391  add	x8, x8, #0x4e6
0xfffffff0087c5f20: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087c5f24: 68008052  mov	w8, #3
0xfffffff0087c5f28: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c5f2c: f40300f9  str	x20, [sp]
0xfffffff0087c5f30: 2051ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c5f34: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c5f38: 0192fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c5f3c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c5f40: 8353ffd0  adrp	x3, #0xfffffff007237000
0xfffffff0087c5f44: 632c0491  add	x3, x3, #0x10b
0xfffffff0087c5f48: 02008052  mov	w2, #0
0xfffffff0087c5f4c: 79b4ed97  bl	#0xfffffff008333130
0xfffffff0087c5f50: 60000014  b	#0xfffffff0087c60d0
