; Candidate 5105
; ADRP+ADD at VM 0xfffffff0087d93a0 (fileoff 0x17d53a0): page=0x1fea10000 add_imm=0xe80

0xfffffff0087d9320: 18020034  cbz	w24, #0xfffffff0087d9360
0xfffffff0087d9324: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087d9328: f55f04a9  stp	x21, x23, [sp, #0x40]
0xfffffff0087d932c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087d9330: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9334: 08792791  add	x8, x8, #0x9de
0xfffffff0087d9338: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d933c: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9340: 081d0291  add	x8, x8, #0x87
0xfffffff0087d9344: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d9348: 280a8052  mov	w8, #0x51
0xfffffff0087d934c: c051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087d9350: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087d9354: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d9358: 4278d797  bl	#0xfffffff007db7460
0xfffffff0087d935c: 19000014  b	#0xfffffff0087d93c0
0xfffffff0087d9360: 936b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d9364: f60300aa  mov	x22, x0
0xfffffff0087d9368: c0008052  mov	w0, #6
0xfffffff0087d936c: 39890294  bl	#0xfffffff00887b850
0xfffffff0087d9370: e80317aa  mov	x8, x23
0xfffffff0087d9374: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087d9378: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087d937c: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087d9380: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9384: 08792791  add	x8, x8, #0x9de
0xfffffff0087d9388: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d938c: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9390: 081d0291  add	x8, x8, #0x87
0xfffffff0087d9394: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d9398: 280a8052  mov	w8, #0x51
0xfffffff0087d939c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d93a0: 8050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d93a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d93a8: 6191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d93ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d93b0: 0353fff0  adrp	x3, #0xfffffff00723c000
0xfffffff0087d93b4: 63502691  add	x3, x3, #0x994
0xfffffff0087d93b8: 02008052  mov	w2, #0
0xfffffff0087d93bc: 5d67ed97  bl	#0xfffffff008333130
0xfffffff0087d93c0: e00317aa  mov	x0, x23
0xfffffff0087d93c4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087d93c8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087d93cc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087d93d0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087d93d4: ff830291  add	sp, sp, #0xa0
0xfffffff0087d93d8: ff0f5fd6  retab	
0xfffffff0087d93dc: 7f2303d5  pacibsp	
0xfffffff0087d93e0: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0087d93e4: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0087d93e8: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0087d93ec: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0087d93f0: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0087d93f4: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0087d93f8: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0087d93fc: fd830291  add	x29, sp, #0xa0
0xfffffff0087d9400: f50302aa  mov	x21, x2
0xfffffff0087d9404: f40301aa  mov	x20, x1
0xfffffff0087d9408: f30300aa  mov	x19, x0
0xfffffff0087d940c: 200a8052  mov	w0, #0x51
0xfffffff0087d9410: 01018052  mov	w1, #8
0xfffffff0087d9414: ef880294  bl	#0xfffffff00887b7d0
0xfffffff0087d9418: 60050034  cbz	w0, #0xfffffff0087d94c4
0xfffffff0087d941c: 200a8052  mov	w0, #0x51
