; Candidate 12638
; ADRP+ADD at VM 0xfffffff0090de698 (fileoff 0x20da698): page=0x1fe38f000 add_imm=0xe15

0xfffffff0090de618: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff0090de61c: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff0090de620: 601cfff0  adrp	x0, #0xfffffff00746d000
0xfffffff0090de624: 00503691  add	x0, x0, #0xd94
0xfffffff0090de628: e80300f9  str	x8, [sp]
0xfffffff0090de62c: 7de2c997  bl	#0xfffffff008357020
0xfffffff0090de630: 609a40f9  ldr	x0, [x19, #0x130]
0xfffffff0090de634: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0090de638: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0090de63c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0090de640: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0090de644: ff830291  add	sp, sp, #0xa0
0xfffffff0090de648: ff0f5fd6  retab	
0xfffffff0090de64c: 7f2303d5  pacibsp	
0xfffffff0090de650: ffc303d1  sub	sp, sp, #0xf0
0xfffffff0090de654: fc6f09a9  stp	x28, x27, [sp, #0x90]
0xfffffff0090de658: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff0090de65c: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff0090de660: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff0090de664: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff0090de668: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff0090de66c: fd830391  add	x29, sp, #0xe0
0xfffffff0090de670: f30300aa  mov	x19, x0
0xfffffff0090de674: 00a440f9  ldr	x0, [x0, #0x148]
0xfffffff0090de678: 002200b5  cbnz	x0, #0xfffffff0090deab8
0xfffffff0090de67c: e00313aa  mov	x0, x19
0xfffffff0090de680: 4dffff97  bl	#0xfffffff0090de3b4
0xfffffff0090de684: a0220036  tbz	w0, #0, #0xfffffff0090dead8
0xfffffff0090de688: e00313aa  mov	x0, x19
0xfffffff0090de68c: 9bffff97  bl	#0xfffffff0090de4f8
0xfffffff0090de690: 201d00b4  cbz	x0, #0xfffffff0090dea34
0xfffffff0090de694: f60300aa  mov	x22, x0
0xfffffff0090de698: 601cfff0  adrp	x0, #0xfffffff00746d000
0xfffffff0090de69c: 00543891  add	x0, x0, #0xe15
0xfffffff0090de6a0: 010080d2  mov	x1, #0
0xfffffff0090de6a4: 86afca97  bl	#0xfffffff00838a4bc
0xfffffff0090de6a8: 601c00b4  cbz	x0, #0xfffffff0090dea34
0xfffffff0090de6ac: f40300aa  mov	x20, x0
0xfffffff0090de6b0: 01008092  mov	x1, #-1
0xfffffff0090de6b4: b6adca97  bl	#0xfffffff008389d8c
0xfffffff0090de6b8: a01a00b4  cbz	x0, #0xfffffff0090dea0c
0xfffffff0090de6bc: f50300aa  mov	x21, x0
0xfffffff0090de6c0: 8853ff90  adrp	x8, #0xfffffff007b4e000
0xfffffff0090de6c4: 080146f9  ldr	x8, [x8, #0xc00]
0xfffffff0090de6c8: 010140f9  ldr	x1, [x8]
0xfffffff0090de6cc: 8a15c897  bl	#0xfffffff0082e3cf4
0xfffffff0090de6d0: a01800b4  cbz	x0, #0xfffffff0090de9e4
0xfffffff0090de6d4: f70300aa  mov	x23, x0
0xfffffff0090de6d8: d3ab0094  bl	#0xfffffff009109624
0xfffffff0090de6dc: f80300aa  mov	x24, x0
0xfffffff0090de6e0: e00317aa  mov	x0, x23
0xfffffff0090de6e4: c4ab0094  bl	#0xfffffff0091095f4
0xfffffff0090de6e8: f90300aa  mov	x25, x0
0xfffffff0090de6ec: e00317aa  mov	x0, x23
0xfffffff0090de6f0: d5ab0094  bl	#0xfffffff009109644
0xfffffff0090de6f4: a0c319b8  stur	w0, [x29, #-0x64]
0xfffffff0090de6f8: e00317aa  mov	x0, x23
0xfffffff0090de6fc: beab0094  bl	#0xfffffff0091095f4
0xfffffff0090de700: e03b00f9  str	x0, [sp, #0x70]
0xfffffff0090de704: 63420591  add	x3, x19, #0x150
0xfffffff0090de708: 10000090  adrp	x16, #0xfffffff0090de000
0xfffffff0090de70c: 10c22d91  add	x16, x16, #0xb70
0xfffffff0090de710: 110283d2  mov	x17, #0x1810
0xfffffff0090de714: 3002c1da  pacia	x16, x17
