; Candidate 4162
; ADRP+ADD at VM 0xfffffff008794a94 (fileoff 0x1790a94): page=0x1fe99d000 add_imm=0xd90

0xfffffff008794a14: 60d255f9  ldr	x0, [x19, #0x2ba0]
0xfffffff008794a18: 619a6bb9  ldr	w1, [x19, #0x2b98]
0xfffffff008794a1c: d908ef97  bl	#0xfffffff008356d80
0xfffffff008794a20: 7fd215f9  str	xzr, [x19, #0x2ba0]
0xfffffff008794a24: f50300f9  str	x21, [sp]
0xfffffff008794a28: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794a2c: 00403691  add	x0, x0, #0xd90
0xfffffff008794a30: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794a34: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794a38: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008794a3c: 63d42391  add	x3, x3, #0x8f5
0xfffffff008794a40: 02008052  mov	w2, #0
0xfffffff008794a44: bb79ee97  bl	#0xfffffff008333130
0xfffffff008794a48: 00268052  mov	w0, #0x130
0xfffffff008794a4c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008794a50: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008794a54: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008794a58: ff030191  add	sp, sp, #0x40
0xfffffff008794a5c: ff0f5fd6  retab	
0xfffffff008794a60: a208ef97  bl	#0xfffffff008356ce8
0xfffffff008794a64: 60e615f9  str	x0, [x19, #0x2bc8]
0xfffffff008794a68: c00600b4  cbz	x0, #0xfffffff008794b40
0xfffffff008794a6c: 94420011  add	w20, w20, #0x10
0xfffffff008794a70: 083c0091  add	x8, x0, #0xf
0xfffffff008794a74: 08ed7c92  and	x8, x8, #0xfffffffffffffff0
0xfffffff008794a78: 68ea15f9  str	x8, [x19, #0x2bd0]
0xfffffff008794a7c: 88761e12  and	w8, w20, #0xfffffffc
0xfffffff008794a80: 00410031  adds	w0, w8, #0x10
0xfffffff008794a84: 60f22bb9  str	w0, [x19, #0x2bf0]
0xfffffff008794a88: 83010054  b.lo	#0xfffffff008794ab8
0xfffffff008794a8c: 88038252  mov	w8, #0x101c
0xfffffff008794a90: f52300a9  stp	x21, x8, [sp]
0xfffffff008794a94: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794a98: 00403691  add	x0, x0, #0xd90
0xfffffff008794a9c: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794aa0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794aa4: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008794aa8: 632c2291  add	x3, x3, #0x88b
0xfffffff008794aac: 02008052  mov	w2, #0
0xfffffff008794ab0: a079ee97  bl	#0xfffffff008333130
0xfffffff008794ab4: 1d000014  b	#0xfffffff008794b28
0xfffffff008794ab8: 8c08ef97  bl	#0xfffffff008356ce8
0xfffffff008794abc: 60f215f9  str	x0, [x19, #0x2be0]
0xfffffff008794ac0: 400300b4  cbz	x0, #0xfffffff008794b28
0xfffffff008794ac4: 083c0091  add	x8, x0, #0xf
0xfffffff008794ac8: 08ed7c92  and	x8, x8, #0xfffffffffffffff0
0xfffffff008794acc: 68f615f9  str	x8, [x19, #0x2be8]
0xfffffff008794ad0: 887e7ed3  ubfiz	x8, x20, #2, #0x20
0xfffffff008794ad4: 680a2cb9  str	w8, [x19, #0x2c08]
0xfffffff008794ad8: 1f0560f2  tst	x8, #0x300000000
0xfffffff008794adc: 81000054  b.ne	#0xfffffff008794aec
0xfffffff008794ae0: 00410031  adds	w0, w8, #0x10
0xfffffff008794ae4: 600a2cb9  str	w0, [x19, #0x2c08]
0xfffffff008794ae8: 83030054  b.lo	#0xfffffff008794b58
0xfffffff008794aec: e8058252  mov	w8, #0x102f
0xfffffff008794af0: f52300a9  stp	x21, x8, [sp]
0xfffffff008794af4: e04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff008794af8: 00403691  add	x0, x0, #0xd90
0xfffffff008794afc: 4193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008794b00: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008794b04: 834dfff0  adrp	x3, #0xfffffff007147000
0xfffffff008794b08: 63002391  add	x3, x3, #0x8c0
0xfffffff008794b0c: 02008052  mov	w2, #0
0xfffffff008794b10: 8879ee97  bl	#0xfffffff008333130
