; Candidate 12988
; ADRP+ADD at VM 0xfffffff0091a9bb0 (fileoff 0x21a5bb0): page=0x1fe2ee000 add_imm=0xd9b

0xfffffff0091a9b30: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff0091a9b34: e90310aa  mov	x9, x16
0xfffffff0091a9b38: f10309aa  mov	x17, x9
0xfffffff0091a9b3c: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff0091a9b40: 11093fd7  blraa	x8, x17
0xfffffff0091a9b44: 60ea40f9  ldr	x0, [x19, #0x1d0]
0xfffffff0091a9b48: 100040f9  ldr	x16, [x0]
0xfffffff0091a9b4c: f10300aa  mov	x17, x0
0xfffffff0091a9b50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091a9b54: 301ac1da  autda	x16, x17
0xfffffff0091a9b58: 088e4ff8  ldr	x8, [x16, #0xf8]!
0xfffffff0091a9b5c: e20310aa  mov	x2, x16
0xfffffff0091a9b60: f00308aa  mov	x16, x8
0xfffffff0091a9b64: 01008052  mov	w1, #0
0xfffffff0091a9b68: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0091a9b6c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0091a9b70: ff2303d5  autibsp	
0xfffffff0091a9b74: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0091a9b78: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0091a9b80
0xfffffff0091a9b7c: 208e38d4  brk	#0xc471
0xfffffff0091a9b80: f10302aa  mov	x17, x2
0xfffffff0091a9b84: 91aef9f2  movk	x17, #0xcd74, lsl #48
0xfffffff0091a9b88: 110a1fd7  braa	x16, x17
0xfffffff0091a9b8c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0091a9b90: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0091a9b94: ff0f5fd6  retab	
0xfffffff0091a9b98: 7f2303d5  pacibsp	
0xfffffff0091a9b9c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0091a9ba0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0091a9ba4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0091a9ba8: fd830091  add	x29, sp, #0x20
0xfffffff0091a9bac: f40300aa  mov	x20, x0
0xfffffff0091a9bb0: 6017ffd0  adrp	x0, #0xfffffff007497000
0xfffffff0091a9bb4: 006c3691  add	x0, x0, #0xd9b
0xfffffff0091a9bb8: 010080d2  mov	x1, #0
0xfffffff0091a9bbc: 4082c797  bl	#0xfffffff00838a4bc
0xfffffff0091a9bc0: f30300aa  mov	x19, x0
0xfffffff0091a9bc4: 01008092  mov	x1, #-1
0xfffffff0091a9bc8: 7180c797  bl	#0xfffffff008389d8c
0xfffffff0091a9bcc: 80ee00f9  str	x0, [x20, #0x1d8]
0xfffffff0091a9bd0: 200a00b4  cbz	x0, #0xfffffff0091a9d14
0xfffffff0091a9bd4: e00300f9  str	x0, [sp]
0xfffffff0091a9bd8: 6017ffd0  adrp	x0, #0xfffffff007497000
0xfffffff0091a9bdc: 00b83691  add	x0, x0, #0xdae
0xfffffff0091a9be0: 10b5c697  bl	#0xfffffff008357020
0xfffffff0091a9be4: 10000090  adrp	x16, #0xfffffff0091a9000
0xfffffff0091a9be8: 10d23491  add	x16, x16, #0xd34
0xfffffff0091a9bec: 117b8ed2  mov	x17, #0x73d8
0xfffffff0091a9bf0: 3002c1da  pacia	x16, x17
0xfffffff0091a9bf4: e10310aa  mov	x1, x16
0xfffffff0091a9bf8: e00314aa  mov	x0, x20
0xfffffff0091a9bfc: 0e4ec897  bl	#0xfffffff0083bd434
0xfffffff0091a9c00: 80ea00f9  str	x0, [x20, #0x1d0]
0xfffffff0091a9c04: 000900b4  cbz	x0, #0xfffffff0091a9d24
0xfffffff0091a9c08: 900240f9  ldr	x16, [x20]
0xfffffff0091a9c0c: f10314aa  mov	x17, x20
0xfffffff0091a9c10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091a9c14: 301ac1da  autda	x16, x17
0xfffffff0091a9c18: 116f80d2  mov	x17, #0x378
0xfffffff0091a9c1c: 1002118b  add	x16, x16, x17
0xfffffff0091a9c20: 080240f9  ldr	x8, [x16]
0xfffffff0091a9c24: e90310aa  mov	x9, x16
0xfffffff0091a9c28: e00314aa  mov	x0, x20
0xfffffff0091a9c2c: f10309aa  mov	x17, x9
