; Candidate 12340
; ADRP+ADD at VM 0xfffffff00908c4bc (fileoff 0x20884bc): page=0x1fe3cd000 add_imm=0xe24

0xfffffff00908c43c: 981effb0  adrp	x24, #0xfffffff00745d000
0xfffffff00908c440: 187b2f91  add	x24, x24, #0xbde
0xfffffff00908c444: 1f790071  cmp	w8, #0x1e
0xfffffff00908c448: e8000054  b.hi	#0xfffffff00908c464
0xfffffff00908c44c: e706b997  bl	#0xfffffff007ecdfe8
0xfffffff00908c450: f60301a9  stp	x22, x0, [sp, #0x10]
0xfffffff00908c454: f85f00a9  stp	x24, x23, [sp]
0xfffffff00908c458: 801eff90  adrp	x0, #0xfffffff00745c000
0xfffffff00908c45c: 00e43591  add	x0, x0, #0xd79
0xfffffff00908c460: f02acb97  bl	#0xfffffff008357020
0xfffffff00908c464: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff00908c468: 997db497  bl	#0xfffffff007dabacc
0xfffffff00908c46c: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff00908c470: 09050091  add	x9, x8, #1
0xfffffff00908c474: 3f4100f1  cmp	x9, #0x10
0xfffffff00908c478: 82030054  b.hs	#0xfffffff00908c4e8
0xfffffff00908c47c: 14008052  mov	w20, #0
0xfffffff00908c480: ea0313aa  mov	x10, x19
0xfffffff00908c484: 490d03f8  str	x9, [x10, #0x30]!
0xfffffff00908c488: 89018052  mov	w9, #0xc
0xfffffff00908c48c: 0829099b  madd	x8, x8, x9, x10
0xfffffff00908c490: 160500f9  str	x22, [x8, #8]
0xfffffff00908c494: 151100b9  str	w21, [x8, #0x10]
0xfffffff00908c498: 55018052  mov	w21, #0xa
0xfffffff00908c49c: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff00908c4a0: a780b497  bl	#0xfffffff007dac73c
0xfffffff00908c4a4: 28034039  ldrb	w8, [x25]
0xfffffff00908c4a8: bf02086b  cmp	w21, w8
0xfffffff00908c4ac: e3000054  b.lo	#0xfffffff00908c4c8
0xfffffff00908c4b0: 887e4093  sxtw	x8, w20
0xfffffff00908c4b4: f85f00a9  stp	x24, x23, [sp]
0xfffffff00908c4b8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908c4bc: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c4c0: 00903891  add	x0, x0, #0xe24
0xfffffff00908c4c4: d72acb97  bl	#0xfffffff008357020
0xfffffff00908c4c8: e00314aa  mov	x0, x20
0xfffffff00908c4cc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00908c4d0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00908c4d4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00908c4d8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00908c4dc: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00908c4e0: ff030291  add	sp, sp, #0x80
0xfffffff00908c4e4: ff0f5fd6  retab	
0xfffffff00908c4e8: 28268052  mov	w8, #0x131
0xfffffff00908c4ec: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908c4f0: 29a12f91  add	x9, x9, #0xbe8
0xfffffff00908c4f4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908c4f8: 681effb0  adrp	x8, #0xfffffff007459000
0xfffffff00908c4fc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908c500: 8a1eff90  adrp	x10, #0xfffffff00745c000
0xfffffff00908c504: 4ab93691  add	x10, x10, #0xdae
0xfffffff00908c508: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00908c50c: ea0300f9  str	x10, [sp]
0xfffffff00908c510: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c514: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908c518: c22acb97  bl	#0xfffffff008357020
0xfffffff00908c51c: 94008012  mov	w20, #-5
0xfffffff00908c520: d5088052  mov	w21, #0x46
0xfffffff00908c524: deffff17  b	#0xfffffff00908c49c
0xfffffff00908c528: 7f2303d5  pacibsp	
0xfffffff00908c52c: ff8301d1  sub	sp, sp, #0x60
0xfffffff00908c530: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00908c534: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00908c538: fd7b05a9  stp	x29, x30, [sp, #0x50]
