; Candidate 13412
; ADRP+ADD at VM 0xfffffff0092cf0b8 (fileoff 0x22cb0b8): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf038: 400300b4  cbz	x0, #0xfffffff0092cf0a0
0xfffffff0092cf03c: 700240f9  ldr	x16, [x19]
0xfffffff0092cf040: f10313aa  mov	x17, x19
0xfffffff0092cf044: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf048: 301ac1da  autda	x16, x17
0xfffffff0092cf04c: 116e80d2  mov	x17, #0x370
0xfffffff0092cf050: 1002118b  add	x16, x16, x17
0xfffffff0092cf054: 080240f9  ldr	x8, [x16]
0xfffffff0092cf058: e90310aa  mov	x9, x16
0xfffffff0092cf05c: e00313aa  mov	x0, x19
0xfffffff0092cf060: f10309aa  mov	x17, x9
0xfffffff0092cf064: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cf068: 11093fd7  blraa	x8, x17
0xfffffff0092cf06c: 100040f9  ldr	x16, [x0]
0xfffffff0092cf070: f10300aa  mov	x17, x0
0xfffffff0092cf074: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf078: 301ac1da  autda	x16, x17
0xfffffff0092cf07c: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf080: 1002118b  add	x16, x16, x17
0xfffffff0092cf084: 080240f9  ldr	x8, [x16]
0xfffffff0092cf088: e90310aa  mov	x9, x16
0xfffffff0092cf08c: 010080d2  mov	x1, #0
0xfffffff0092cf090: f10309aa  mov	x17, x9
0xfffffff0092cf094: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf098: 11093fd7  blraa	x8, x17
0xfffffff0092cf09c: 03000014  b	#0xfffffff0092cf0a8
0xfffffff0092cf0a0: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cf0a4: 00102191  add	x0, x0, #0x844
0xfffffff0092cf0a8: a8024079  ldrh	w8, [x21]
0xfffffff0092cf0ac: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cf0b0: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cf0b4: f60300f9  str	x22, [sp]
0xfffffff0092cf0b8: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cf0bc: 00983891  add	x0, x0, #0xe26
0xfffffff0092cf0c0: d81fc297  bl	#0xfffffff008357020
0xfffffff0092cf0c4: 75823991  add	x21, x19, #0xe60
0xfffffff0092cf0c8: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cf0cc: 94662e91  add	x20, x20, #0xb99
0xfffffff0092cf0d0: e00314aa  mov	x0, x20
0xfffffff0092cf0d4: e10315aa  mov	x1, x21
0xfffffff0092cf0d8: 42008052  mov	w2, #2
0xfffffff0092cf0dc: b777c697  bl	#0xfffffff00846cfb8
0xfffffff0092cf0e0: c0070034  cbz	w0, #0xfffffff0092cf1d8
0xfffffff0092cf0e4: 700240f9  ldr	x16, [x19]
0xfffffff0092cf0e8: f10313aa  mov	x17, x19
0xfffffff0092cf0ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf0f0: 301ac1da  autda	x16, x17
0xfffffff0092cf0f4: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf0f8: 1002118b  add	x16, x16, x17
0xfffffff0092cf0fc: 080240f9  ldr	x8, [x16]
0xfffffff0092cf100: e90310aa  mov	x9, x16
0xfffffff0092cf104: e00313aa  mov	x0, x19
0xfffffff0092cf108: 010080d2  mov	x1, #0
0xfffffff0092cf10c: f10309aa  mov	x17, x9
0xfffffff0092cf110: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf114: 11093fd7  blraa	x8, x17
0xfffffff0092cf118: f60300aa  mov	x22, x0
0xfffffff0092cf11c: 700240f9  ldr	x16, [x19]
0xfffffff0092cf120: f10313aa  mov	x17, x19
0xfffffff0092cf124: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf128: 301ac1da  autda	x16, x17
0xfffffff0092cf12c: 116e80d2  mov	x17, #0x370
0xfffffff0092cf130: 1002118b  add	x16, x16, x17
0xfffffff0092cf134: 080240f9  ldr	x8, [x16]
