; Candidate 4940
; ADRP+ADD at VM 0xfffffff0087ce6d4 (fileoff 0x17ca6d4): page=0x1fea1b000 add_imm=0xe80

0xfffffff0087ce654: 084f44f9  ldr	x8, [x24, #0x898]
0xfffffff0087ce658: 281d00f9  str	x8, [x9, #0x38]
0xfffffff0087ce65c: 2081823c  stur	q0, [x9, #0x28]
0xfffffff0087ce660: 08e32291  add	x8, x24, #0x8b8
0xfffffff0087ce664: 693e51f9  ldr	x9, [x19, #0x2278]
0xfffffff0087ce668: 0001c03d  ldr	q0, [x8]
0xfffffff0087ce66c: 2011803d  str	q0, [x9, #0x40]
0xfffffff0087ce670: 52ffff17  b	#0xfffffff0087ce3b8
0xfffffff0087ce674: 60008052  mov	w0, #3
0xfffffff0087ce678: 81008052  mov	w1, #4
0xfffffff0087ce67c: 55b40294  bl	#0xfffffff00887b7d0
0xfffffff0087ce680: 80220034  cbz	w0, #0xfffffff0087cead0
0xfffffff0087ce684: 60008052  mov	w0, #3
0xfffffff0087ce688: 64b40294  bl	#0xfffffff00887b818
0xfffffff0087ce68c: f40300aa  mov	x20, x0
0xfffffff0087ce690: c7960394  bl	#0xfffffff0088b41ac
0xfffffff0087ce694: f30300aa  mov	x19, x0
0xfffffff0087ce698: 80008052  mov	w0, #4
0xfffffff0087ce69c: 6db40294  bl	#0xfffffff00887b850
0xfffffff0087ce6a0: 14380034  cbz	w20, #0xfffffff0087ceda0
0xfffffff0087ce6a4: 0852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087ce6a8: 08450891  add	x8, x8, #0x211
0xfffffff0087ce6ac: a9ee8052  mov	w9, #0x775
0xfffffff0087ce6b0: 3d000014  b	#0xfffffff0087ce7a4
0xfffffff0087ce6b4: be960394  bl	#0xfffffff0088b41ac
0xfffffff0087ce6b8: f40300aa  mov	x20, x0
0xfffffff0087ce6bc: e0008052  mov	w0, #7
0xfffffff0087ce6c0: 64b40294  bl	#0xfffffff00887b850
0xfffffff0087ce6c4: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087ce6c8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ce6cc: a80f8052  mov	w8, #0x7d
0xfffffff0087ce6d0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087ce6d4: c050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ce6d8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ce6dc: c191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ce6e0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ce6e4: 6353ff90  adrp	x3, #0xfffffff00723a000
0xfffffff0087ce6e8: 63441291  add	x3, x3, #0x491
0xfffffff0087ce6ec: 02008052  mov	w2, #0
0xfffffff0087ce6f0: 9092ed97  bl	#0xfffffff008333130
0xfffffff0087ce6f4: 613f51f9  ldr	x1, [x27, #0x2278]
0xfffffff0087ce6f8: f3031baa  mov	x19, x27
0xfffffff0087ce6fc: e0031baa  mov	x0, x27
0xfffffff0087ce700: 74e5ff97  bl	#0xfffffff0087c7cd0
0xfffffff0087ce704: 20030036  tbz	w0, #0, #0xfffffff0087ce768
0xfffffff0087ce708: e00313aa  mov	x0, x19
0xfffffff0087ce70c: 613e51f9  ldr	x1, [x19, #0x2278]
0xfffffff0087ce710: 686e4bb9  ldr	w8, [x19, #0xb6c]
0xfffffff0087ce714: 681e088b  add	x8, x19, x8, lsl #7
0xfffffff0087ce718: 02a10b91  add	x2, x8, #0x2e8
0xfffffff0087ce71c: f9efff97  bl	#0xfffffff0087ca700
0xfffffff0087ce720: 40050036  tbz	w0, #0, #0xfffffff0087ce7c8
0xfffffff0087ce724: e90313aa  mov	x9, x19
0xfffffff0087ce728: 686e4bb9  ldr	w8, [x19, #0xb6c]
0xfffffff0087ce72c: 681e088b  add	x8, x19, x8, lsl #7
0xfffffff0087ce730: 08a10b91  add	x8, x8, #0x2e8
0xfffffff0087ce734: f50308aa  mov	x21, x8
0xfffffff0087ce738: 080140f9  ldr	x8, [x8]
0xfffffff0087ce73c: c8ffffb5  cbnz	x8, #0xfffffff0087ce734
0xfffffff0087ce740: bf2200b9  str	wzr, [x21, #0x20]
0xfffffff0087ce744: b9559552  mov	w25, #0xaaad
0xfffffff0087ce748: 5955b772  movk	w25, #0xbaaa, lsl #16
0xfffffff0087ce74c: fb0313aa  mov	x27, x19
0xfffffff0087ce750: ba0357f8  ldur	x26, [x29, #-0x90]
