; Candidate 8274
; ADRP+ADD at VM 0xfffffff0088a0354 (fileoff 0x189c354): page=0x1fe949000 add_imm=0xe80

0xfffffff0088a02d4: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0088a02d8: 888e8052  mov	w8, #0x474
0xfffffff0088a02dc: 094cffd0  adrp	x9, #0xfffffff007222000
0xfffffff0088a02e0: 293d3191  add	x9, x9, #0xc4f
0xfffffff0088a02e4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088a02e8: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a02ec: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a02f0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a02f4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a02f8: a80f8052  mov	w8, #0x7d
0xfffffff0088a02fc: 804cffb0  adrp	x0, #0xfffffff007231000
0xfffffff0088a0300: 00c40891  add	x0, x0, #0x231
0xfffffff0088a0304: 62010014  b	#0xfffffff0088a088c
0xfffffff0088a0308: a94f0094  bl	#0xfffffff0088b41ac
0xfffffff0088a030c: f60300aa  mov	x22, x0
0xfffffff0088a0310: 80008052  mov	w0, #4
0xfffffff0088a0314: 4f6dff97  bl	#0xfffffff00887b850
0xfffffff0088a0318: e80315aa  mov	x8, x21
0xfffffff0088a031c: 690240b9  ldr	w9, [x19]
0xfffffff0088a0320: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088a0324: 884bff90  adrp	x8, #0xfffffff007210000
0xfffffff0088a0328: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088a032c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a0330: 288d8052  mov	w8, #0x469
0xfffffff0088a0334: 094cffd0  adrp	x9, #0xfffffff007222000
0xfffffff0088a0338: 293d3191  add	x9, x9, #0xc4f
0xfffffff0088a033c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a0340: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a0344: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a0348: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a034c: a80f8052  mov	w8, #0x7d
0xfffffff0088a0350: f62300a9  stp	x22, x8, [sp]
0xfffffff0088a0354: 404affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a0358: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a035c: 418bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a0360: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a0364: 034effb0  adrp	x3, #0xfffffff007261000
0xfffffff0088a0368: 63a80c91  add	x3, x3, #0x32a
0xfffffff0088a036c: 02008052  mov	w2, #0
0xfffffff0088a0370: 704bea97  bl	#0xfffffff008333130
0xfffffff0088a0374: 62010014  b	#0xfffffff0088a08fc
0xfffffff0088a0378: 8d4f0094  bl	#0xfffffff0088b41ac
0xfffffff0088a037c: f50300aa  mov	x21, x0
0xfffffff0088a0380: 80008052  mov	w0, #4
0xfffffff0088a0384: 336dff97  bl	#0xfffffff00887b850
0xfffffff0088a0388: 680240b9  ldr	w8, [x19]
0xfffffff0088a038c: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088a0390: 884cff90  adrp	x8, #0xfffffff007230000
0xfffffff0088a0394: 08511691  add	x8, x8, #0x594
0xfffffff0088a0398: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0088a039c: a88b8052  mov	w8, #0x45d
0xfffffff0088a03a0: 094cffd0  adrp	x9, #0xfffffff007222000
0xfffffff0088a03a4: 293d3191  add	x9, x9, #0xc4f
0xfffffff0088a03a8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a03ac: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a03b0: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a03b4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a03b8: a80f8052  mov	w8, #0x7d
0xfffffff0088a03bc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a03c0: 404affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a03c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a03c8: 418bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a03cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a03d0: 034effb0  adrp	x3, #0xfffffff007261000
