; Candidate 7056
; ADRP+ADD at VM 0xfffffff00885436c (fileoff 0x185036c): page=0x1fe995000 add_imm=0xe80

0xfffffff0088542ec: 684efff0  adrp	x8, #0xfffffff007223000
0xfffffff0088542f0: 08112291  add	x8, x8, #0x884
0xfffffff0088542f4: fc2301a9  stp	x28, x8, [sp, #0x10]
0xfffffff0088542f8: 880c8052  mov	w8, #0x64
0xfffffff0088542fc: 804effd0  adrp	x0, #0xfffffff007226000
0xfffffff008854300: 00282291  add	x0, x0, #0x88a
0xfffffff008854304: e80700f9  str	x8, [sp, #8]
0xfffffff008854308: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff00885430c: e80300f9  str	x8, [sp]
0xfffffff008854310: 548cd597  bl	#0xfffffff007db7460
0xfffffff008854314: 47000014  b	#0xfffffff008854430
0xfffffff008854318: a57f0194  bl	#0xfffffff0088b41ac
0xfffffff00885431c: f60300aa  mov	x22, x0
0xfffffff008854320: 80008052  mov	w0, #4
0xfffffff008854324: 4b9d0094  bl	#0xfffffff00887b850
0xfffffff008854328: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885432c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff008854330: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008854334: 884effd0  adrp	x8, #0xfffffff007226000
0xfffffff008854338: 0af10c91  add	x10, x8, #0x33c
0xfffffff00885433c: 28b08052  mov	w8, #0x581
0xfffffff008854340: 694efff0  adrp	x9, #0xfffffff007223000
0xfffffff008854344: 29112291  add	x9, x9, #0x884
0xfffffff008854348: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00885434c: 884efff0  adrp	x8, #0xfffffff007227000
0xfffffff008854350: 08811191  add	x8, x8, #0x460
0xfffffff008854354: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008854358: 880c8052  mov	w8, #0x64
0xfffffff00885435c: e34ffff0  adrp	x3, #0xfffffff007253000
0xfffffff008854360: 634c1b91  add	x3, x3, #0x6d3
0xfffffff008854364: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008854368: f60300f9  str	x22, [sp]
0xfffffff00885436c: a04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008854370: 00003a91  add	x0, x0, #0xe80
0xfffffff008854374: a18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008854378: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885437c: 02008052  mov	w2, #0
0xfffffff008854380: 6c7beb97  bl	#0xfffffff008333130
0xfffffff008854384: 167d8012  mov	w22, #-0x3e9
0xfffffff008854388: 0a010014  b	#0xfffffff0088547b0
0xfffffff00885438c: 98e20091  add	x24, x20, #0x38
0xfffffff008854390: e00318aa  mov	x0, x24
0xfffffff008854394: a76cff97  bl	#0xfffffff00882f630
0xfffffff008854398: 857f0194  bl	#0xfffffff0088b41ac
0xfffffff00885439c: a08318f8  stur	x0, [x29, #-0x78]
0xfffffff0088543a0: e0008052  mov	w0, #7
0xfffffff0088543a4: 2b9d0094  bl	#0xfffffff00887b850
0xfffffff0088543a8: e85a40b9  ldr	w8, [x23, #0x58]
0xfffffff0088543ac: a88337a9  stp	x8, x0, [x29, #-0x88]
0xfffffff0088543b0: bb1240b9  ldr	w27, [x21, #0x10]
0xfffffff0088543b4: 9c9240b9  ldr	w28, [x20, #0x90]
0xfffffff0088543b8: 998240b9  ldr	w25, [x20, #0x80]
0xfffffff0088543bc: e00318aa  mov	x0, x24
0xfffffff0088543c0: 9c6cff97  bl	#0xfffffff00882f630
0xfffffff0088543c4: e8031aaa  mov	x8, x26
0xfffffff0088543c8: c9aa43b9  ldr	w9, [x22, #0x3a8]
0xfffffff0088543cc: cac640b9  ldr	w10, [x22, #0xc4]
0xfffffff0088543d0: ea2307a9  stp	x10, x8, [sp, #0x70]
0xfffffff0088543d4: e02706a9  stp	x0, x9, [sp, #0x60]
0xfffffff0088543d8: fc6705a9  stp	x28, x25, [sp, #0x50]
0xfffffff0088543dc: f56f04a9  stp	x21, x27, [sp, #0x40]
0xfffffff0088543e0: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff0088543e4: f72303a9  stp	x23, x8, [sp, #0x30]
0xfffffff0088543e8: c8b38052  mov	w8, #0x59e
