; Candidate 16780
; ADRP+ADD at VM 0xfffffff009f563dc (fileoff 0x2f523dc): page=0x1fd90e000 add_imm=0xed6

0xfffffff009f5635c: 010b40f9  ldr	x1, [x24, #0x10]
0xfffffff009f56360: e00314aa  mov	x0, x20
0xfffffff009f56364: 020080d2  mov	x2, #0
0xfffffff009f56368: 030080d2  mov	x3, #0
0xfffffff009f5636c: 402efe97  bl	#0xfffffff009ee1c6c
0xfffffff009f56370: 201300b4  cbz	x0, #0xfffffff009f565d4
0xfffffff009f56374: f50300aa  mov	x21, x0
0xfffffff009f56378: f63300f9  str	x22, [sp, #0x60]
0xfffffff009f5637c: 690240f9  ldr	x9, [x19]
0xfffffff009f56380: 281140f9  ldr	x8, [x9, #0x20]
0xfffffff009f56384: 08050091  add	x8, x8, #1
0xfffffff009f56388: 281100f9  str	x8, [x9, #0x20]
0xfffffff009f5638c: 2a278cd2  mov	x10, #0x6139
0xfffffff009f56390: 4a18adf2  movk	x10, #0x68c2, lsl #16
0xfffffff009f56394: cacad6f2  movk	x10, #0xb656, lsl #32
0xfffffff009f56398: ea21eff2  movk	x10, #0x790f, lsl #48
0xfffffff009f5639c: 0a7d0a9b  mul	x10, x8, x10
0xfffffff009f563a0: 4a15ca93  ror	x10, x10, #5
0xfffffff009f563a4: 6b7b8dd2  mov	x11, #0x6bdb
0xfffffff009f563a8: 2be8bdf2  movk	x11, #0xef41, lsl #16
0xfffffff009f563ac: ab31c4f2  movk	x11, #0x218d, lsl #32
0xfffffff009f563b0: 5f010beb  cmp	x10, x11
0xfffffff009f563b4: a8010054  b.hi	#0xfffffff009f563e8
0xfffffff009f563b8: 0a3e8452  mov	w10, #0x21f0
0xfffffff009f563bc: 8a020a8b  add	x10, x20, x10
0xfffffff009f563c0: 290d40f9  ldr	x9, [x9, #0x18]
0xfffffff009f563c4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff009f563c8: 68c8fed0  adrp	x8, #0xfffffff007864000
0xfffffff009f563cc: 08093b91  add	x8, x8, #0xec2
0xfffffff009f563d0: 09a08052  mov	w9, #0x500
0xfffffff009f563d4: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009f563d8: e80300f9  str	x8, [sp]
0xfffffff009f563dc: 60c8fed0  adrp	x0, #0xfffffff007864000
0xfffffff009f563e0: 00583b91  add	x0, x0, #0xed6
0xfffffff009f563e4: 22a5fc97  bl	#0xfffffff009e7f86c
0xfffffff009f563e8: f82f00f9  str	x24, [sp, #0x58]
0xfffffff009f563ec: f43700f9  str	x20, [sp, #0x68]
0xfffffff009f563f0: a8124179  ldrh	w8, [x21, #0x88]
0xfffffff009f563f4: 1c0d1412  and	w28, w8, #0xf000
0xfffffff009f563f8: 9f234071  cmp	w28, #8, lsl #12
0xfffffff009f563fc: e1000054  b.ne	#0xfffffff009f56418
0xfffffff009f56400: b6ca40f9  ldr	x22, [x21, #0x190]
0xfffffff009f56404: f9de7d97  bl	#0xfffffff007ecdfe8
0xfffffff009f56408: df0200eb  cmp	x22, x0
0xfffffff009f5640c: 60000054  b.eq	#0xfffffff009f56418
0xfffffff009f56410: a0c20591  add	x0, x21, #0x170
0xfffffff009f56414: bd5d7997  bl	#0xfffffff007dadb08
0xfffffff009f56418: b6820291  add	x22, x21, #0xa0
0xfffffff009f5641c: e00316aa  mov	x0, x22
0xfffffff009f56420: 645d7997  bl	#0xfffffff007dad9b0
0xfffffff009f56424: a8b64039  ldrb	w8, [x21, #0x2d]
0xfffffff009f56428: 88040036  tbz	w8, #0, #0xfffffff009f564b8
0xfffffff009f5642c: bac20591  add	x26, x21, #0x170
0xfffffff009f56430: 18408052  mov	w24, #0x200
0xfffffff009f56434: a8b20091  add	x8, x21, #0x2c
0xfffffff009f56438: 083138b8  ldset	w24, w8, [x8]
0xfffffff009f5643c: 9f234071  cmp	w28, #8, lsl #12
0xfffffff009f56440: a1020054  b.ne	#0xfffffff009f56494
0xfffffff009f56444: f4031caa  mov	x20, x28
0xfffffff009f56448: bcca40f9  ldr	x28, [x21, #0x190]
0xfffffff009f5644c: e7de7d97  bl	#0xfffffff007ecdfe8
0xfffffff009f56450: fb0300aa  mov	x27, x0
0xfffffff009f56454: 9f0300eb  cmp	x28, x0
0xfffffff009f56458: 60000054  b.eq	#0xfffffff009f56464
