; Candidate 6279
; ADRP+ADD at VM 0xfffffff00881f144 (fileoff 0x181b144): page=0x1fe9ca000 add_imm=0xe80

0xfffffff00881f0c4: e10200ad  stp	q1, q0, [x23]
0xfffffff00881f0c8: 800642ad  ldp	q0, q1, [x20, #0x40]
0xfffffff00881f0cc: 830a41ad  ldp	q3, q2, [x20, #0x20]
0xfffffff00881f0d0: e00602ad  stp	q0, q1, [x23, #0x40]
0xfffffff00881f0d4: e30a01ad  stp	q3, q2, [x23, #0x20]
0xfffffff00881f0d8: 818243ad  ldp	q1, q0, [x20, #0x70]
0xfffffff00881f0dc: 884a40f9  ldr	x8, [x20, #0x90]
0xfffffff00881f0e0: 821ac03d  ldr	q2, [x20, #0x60]
0xfffffff00881f0e4: e84a00f9  str	x8, [x23, #0x90]
0xfffffff00881f0e8: e18203ad  stp	q1, q0, [x23, #0x70]
0xfffffff00881f0ec: e21a803d  str	q2, [x23, #0x60]
0xfffffff00881f0f0: e00317aa  mov	x0, x23
0xfffffff00881f0f4: b7400094  bl	#0xfffffff00882f3d0
0xfffffff00881f0f8: b70200f9  str	x23, [x21]
0xfffffff00881f0fc: 1a000014  b	#0xfffffff00881f164
0xfffffff00881f100: 2b540294  bl	#0xfffffff0088b41ac
0xfffffff00881f104: f70300aa  mov	x23, x0
0xfffffff00881f108: 80008052  mov	w0, #4
0xfffffff00881f10c: d1710194  bl	#0xfffffff00887b850
0xfffffff00881f110: e80316aa  mov	x8, x22
0xfffffff00881f114: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881f118: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881f11c: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881f120: 884fffb0  adrp	x8, #0xfffffff007210000
0xfffffff00881f124: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881f128: e9b58152  mov	w9, #0xdaf
0xfffffff00881f12c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881f130: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f134: 084d0491  add	x8, x8, #0x113
0xfffffff00881f138: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881f13c: a80e8052  mov	w8, #0x75
0xfffffff00881f140: f72300a9  stp	x23, x8, [sp]
0xfffffff00881f144: 404effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881f148: 00003a91  add	x0, x0, #0xe80
0xfffffff00881f14c: 418fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881f150: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881f154: 4351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00881f158: 63041791  add	x3, x3, #0x5c1
0xfffffff00881f15c: 02008052  mov	w2, #0
0xfffffff00881f160: f44fec97  bl	#0xfffffff008333130
0xfffffff00881f164: a00e8052  mov	w0, #0x75
0xfffffff00881f168: e1008052  mov	w1, #7
0xfffffff00881f16c: 99710194  bl	#0xfffffff00887b7d0
0xfffffff00881f170: 20050034  cbz	w0, #0xfffffff00881f214
0xfffffff00881f174: a00e8052  mov	w0, #0x75
0xfffffff00881f178: a8710194  bl	#0xfffffff00887b818
0xfffffff00881f17c: f80300aa  mov	x24, x0
0xfffffff00881f180: 0b540294  bl	#0xfffffff0088b41ac
0xfffffff00881f184: f70300aa  mov	x23, x0
0xfffffff00881f188: e0008052  mov	w0, #7
0xfffffff00881f18c: b1710194  bl	#0xfffffff00887b850
0xfffffff00881f190: b8010034  cbz	w24, #0xfffffff00881f1c4
0xfffffff00881f194: e80316aa  mov	x8, x22
0xfffffff00881f198: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00881f19c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881f1a0: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f1a4: 084d0491  add	x8, x8, #0x113
0xfffffff00881f1a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881f1ac: a80e8052  mov	w8, #0x75
0xfffffff00881f1b0: 804fffd0  adrp	x0, #0xfffffff007211000
0xfffffff00881f1b4: 00442b91  add	x0, x0, #0xad1
0xfffffff00881f1b8: f72300a9  stp	x23, x8, [sp]
0xfffffff00881f1bc: a960d697  bl	#0xfffffff007db7460
0xfffffff00881f1c0: 15000014  b	#0xfffffff00881f214
