; Candidate 8137
; ADRP+ADD at VM 0xfffffff00889708c (fileoff 0x189308c): page=0x1ff176000 add_imm=0xe58

0xfffffff00889700c: 434eff90  adrp	x3, #0xfffffff00725f000
0xfffffff008897010: 63901f91  add	x3, x3, #0x7e4
0xfffffff008897014: 02008052  mov	w2, #0
0xfffffff008897018: 4670ea97  bl	#0xfffffff008333130
0xfffffff00889701c: 007d8012  mov	w0, #-0x3e9
0xfffffff008897020: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008897024: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008897028: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00889702c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008897030: ff430291  add	sp, sp, #0x90
0xfffffff008897034: ff0f5fd6  retab	
0xfffffff008897038: 7f2303d5  pacibsp	
0xfffffff00889703c: ff8303d1  sub	sp, sp, #0xe0
0xfffffff008897040: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff008897044: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff008897048: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff00889704c: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff008897050: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff008897054: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff008897058: fd430391  add	x29, sp, #0xd0
0xfffffff00889705c: f80306aa  mov	x24, x6
0xfffffff008897060: f70305aa  mov	x23, x5
0xfffffff008897064: f60304aa  mov	x22, x4
0xfffffff008897068: fb0303aa  mov	x27, x3
0xfffffff00889706c: fa0302aa  mov	x26, x2
0xfffffff008897070: f90301aa  mov	x25, x1
0xfffffff008897074: f50300aa  mov	x21, x0
0xfffffff008897078: 410700b4  cbz	x1, #0xfffffff008897160
0xfffffff00889707c: 7f070071  cmp	w27, #1
0xfffffff008897080: 0b070054  b.lt	#0xfffffff008897160
0xfffffff008897084: f80600b4  cbz	x24, #0xfffffff008897160
0xfffffff008897088: 1f0300f9  str	xzr, [x24]
0xfffffff00889708c: a08bffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff008897090: 00603991  add	x0, x0, #0xe58
0xfffffff008897094: 18fdea97  bl	#0xfffffff0083564f4
0xfffffff008897098: f30300aa  mov	x19, x0
0xfffffff00889709c: a10a40f9  ldr	x1, [x21, #0x10]
0xfffffff0088970a0: 04c4ff97  bl	#0xfffffff0088880b0
0xfffffff0088970a4: c00900b4  cbz	x0, #0xfffffff0088971dc
0xfffffff0088970a8: a10e40f9  ldr	x1, [x21, #0x18]
0xfffffff0088970ac: fa7f00a9  stp	x26, xzr, [sp]
0xfffffff0088970b0: e00313aa  mov	x0, x19
0xfffffff0088970b4: e20319aa  mov	x2, x25
0xfffffff0088970b8: 03008052  mov	w3, #0
0xfffffff0088970bc: 44008052  mov	w4, #2
0xfffffff0088970c0: 45a68852  mov	w5, #0x4532
0xfffffff0088970c4: c52aa872  movk	w5, #0x4156, lsl #16
0xfffffff0088970c8: e6031baa  mov	x6, x27
0xfffffff0088970cc: e70316aa  mov	x7, x22
0xfffffff0088970d0: b2c5ff97  bl	#0xfffffff008888798
0xfffffff0088970d4: 600f0034  cbz	w0, #0xfffffff0088972c0
0xfffffff0088970d8: f40300aa  mov	x20, x0
0xfffffff0088970dc: 200e8052  mov	w0, #0x71
0xfffffff0088970e0: 81008052  mov	w1, #4
0xfffffff0088970e4: bb91ff97  bl	#0xfffffff00887b7d0
0xfffffff0088970e8: 203c0034  cbz	w0, #0xfffffff00889786c
0xfffffff0088970ec: 200e8052  mov	w0, #0x71
0xfffffff0088970f0: ca91ff97  bl	#0xfffffff00887b818
0xfffffff0088970f4: f80300aa  mov	x24, x0
0xfffffff0088970f8: 2d740094  bl	#0xfffffff0088b41ac
0xfffffff0088970fc: f70300aa  mov	x23, x0
0xfffffff008897100: 80008052  mov	w0, #4
0xfffffff008897104: d391ff97  bl	#0xfffffff00887b850
0xfffffff008897108: d8180034  cbz	w24, #0xfffffff008897420
