; Candidate 10060
; ADRP+ADD at VM 0xfffffff008c8d93c (fileoff 0x1c8993c): page=0x1fe6c3000 add_imm=0xd8b

0xfffffff008c8d8bc: 0e59d997  bl	#0xfffffff0082e3cf4
0xfffffff008c8d8c0: 000200b4  cbz	x0, #0xfffffff008c8d900
0xfffffff008c8d8c4: 100040f9  ldr	x16, [x0]
0xfffffff008c8d8c8: f10300aa  mov	x17, x0
0xfffffff008c8d8cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c8d8d0: 301ac1da  autda	x16, x17
0xfffffff008c8d8d4: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008c8d8d8: e90310aa  mov	x9, x16
0xfffffff008c8d8dc: f10309aa  mov	x17, x9
0xfffffff008c8d8e0: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008c8d8e4: 11093fd7  blraa	x8, x17
0xfffffff008c8d8e8: 080040b9  ldr	w8, [x0]
0xfffffff008c8d8ec: 1f390071  cmp	w8, #0xe
0xfffffff008c8d8f0: 81000054  b.ne	#0xfffffff008c8d900
0xfffffff008c8d8f4: c80d8052  mov	w8, #0x6e
0xfffffff008c8d8f8: 880200b9  str	w8, [x20]
0xfffffff008c8d8fc: 02000014  b	#0xfffffff008c8d904
0xfffffff008c8d900: 130080d2  mov	x19, #0
0xfffffff008c8d904: e00313aa  mov	x0, x19
0xfffffff008c8d908: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008c8d90c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008c8d910: ff0f5fd6  retab	
0xfffffff008c8d914: 7f2303d5  pacibsp	
0xfffffff008c8d918: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008c8d91c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008c8d920: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008c8d924: fd830091  add	x29, sp, #0x20
0xfffffff008c8d928: f30301aa  mov	x19, x1
0xfffffff008c8d92c: f40300aa  mov	x20, x0
0xfffffff008c8d930: 28248252  mov	w8, #0x1121
0xfffffff008c8d934: 1500088b  add	x21, x0, x8
0xfffffff008c8d938: bf6a0039  strb	wzr, [x21, #0x1a]
0xfffffff008c8d93c: 0036fff0  adrp	x0, #0xfffffff007350000
0xfffffff008c8d940: 002c3691  add	x0, x0, #0xd8b
0xfffffff008c8d944: b725db97  bl	#0xfffffff008357020
0xfffffff008c8d948: 28008052  mov	w8, #1
0xfffffff008c8d94c: a8020039  strb	w8, [x21]
0xfffffff008c8d950: e870fff0  adrp	x8, #0xfffffff007aac000
0xfffffff008c8d954: 08612291  add	x8, x8, #0x898
0xfffffff008c8d958: 02010b91  add	x2, x8, #0x2c0
0xfffffff008c8d95c: 106141f9  ldr	x16, [x8, #0x2c0]
0xfffffff008c8d960: e00314aa  mov	x0, x20
0xfffffff008c8d964: e10313aa  mov	x1, x19
0xfffffff008c8d968: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008c8d96c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008c8d970: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008c8d974: ff2303d5  autibsp	
0xfffffff008c8d978: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008c8d97c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008c8d984
0xfffffff008c8d980: 208e38d4  brk	#0xc471
0xfffffff008c8d984: f10302aa  mov	x17, x2
0xfffffff008c8d988: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff008c8d98c: 110a1fd7  braa	x16, x17
0xfffffff008c8d990: 7f2303d5  pacibsp	
0xfffffff008c8d994: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008c8d998: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008c8d99c: fd430091  add	x29, sp, #0x10
0xfffffff008c8d9a0: f30300aa  mov	x19, x0
0xfffffff008c8d9a4: 087d8052  mov	w8, #0x3e8
0xfffffff008c8d9a8: 085c12b9  str	w8, [x0, #0x125c]
0xfffffff008c8d9ac: 084b8252  mov	w8, #0x1258
0xfffffff008c8d9b0: 1f682838  strb	wzr, [x0, x8]
0xfffffff008c8d9b4: 10000090  adrp	x16, #0xfffffff008c8d000
0xfffffff008c8d9b8: 10d22991  add	x16, x16, #0xa74
