; Candidate 6285
; ADRP+ADD at VM 0xfffffff00881f52c (fileoff 0x181b52c): page=0x1fe9f4000 add_imm=0xd2e

0xfffffff00881f4ac: e0830fad  stp	q0, q0, [sp, #0x1f0]
0xfffffff00881f4b0: e0830ead  stp	q0, q0, [sp, #0x1d0]
0xfffffff00881f4b4: e0830dad  stp	q0, q0, [sp, #0x1b0]
0xfffffff00881f4b8: e0830cad  stp	q0, q0, [sp, #0x190]
0xfffffff00881f4bc: e0830bad  stp	q0, q0, [sp, #0x170]
0xfffffff00881f4c0: e0830aad  stp	q0, q0, [sp, #0x150]
0xfffffff00881f4c4: e08309ad  stp	q0, q0, [sp, #0x130]
0xfffffff00881f4c8: e08308ad  stp	q0, q0, [sp, #0x110]
0xfffffff00881f4cc: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff00881f4d0: e08306ad  stp	q0, q0, [sp, #0xd0]
0xfffffff00881f4d4: e08305ad  stp	q0, q0, [sp, #0xb0]
0xfffffff00881f4d8: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff00881f4dc: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff00881f4e0: e01b803d  str	q0, [sp, #0x60]
0xfffffff00881f4e4: a00e8052  mov	w0, #0x75
0xfffffff00881f4e8: e1008052  mov	w1, #7
0xfffffff00881f4ec: b9700194  bl	#0xfffffff00887b7d0
0xfffffff00881f4f0: a0040034  cbz	w0, #0xfffffff00881f584
0xfffffff00881f4f4: a00e8052  mov	w0, #0x75
0xfffffff00881f4f8: c8700194  bl	#0xfffffff00887b818
0xfffffff00881f4fc: f60300aa  mov	x22, x0
0xfffffff00881f500: 2b530294  bl	#0xfffffff0088b41ac
0xfffffff00881f504: f50300aa  mov	x21, x0
0xfffffff00881f508: e0008052  mov	w0, #7
0xfffffff00881f50c: d1700194  bl	#0xfffffff00887b850
0xfffffff00881f510: 76010034  cbz	w22, #0xfffffff00881f53c
0xfffffff00881f514: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881f518: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f51c: 08e90491  add	x8, x8, #0x13a
0xfffffff00881f520: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881f524: a80e8052  mov	w8, #0x75
0xfffffff00881f528: f52300a9  stp	x21, x8, [sp]
0xfffffff00881f52c: a04fff90  adrp	x0, #0xfffffff007213000
0xfffffff00881f530: 00b83491  add	x0, x0, #0xd2e
0xfffffff00881f534: cb5fd697  bl	#0xfffffff007db7460
0xfffffff00881f538: 13000014  b	#0xfffffff00881f584
0xfffffff00881f53c: 1c530294  bl	#0xfffffff0088b41ac
0xfffffff00881f540: f50300aa  mov	x21, x0
0xfffffff00881f544: e0008052  mov	w0, #7
0xfffffff00881f548: c2700194  bl	#0xfffffff00887b850
0xfffffff00881f54c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881f550: 0850ffb0  adrp	x8, #0xfffffff007220000
0xfffffff00881f554: 08e90491  add	x8, x8, #0x13a
0xfffffff00881f558: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881f55c: a80e8052  mov	w8, #0x75
0xfffffff00881f560: f52300a9  stp	x21, x8, [sp]
0xfffffff00881f564: 404effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881f568: 00003a91  add	x0, x0, #0xe80
0xfffffff00881f56c: 418fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00881f570: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881f574: 4351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff00881f578: 638c1991  add	x3, x3, #0x663
0xfffffff00881f57c: 02008052  mov	w2, #0
0xfffffff00881f580: ec4eec97  bl	#0xfffffff008333130
0xfffffff00881f584: e82e41b9  ldr	w8, [x23, #0x12c]
0xfffffff00881f588: 68010034  cbz	w8, #0xfffffff00881f5b4
0xfffffff00881f58c: 68ba4391  add	x8, x19, #0xee, lsl #12
0xfffffff00881f590: 00612b91  add	x0, x8, #0xad8
0xfffffff00881f594: 811240b9  ldr	w1, [x20, #0x10]
0xfffffff00881f598: 884a40f9  ldr	x8, [x20, #0x90]
0xfffffff00881f59c: a80300b4  cbz	x8, #0xfffffff00881f610
0xfffffff00881f5a0: 02c540b9  ldr	w2, [x8, #0xc4]
0xfffffff00881f5a4: 89668b52  mov	w9, #0x5b34
0xfffffff00881f5a8: 036969b8  ldr	w3, [x8, x9]
