; Candidate 12099
; ADRP+ADD at VM 0xfffffff008fe7224 (fileoff 0x1fe3224): page=0x1fe450000 add_imm=0xd1b

0xfffffff008fe71a4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008fe71a8: 09008012  mov	w9, #-1
0xfffffff008fe71ac: 8a22ff90  adrp	x10, #0xfffffff007437000
0xfffffff008fe71b0: 4a812b91  add	x10, x10, #0xae0
0xfffffff008fe71b4: f92701a9  stp	x25, x9, [sp, #0x10]
0xfffffff008fe71b8: ea2300a9  stp	x10, x8, [sp]
0xfffffff008fe71bc: 8022ff90  adrp	x0, #0xfffffff007437000
0xfffffff008fe71c0: 00a42e91  add	x0, x0, #0xba9
0xfffffff008fe71c4: d2b4d297  bl	#0xfffffff00849450c
0xfffffff008fe71c8: 08178052  mov	w8, #0xb8
0xfffffff008fe71cc: 8922ff90  adrp	x9, #0xfffffff007437000
0xfffffff008fe71d0: 29692791  add	x9, x9, #0x9da
0xfffffff008fe71d4: 0a008012  mov	w10, #-1
0xfffffff008fe71d8: e9a302a9  stp	x9, x8, [sp, #0x28]
0xfffffff008fe71dc: f3ab01a9  stp	x19, x10, [sp, #0x18]
0xfffffff008fe71e0: 8922ff90  adrp	x9, #0xfffffff007437000
0xfffffff008fe71e4: 29812b91  add	x9, x9, #0xae0
0xfffffff008fe71e8: e8e700a9  stp	x8, x25, [sp, #8]
0xfffffff008fe71ec: 8022ff90  adrp	x0, #0xfffffff007437000
0xfffffff008fe71f0: 00882f91  add	x0, x0, #0xbe2
0xfffffff008fe71f4: e90300f9  str	x9, [sp]
0xfffffff008fe71f8: c5b4d297  bl	#0xfffffff00849450c
0xfffffff008fe71fc: 2b015eb8  ldur	w11, [x9, #-0x20]
0xfffffff008fe7200: e91c8052  mov	w9, #0xe7
0xfffffff008fe7204: 8a22ff90  adrp	x10, #0xfffffff007437000
0xfffffff008fe7208: 4a692791  add	x10, x10, #0x9da
0xfffffff008fe720c: eaa702a9  stp	x10, x9, [sp, #0x28]
0xfffffff008fe7210: 8822ff90  adrp	x8, #0xfffffff007437000
0xfffffff008fe7214: 08812b91  add	x8, x8, #0xae0
0xfffffff008fe7218: ea2740f9  ldr	x10, [sp, #0x48]
0xfffffff008fe721c: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008fe7220: f90b00f9  str	x25, [sp, #0x10]
0xfffffff008fe7224: 8022ff90  adrp	x0, #0xfffffff007437000
0xfffffff008fe7228: 006c3491  add	x0, x0, #0xd1b
0xfffffff008fe722c: 0d000014  b	#0xfffffff008fe7260
0xfffffff008fe7230: 2b015eb8  ldur	w11, [x9, #-0x20]
0xfffffff008fe7234: 091d8052  mov	w9, #0xe8
0xfffffff008fe7238: 8a22ff90  adrp	x10, #0xfffffff007437000
0xfffffff008fe723c: 4a692791  add	x10, x10, #0x9da
0xfffffff008fe7240: eaa702a9  stp	x10, x9, [sp, #0x28]
0xfffffff008fe7244: 8822ff90  adrp	x8, #0xfffffff007437000
0xfffffff008fe7248: 08812b91  add	x8, x8, #0xae0
0xfffffff008fe724c: ea2740f9  ldr	x10, [sp, #0x48]
0xfffffff008fe7250: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008fe7254: f90b00f9  str	x25, [sp, #0x10]
0xfffffff008fe7258: 8022ff90  adrp	x0, #0xfffffff007437000
0xfffffff008fe725c: 006c3591  add	x0, x0, #0xd5b
0xfffffff008fe7260: e82700a9  stp	x8, x9, [sp]
0xfffffff008fe7264: aab4d297  bl	#0xfffffff00849450c
0xfffffff008fe7268: 88148052  mov	w8, #0xa4
0xfffffff008fe726c: 8922ff90  adrp	x9, #0xfffffff007437000
0xfffffff008fe7270: 29692791  add	x9, x9, #0x9da
0xfffffff008fe7274: 8a22ff90  adrp	x10, #0xfffffff007437000
0xfffffff008fe7278: 4a812b91  add	x10, x10, #0xae0
0xfffffff008fe727c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fe7280: e8e700a9  stp	x8, x25, [sp, #8]
0xfffffff008fe7284: ea0300f9  str	x10, [sp]
0xfffffff008fe7288: 8022ff90  adrp	x0, #0xfffffff007437000
0xfffffff008fe728c: 00142e91  add	x0, x0, #0xb85
0xfffffff008fe7290: 9fb4d297  bl	#0xfffffff00849450c
0xfffffff008fe7294: 8822ff90  adrp	x8, #0xfffffff007437000
0xfffffff008fe7298: 08692791  add	x8, x8, #0x9da
0xfffffff008fe729c: 09198052  mov	w9, #0xc8
0xfffffff008fe72a0: e82702a9  stp	x8, x9, [sp, #0x20]
