; Candidate 9220
; ADRP+ADD at VM 0xfffffff008a0d974 (fileoff 0x1a09974): page=0x1ff04b000 add_imm=0xe18

0xfffffff008a0d8f4: 80c600b0  adrp	x0, #0xfffffff00a2de000
0xfffffff008a0d8f8: 00402491  add	x0, x0, #0x910
0xfffffff008a0d8fc: c0035fd6  ret	
0xfffffff008a0d900: 7f2303d5  pacibsp	
0xfffffff008a0d904: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a0d908: fd030091  mov	x29, sp
0xfffffff008a0d90c: 6144ffd0  adrp	x1, #0xfffffff00729b000
0xfffffff008a0d910: 21ec1691  add	x1, x1, #0x5bb
0xfffffff008a0d914: e281ffd0  adrp	x2, #0xfffffff007a4b000
0xfffffff008a0d918: 423046f9  ldr	x2, [x2, #0xc60]
0xfffffff008a0d91c: 03148052  mov	w3, #0xa0
0xfffffff008a0d920: 8658e397  bl	#0xfffffff0082e3b38
0xfffffff008a0d924: 1082fff0  adrp	x16, #0xfffffff007a50000
0xfffffff008a0d928: 10e22191  add	x16, x16, #0x878
0xfffffff008a0d92c: 10420091  add	x16, x16, #0x10
0xfffffff008a0d930: f10300aa  mov	x17, x0
0xfffffff008a0d934: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d938: 300ac1da  pacda	x16, x17
0xfffffff008a0d93c: 100000f9  str	x16, [x0]
0xfffffff008a0d940: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a0d944: ff0f5fd6  retab	
0xfffffff008a0d948: 5f2403d5  bti	c
0xfffffff008a0d94c: 000080d2  mov	x0, #0
0xfffffff008a0d950: c0035fd6  ret	
0xfffffff008a0d954: 5f2403d5  bti	c
0xfffffff008a0d958: e10300aa  mov	x1, x0
0xfffffff008a0d95c: 4082fff0  adrp	x0, #0xfffffff007a58000
0xfffffff008a0d960: 00603891  add	x0, x0, #0xe18
0xfffffff008a0d964: 3567e317  b	#0xfffffff0082e7638
0xfffffff008a0d968: 5f2403d5  bti	c
0xfffffff008a0d96c: e20301aa  mov	x2, x1
0xfffffff008a0d970: e10300aa  mov	x1, x0
0xfffffff008a0d974: 4082fff0  adrp	x0, #0xfffffff007a58000
0xfffffff008a0d978: 00603891  add	x0, x0, #0xe18
0xfffffff008a0d97c: 4867e317  b	#0xfffffff0082e769c
0xfffffff008a0d980: 7f2303d5  pacibsp	
0xfffffff008a0d984: ffc300d1  sub	sp, sp, #0x30
0xfffffff008a0d988: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008a0d98c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008a0d990: fd830091  add	x29, sp, #0x20
0xfffffff008a0d994: ff0700f9  str	xzr, [sp, #8]
0xfffffff008a0d998: b6dcf197  bl	#0xfffffff008684c70
0xfffffff008a0d99c: 200300b4  cbz	x0, #0xfffffff008a0da00
0xfffffff008a0d9a0: f30300aa  mov	x19, x0
0xfffffff008a0d9a4: 100040f9  ldr	x16, [x0]
0xfffffff008a0d9a8: f10300aa  mov	x17, x0
0xfffffff008a0d9ac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d9b0: 301ac1da  autda	x16, x17
0xfffffff008a0d9b4: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff008a0d9b8: e90310aa  mov	x9, x16
0xfffffff008a0d9bc: e1230091  add	x1, sp, #8
0xfffffff008a0d9c0: 020080d2  mov	x2, #0
0xfffffff008a0d9c4: 030080d2  mov	x3, #0
0xfffffff008a0d9c8: f10309aa  mov	x17, x9
0xfffffff008a0d9cc: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff008a0d9d0: 11093fd7  blraa	x8, x17
0xfffffff008a0d9d4: 700240f9  ldr	x16, [x19]
0xfffffff008a0d9d8: f10313aa  mov	x17, x19
0xfffffff008a0d9dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d9e0: 301ac1da  autda	x16, x17
0xfffffff008a0d9e4: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a0d9e8: e90310aa  mov	x9, x16
0xfffffff008a0d9ec: e00313aa  mov	x0, x19
0xfffffff008a0d9f0: f10309aa  mov	x17, x9
