; Candidate 8616
; ADRP+ADD at VM 0xfffffff0088b7c98 (fileoff 0x18b3c98): page=0x1fe932000 add_imm=0xe80

0xfffffff0088b7c18: 200d0035  cbnz	w0, #0xfffffff0088b7dbc
0xfffffff0088b7c1c: a0088052  mov	w0, #0x45
0xfffffff0088b7c20: e1008052  mov	w1, #7
0xfffffff0088b7c24: eb0eff97  bl	#0xfffffff00887b7d0
0xfffffff0088b7c28: e0010034  cbz	w0, #0xfffffff0088b7c64
0xfffffff0088b7c2c: a0088052  mov	w0, #0x45
0xfffffff0088b7c30: fa0eff97  bl	#0xfffffff00887b818
0xfffffff0088b7c34: fb0300aa  mov	x27, x0
0xfffffff0088b7c38: 5df1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7c3c: fa0300aa  mov	x26, x0
0xfffffff0088b7c40: e0008052  mov	w0, #7
0xfffffff0088b7c44: 030fff97  bl	#0xfffffff00887b850
0xfffffff0088b7c48: bb090034  cbz	w27, #0xfffffff0088b7d7c
0xfffffff0088b7c4c: 28c35fb8  ldur	w8, [x25, #-4]
0xfffffff0088b7c50: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7c54: fa5f00a9  stp	x26, x23, [sp]
0xfffffff0088b7c58: e04bffd0  adrp	x0, #0xfffffff007235000
0xfffffff0088b7c5c: 00901e91  add	x0, x0, #0x7a4
0xfffffff0088b7c60: 00fed397  bl	#0xfffffff007db7460
0xfffffff0088b7c64: 887f0853  lsr	w8, w28, #8
0xfffffff0088b7c68: d602188b  add	x22, x22, x24
0xfffffff0088b7c6c: 39530091  add	x25, x25, #0x14
0xfffffff0088b7c70: 9fff0371  cmp	w28, #0xff
0xfffffff0088b7c74: fc0308aa  mov	x28, x8
0xfffffff0088b7c78: c8eaff54  b.hi	#0xfffffff0088b79d0
0xfffffff0088b7c7c: 66000014  b	#0xfffffff0088b7e14
0xfffffff0088b7c80: 4bf1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7c84: fa0300aa  mov	x26, x0
0xfffffff0088b7c88: 80008052  mov	w0, #4
0xfffffff0088b7c8c: f10eff97  bl	#0xfffffff00887b850
0xfffffff0088b7c90: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0088b7c94: fa0300f9  str	x26, [sp]
0xfffffff0088b7c98: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b7c9c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b7ca0: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b7ca4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b7ca8: 02008052  mov	w2, #0
0xfffffff0088b7cac: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b7cb0: 63641491  add	x3, x3, #0x519
0xfffffff0088b7cb4: 1fede997  bl	#0xfffffff008333130
0xfffffff0088b7cb8: ebffff17  b	#0xfffffff0088b7c64
0xfffffff0088b7cbc: 3cf1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7cc0: fa0300aa  mov	x26, x0
0xfffffff0088b7cc4: e0008052  mov	w0, #7
0xfffffff0088b7cc8: e20eff97  bl	#0xfffffff00887b850
0xfffffff0088b7ccc: 28435fb8  ldur	w8, [x25, #-0xc]
0xfffffff0088b7cd0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7cd4: fa5f00a9  stp	x26, x23, [sp]
0xfffffff0088b7cd8: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b7cdc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b7ce0: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b7ce4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b7ce8: 02008052  mov	w2, #0
0xfffffff0088b7cec: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b7cf0: 63c41291  add	x3, x3, #0x4b1
0xfffffff0088b7cf4: 0fede997  bl	#0xfffffff008333130
0xfffffff0088b7cf8: dbffff17  b	#0xfffffff0088b7c64
0xfffffff0088b7cfc: 2cf1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7d00: fa0300aa  mov	x26, x0
0xfffffff0088b7d04: e0008052  mov	w0, #7
0xfffffff0088b7d08: d20eff97  bl	#0xfffffff00887b850
0xfffffff0088b7d0c: 28835fb8  ldur	w8, [x25, #-8]
0xfffffff0088b7d10: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7d14: fa5f00a9  stp	x26, x23, [sp]
