; Candidate 9869
; ADRP+ADD at VM 0xfffffff008b65f84 (fileoff 0x1b61f84): page=0x1fef2e000 add_imm=0xeb0

0xfffffff008b65f04: 00c03991  add	x0, x0, #0xe70
0xfffffff008b65f08: 82ffff17  b	#0xfffffff008b65d10
0xfffffff008b65f0c: 28008052  mov	w8, #1
0xfffffff008b65f10: 880200b9  str	w8, [x20]
0xfffffff008b65f14: 9f2a01b9  str	wzr, [x20, #0x128]
0xfffffff008b65f18: e0830091  add	x0, sp, #0x20
0xfffffff008b65f1c: ad800094  bl	#0xfffffff008b861d0
0xfffffff008b65f20: 200a00b4  cbz	x0, #0xfffffff008b66064
0xfffffff008b65f24: f40300aa  mov	x20, x0
0xfffffff008b65f28: a02640f9  ldr	x0, [x21, #0x48]
0xfffffff008b65f2c: 100040f9  ldr	x16, [x0]
0xfffffff008b65f30: f10300aa  mov	x17, x0
0xfffffff008b65f34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65f38: 301ac1da  autda	x16, x17
0xfffffff008b65f3c: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff008b65f40: e90310aa  mov	x9, x16
0xfffffff008b65f44: e10314aa  mov	x1, x20
0xfffffff008b65f48: f10309aa  mov	x17, x9
0xfffffff008b65f4c: 5160f8f2  movk	x17, #0xc302, lsl #48
0xfffffff008b65f50: 11093fd7  blraa	x8, x17
0xfffffff008b65f54: 900240f9  ldr	x16, [x20]
0xfffffff008b65f58: f10314aa  mov	x17, x20
0xfffffff008b65f5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b65f60: 301ac1da  autda	x16, x17
0xfffffff008b65f64: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b65f68: e90310aa  mov	x9, x16
0xfffffff008b65f6c: e00314aa  mov	x0, x20
0xfffffff008b65f70: f10309aa  mov	x17, x9
0xfffffff008b65f74: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b65f78: 11093fd7  blraa	x8, x17
0xfffffff008b65f7c: 685e4339  ldrb	w8, [x19, #0xd7]
0xfffffff008b65f80: a81e0034  cbz	w8, #0xfffffff008b66354
0xfffffff008b65f84: 6079ffd0  adrp	x0, #0xfffffff007a93000
0xfffffff008b65f88: 00c03a91  add	x0, x0, #0xeb0
0xfffffff008b65f8c: 5ac1df97  bl	#0xfffffff0083564f4
0xfffffff008b65f90: e00f00f9  str	x0, [sp, #0x18]
0xfffffff008b65f94: c00800b4  cbz	x0, #0xfffffff008b660ac
0xfffffff008b65f98: f40300aa  mov	x20, x0
0xfffffff008b65f9c: e00313aa  mov	x0, x19
0xfffffff008b65fa0: 01018052  mov	w1, #8
0xfffffff008b65fa4: 020080d2  mov	x2, #0
0xfffffff008b65fa8: 35b2e297  bl	#0xfffffff00841287c
0xfffffff008b65fac: 800600f9  str	x0, [x20, #8]
0xfffffff008b65fb0: c00900b4  cbz	x0, #0xfffffff008b660e8
0xfffffff008b65fb4: a15a40b9  ldr	w1, [x21, #0x58]
0xfffffff008b65fb8: 811200b9  str	w1, [x20, #0x10]
0xfffffff008b65fbc: 423efff0  adrp	x2, #0xfffffff007330000
0xfffffff008b65fc0: 427c0f91  add	x2, x2, #0x3df
0xfffffff008b65fc4: 5cade297  bl	#0xfffffff008411534
0xfffffff008b65fc8: 800640f9  ldr	x0, [x20, #8]
0xfffffff008b65fcc: 881240b9  ldr	w8, [x20, #0x10]
0xfffffff008b65fd0: 01050011  add	w1, w8, #1
0xfffffff008b65fd4: 423efff0  adrp	x2, #0xfffffff007330000
0xfffffff008b65fd8: 42a80f91  add	x2, x2, #0x3ea
0xfffffff008b65fdc: 56ade297  bl	#0xfffffff008411534
0xfffffff008b65fe0: 810640f9  ldr	x1, [x20, #8]
0xfffffff008b65fe4: 223effd0  adrp	x2, #0xfffffff00732b000
0xfffffff008b65fe8: 42ec2a91  add	x2, x2, #0xabb
0xfffffff008b65fec: 433efff0  adrp	x3, #0xfffffff007330000
0xfffffff008b65ff0: 63f40f91  add	x3, x3, #0x3fd
0xfffffff008b65ff4: e00313aa  mov	x0, x19
0xfffffff008b65ff8: acc5e297  bl	#0xfffffff0084176a8
0xfffffff008b65ffc: 00080034  cbz	w0, #0xfffffff008b660fc
0xfffffff008b66000: a80240b9  ldr	w8, [x21]
