; Candidate 12719
; ADRP+ADD at VM 0xfffffff00912cb48 (fileoff 0x2128b48): page=0x1fe34f000 add_imm=0xdd9

0xfffffff00912cac8: 61040054  b.ne	#0xfffffff00912cb54
0xfffffff00912cacc: f00240f9  ldr	x16, [x23]
0xfffffff00912cad0: f10317aa  mov	x17, x23
0xfffffff00912cad4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00912cad8: 301ac1da  autda	x16, x17
0xfffffff00912cadc: 11b580d2  mov	x17, #0x5a8
0xfffffff00912cae0: 1002118b  add	x16, x16, x17
0xfffffff00912cae4: 080240f9  ldr	x8, [x16]
0xfffffff00912cae8: e90310aa  mov	x9, x16
0xfffffff00912caec: e00317aa  mov	x0, x23
0xfffffff00912caf0: e10316aa  mov	x1, x22
0xfffffff00912caf4: e20315aa  mov	x2, x21
0xfffffff00912caf8: e30319aa  mov	x3, x25
0xfffffff00912cafc: e40314aa  mov	x4, x20
0xfffffff00912cb00: e50313aa  mov	x5, x19
0xfffffff00912cb04: f10309aa  mov	x17, x9
0xfffffff00912cb08: b1d6e1f2  movk	x17, #0xeb5, lsl #48
0xfffffff00912cb0c: 11093fd7  blraa	x8, x17
0xfffffff00912cb10: f30300aa  mov	x19, x0
0xfffffff00912cb14: 100340f9  ldr	x16, [x24]
0xfffffff00912cb18: f10318aa  mov	x17, x24
0xfffffff00912cb1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00912cb20: 301ac1da  autda	x16, x17
0xfffffff00912cb24: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00912cb28: e90310aa  mov	x9, x16
0xfffffff00912cb2c: e00318aa  mov	x0, x24
0xfffffff00912cb30: f10309aa  mov	x17, x9
0xfffffff00912cb34: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00912cb38: 11093fd7  blraa	x8, x17
0xfffffff00912cb3c: e00313aa  mov	x0, x19
0xfffffff00912cb40: 06000014  b	#0xfffffff00912cb58
0xfffffff00912cb44: fa0300f9  str	x26, [sp]
0xfffffff00912cb48: 601afff0  adrp	x0, #0xfffffff00747b000
0xfffffff00912cb4c: 00643791  add	x0, x0, #0xdd9
0xfffffff00912cb50: 34a9c897  bl	#0xfffffff008357020
0xfffffff00912cb54: e00318aa  mov	x0, x24
0xfffffff00912cb58: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00912cb5c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00912cb60: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00912cb64: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00912cb68: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00912cb6c: ff830191  add	sp, sp, #0x60
0xfffffff00912cb70: ff0f5fd6  retab	
0xfffffff00912cb74: 7f2303d5  pacibsp	
0xfffffff00912cb78: ff0301d1  sub	sp, sp, #0x40
0xfffffff00912cb7c: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00912cb80: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00912cb84: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00912cb88: fdc30091  add	x29, sp, #0x30
0xfffffff00912cb8c: f40303aa  mov	x20, x3
0xfffffff00912cb90: f30302aa  mov	x19, x2
0xfffffff00912cb94: f50300aa  mov	x21, x0
0xfffffff00912cb98: e4070129  stp	w4, w1, [sp, #8]
0xfffffff00912cb9c: 100040f9  ldr	x16, [x0]
0xfffffff00912cba0: f10300aa  mov	x17, x0
0xfffffff00912cba4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00912cba8: 301ac1da  autda	x16, x17
0xfffffff00912cbac: 116f80d2  mov	x17, #0x378
0xfffffff00912cbb0: 1002118b  add	x16, x16, x17
0xfffffff00912cbb4: 080240f9  ldr	x8, [x16]
0xfffffff00912cbb8: e90310aa  mov	x9, x16
0xfffffff00912cbbc: f10309aa  mov	x17, x9
0xfffffff00912cbc0: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff00912cbc4: 11093fd7  blraa	x8, x17
