; Candidate 9687
; ADRP+ADD at VM 0xfffffff008abc2c4 (fileoff 0x1ab82c4): page=0x1fe7ff000 add_imm=0xcee

0xfffffff008abc244: ac198052  mov	w12, #0xcd
0xfffffff008abc248: 087d0c1b  mul	w8, w8, w12
0xfffffff008abc24c: 0a7d0c53  lsr	w10, w8, #0xc
0xfffffff008abc250: a87e0b53  lsr	w8, w21, #0xb
0xfffffff008abc254: 08151f12  and	w8, w8, #0x7e
0xfffffff008abc258: 087d0c1b  mul	w8, w8, w12
0xfffffff008abc25c: 087d0b53  lsr	w8, w8, #0xb
0xfffffff008abc260: c9420953  ubfx	w9, w22, #9, #8
0xfffffff008abc264: 297d0c1b  mul	w9, w9, w12
0xfffffff008abc268: 297d0b53  lsr	w9, w9, #0xb
0xfffffff008abc26c: cb220153  ubfx	w11, w22, #1, #8
0xfffffff008abc270: 6b7d0c1b  mul	w11, w11, w12
0xfffffff008abc274: 6b7d0a53  lsr	w11, w11, #0xa
0xfffffff008abc278: ad2a0353  ubfx	w13, w21, #3, #8
0xfffffff008abc27c: ac7d0c1b  mul	w12, w13, w12
0xfffffff008abc280: 8c7d0c53  lsr	w12, w12, #0xc
0xfffffff008abc284: 6d630f53  ubfx	w13, w27, #0xf, #0xa
0xfffffff008abc288: af999952  mov	w15, #0xcccd
0xfffffff008abc28c: ad7d0f1b  mul	w13, w13, w15
0xfffffff008abc290: ad7d1253  lsr	w13, w13, #0x12
0xfffffff008abc294: 703b0553  ubfx	w16, w27, #5, #0xa
0xfffffff008abc298: 107e0f1b  mul	w16, w16, w15
0xfffffff008abc29c: 107e1253  lsr	w16, w16, #0x12
0xfffffff008abc2a0: 517f1b53  lsr	w17, w26, #0x1b
0xfffffff008abc2a4: 71131b33  bfi	w17, w27, #5, #5
0xfffffff008abc2a8: 317e0f1b  mul	w17, w17, w15
0xfffffff008abc2ac: 317e1353  lsr	w17, w17, #0x13
0xfffffff008abc2b0: 406b1053  ubfx	w0, w26, #0x10, #0xb
0xfffffff008abc2b4: 0f7c0f1b  mul	w15, w0, w15
0xfffffff008abc2b8: ef7d1253  lsr	w15, w15, #0x12
0xfffffff008abc2bc: c0568052  mov	w0, #0x2b6
0xfffffff008abc2c0: e06300f9  str	x0, [sp, #0xc0]
0xfffffff008abc2c4: e03ffff0  adrp	x0, #0xfffffff0072bb000
0xfffffff008abc2c8: 00b83391  add	x0, x0, #0xcee
0xfffffff008abc2cc: ee030ba9  stp	x14, x0, [sp, #0xb0]
0xfffffff008abc2d0: e67305a9  stp	x6, x28, [sp, #0x50]
0xfffffff008abc2d4: e56704a9  stp	x5, x25, [sp, #0x40]
0xfffffff008abc2d8: e46303a9  stp	x4, x24, [sp, #0x30]
0xfffffff008abc2dc: e35f02a9  stp	x3, x23, [sp, #0x20]
0xfffffff008abc2e0: e25301a9  stp	x2, x20, [sp, #0x10]
0xfffffff008abc2e4: e11f00a9  stp	x1, x7, [sp]
0xfffffff008abc2e8: ea4f0aa9  stp	x10, x19, [sp, #0xa0]
0xfffffff008abc2ec: ec2f08a9  stp	x12, x11, [sp, #0x80]
0xfffffff008abc2f0: f03707a9  stp	x16, x13, [sp, #0x70]
0xfffffff008abc2f4: e92309a9  stp	x9, x8, [sp, #0x90]
0xfffffff008abc2f8: 0040ff90  adrp	x0, #0xfffffff0072bc000
0xfffffff008abc2fc: 003c0491  add	x0, x0, #0x10f
0xfffffff008abc300: ef4706a9  stp	x15, x17, [sp, #0x60]
0xfffffff008abc304: 8260e797  bl	#0xfffffff00849450c
0xfffffff008abc308: 100040f9  ldr	x16, [x0]
0xfffffff008abc30c: f10300aa  mov	x17, x0
0xfffffff008abc310: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008abc314: 301ac1da  autda	x16, x17
0xfffffff008abc318: 112380d2  mov	x17, #0x118
0xfffffff008abc31c: 1002118b  add	x16, x16, x17
0xfffffff008abc320: 080240f9  ldr	x8, [x16]
0xfffffff008abc324: e90310aa  mov	x9, x16
0xfffffff008abc328: e13ffff0  adrp	x1, #0xfffffff0072bb000
0xfffffff008abc32c: 21383a91  add	x1, x1, #0xe8e
0xfffffff008abc330: b8df37a9  stp	x24, x23, [x29, #-0x88]
0xfffffff008abc334: a30b36a9  stp	x3, x2, [x29, #-0xa0]
0xfffffff008abc338: b90317f8  stur	x25, [x29, #-0x90]
0xfffffff008abc33c: a48315f8  stur	x4, [x29, #-0xa8]
0xfffffff008abc340: f8031baa  mov	x24, x27
