; Candidate 8507
; ADRP+ADD at VM 0xfffffff0088ae6f0 (fileoff 0x18aa6f0): page=0x1fe93b000 add_imm=0xe80

0xfffffff0088ae670: c00f8052  mov	w0, #0x7e
0xfffffff0088ae674: 6934ff97  bl	#0xfffffff00887b818
0xfffffff0088ae678: f70300aa  mov	x23, x0
0xfffffff0088ae67c: cc160094  bl	#0xfffffff0088b41ac
0xfffffff0088ae680: f60300aa  mov	x22, x0
0xfffffff0088ae684: c0008052  mov	w0, #6
0xfffffff0088ae688: 7234ff97  bl	#0xfffffff00887b850
0xfffffff0088ae68c: b7010034  cbz	w23, #0xfffffff0088ae6c0
0xfffffff0088ae690: e80315aa  mov	x8, x21
0xfffffff0088ae694: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088ae698: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae69c: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae6a0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088ae6a4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088ae6a8: c80f8052  mov	w8, #0x7e
0xfffffff0088ae6ac: a04bfff0  adrp	x0, #0xfffffff007225000
0xfffffff0088ae6b0: 00042891  add	x0, x0, #0xa01
0xfffffff0088ae6b4: f62300a9  stp	x22, x8, [sp]
0xfffffff0088ae6b8: 6a23d497  bl	#0xfffffff007db7460
0xfffffff0088ae6bc: 15000014  b	#0xfffffff0088ae710
0xfffffff0088ae6c0: bb160094  bl	#0xfffffff0088b41ac
0xfffffff0088ae6c4: f60300aa  mov	x22, x0
0xfffffff0088ae6c8: c0008052  mov	w0, #6
0xfffffff0088ae6cc: 6134ff97  bl	#0xfffffff00887b850
0xfffffff0088ae6d0: e80315aa  mov	x8, x21
0xfffffff0088ae6d4: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088ae6d8: 284cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088ae6dc: 08053a91  add	x8, x8, #0xe81
0xfffffff0088ae6e0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088ae6e4: c80f8052  mov	w8, #0x7e
0xfffffff0088ae6e8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ae6ec: f60300f9  str	x22, [sp]
0xfffffff0088ae6f0: c049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ae6f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ae6f8: c18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ae6fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ae700: a34dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088ae704: 63940191  add	x3, x3, #0x65
0xfffffff0088ae708: 02008052  mov	w2, #0
0xfffffff0088ae70c: 8912ea97  bl	#0xfffffff008333130
0xfffffff0088ae710: e00315aa  mov	x0, x21
0xfffffff0088ae714: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0088ae718: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0088ae71c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0088ae720: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0088ae724: ff830291  add	sp, sp, #0xa0
0xfffffff0088ae728: ff0f5fd6  retab	
0xfffffff0088ae72c: a0160094  bl	#0xfffffff0088b41ac
0xfffffff0088ae730: f60300aa  mov	x22, x0
0xfffffff0088ae734: 80008052  mov	w0, #4
0xfffffff0088ae738: 4634ff97  bl	#0xfffffff00887b850
0xfffffff0088ae73c: e80315aa  mov	x8, x21
0xfffffff0088ae740: 690240b9  ldr	w9, [x19]
0xfffffff0088ae744: 6a4e41b9  ldr	w10, [x19, #0x14c]
0xfffffff0088ae748: 6b5241b9  ldr	w11, [x19, #0x150]
0xfffffff0088ae74c: 6c1640b9  ldr	w12, [x19, #0x14]
0xfffffff0088ae750: ec2305a9  stp	x12, x8, [sp, #0x50]
0xfffffff0088ae754: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff0088ae758: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088ae75c: 084bffd0  adrp	x8, #0xfffffff007210000
0xfffffff0088ae760: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088ae764: 89b18052  mov	w9, #0x58c
0xfffffff0088ae768: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088ae76c: 284cffb0  adrp	x8, #0xfffffff007233000
