; Candidate 9232
; ADRP+ADD at VM 0xfffffff008a10c5c (fileoff 0x1a0cc5c): page=0x1fe889000 add_imm=0xe40

0xfffffff008a10bdc: 091243f9  ldr	x9, [x16, #0x620]
0xfffffff008a10be0: e00314aa  mov	x0, x20
0xfffffff008a10be4: f10308aa  mov	x17, x8
0xfffffff008a10be8: 11b7f0f2  movk	x17, #0x85b8, lsl #48
0xfffffff008a10bec: 31093fd7  blraa	x9, x17
0xfffffff008a10bf0: 25020014  b	#0xfffffff008a11484
0xfffffff008a10bf4: 900240f9  ldr	x16, [x20]
0xfffffff008a10bf8: f10314aa  mov	x17, x20
0xfffffff008a10bfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a10c00: 301ac1da  autda	x16, x17
0xfffffff008a10c04: 11b980d2  mov	x17, #0x5c8
0xfffffff008a10c08: 1002118b  add	x16, x16, x17
0xfffffff008a10c0c: 080240f9  ldr	x8, [x16]
0xfffffff008a10c10: e90310aa  mov	x9, x16
0xfffffff008a10c14: e00314aa  mov	x0, x20
0xfffffff008a10c18: 01008052  mov	w1, #0
0xfffffff008a10c1c: f10309aa  mov	x17, x9
0xfffffff008a10c20: 71a8f3f2  movk	x17, #0x9d43, lsl #48
0xfffffff008a10c24: 11093fd7  blraa	x8, x17
0xfffffff008a10c28: 900240f9  ldr	x16, [x20]
0xfffffff008a10c2c: f10314aa  mov	x17, x20
0xfffffff008a10c30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a10c34: 301ac1da  autda	x16, x17
0xfffffff008a10c38: 11ba80d2  mov	x17, #0x5d0
0xfffffff008a10c3c: 1002118b  add	x16, x16, x17
0xfffffff008a10c40: 080240f9  ldr	x8, [x16]
0xfffffff008a10c44: e90310aa  mov	x9, x16
0xfffffff008a10c48: e00314aa  mov	x0, x20
0xfffffff008a10c4c: f10309aa  mov	x17, x9
0xfffffff008a10c50: 515becf2  movk	x17, #0x62da, lsl #48
0xfffffff008a10c54: 11093fd7  blraa	x8, x17
0xfffffff008a10c58: c02b0034  cbz	w0, #0xfffffff008a111d0
0xfffffff008a10c5c: 4044ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a10c60: 00003991  add	x0, x0, #0xe40
0xfffffff008a10c64: c181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a10c68: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a10c6c: 6344fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a10c70: 63641391  add	x3, x3, #0x4d9
0xfffffff008a10c74: 02028052  mov	w2, #0x10
0xfffffff008a10c78: 2e89e497  bl	#0xfffffff008333130
0xfffffff008a10c7c: 4044fff0  adrp	x0, #0xfffffff00729b000
0xfffffff008a10c80: 00742b91  add	x0, x0, #0xadd
0xfffffff008a10c84: e718e597  bl	#0xfffffff008357020
0xfffffff008a10c88: 39008052  mov	w25, #1
0xfffffff008a10c8c: 900240f9  ldr	x16, [x20]
0xfffffff008a10c90: f10314aa  mov	x17, x20
0xfffffff008a10c94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a10c98: 301ac1da  autda	x16, x17
0xfffffff008a10c9c: 11a880d2  mov	x17, #0x540
0xfffffff008a10ca0: 1002118b  add	x16, x16, x17
0xfffffff008a10ca4: 080240f9  ldr	x8, [x16]
0xfffffff008a10ca8: e90310aa  mov	x9, x16
0xfffffff008a10cac: e00314aa  mov	x0, x20
0xfffffff008a10cb0: e10318aa  mov	x1, x24
0xfffffff008a10cb4: f10309aa  mov	x17, x9
0xfffffff008a10cb8: 91dafff2  movk	x17, #0xfed4, lsl #48
0xfffffff008a10cbc: 11093fd7  blraa	x8, x17
0xfffffff008a10cc0: 163700b4  cbz	x22, #0xfffffff008a113a0
0xfffffff008a10cc4: e00314aa  mov	x0, x20
0xfffffff008a10cc8: a1008052  mov	w1, #5
0xfffffff008a10ccc: 16f80094  bl	#0xfffffff008a4ed24
0xfffffff008a10cd0: 805600f9  str	x0, [x20, #0xa8]
0xfffffff008a10cd4: 006900b4  cbz	x0, #0xfffffff008a119f4
0xfffffff008a10cd8: 964640f9  ldr	x22, [x20, #0x88]
