; Candidate 9715
; ADRP+ADD at VM 0xfffffff008add09c (fileoff 0x1ad909c): page=0x1fe7e7000 add_imm=0xe96

0xfffffff008add01c: 8e5600b4  cbz	x14, #0xfffffff008addaec
0xfffffff008add020: ab55f8b7  tbnz	x11, #0x3f, #0xfffffff008addad4
0xfffffff008add024: 71fd60d3  lsr	x17, x11, #0x20
0xfffffff008add028: 21120011  add	w1, w17, #4
0xfffffff008add02c: 3f00096b  cmp	w1, w9
0xfffffff008add030: 28550054  b.hi	#0xfffffff008addad4
0xfffffff008add034: 110111ab  adds	x17, x8, x17
0xfffffff008add038: e2379f1a  cset	w2, hs
0xfffffff008add03c: 41004093  sbfx	x1, x2, #0, #1
0xfffffff008add040: 220002ca  eor	x2, x1, x2
0xfffffff008add044: e25400b5  cbnz	x2, #0xfffffff008addae0
0xfffffff008add048: c154f8b7  tbnz	x1, #0x3f, #0xfffffff008addae0
0xfffffff008add04c: 4c4f0035  cbnz	w12, #0xfffffff008adda34
0xfffffff008add050: 310280b9  ldrsw	x17, [x17]
0xfffffff008add054: 3f7e60f2  tst	x17, #-0x100000000
0xfffffff008add058: a1540054  b.ne	#0xfffffff008addaec
0xfffffff008add05c: d153f837  tbnz	w17, #0x1f, #0xfffffff008addad4
0xfffffff008add060: 3f020a6b  cmp	w17, w10
0xfffffff008add064: 82530054  b.hs	#0xfffffff008addad4
0xfffffff008add068: 114031ab  adds	x17, x0, w17, uxtw
0xfffffff008add06c: e2379f1a  cset	w2, hs
0xfffffff008add070: 41004093  sbfx	x1, x2, #0, #1
0xfffffff008add074: 220002ca  eor	x2, x1, x2
0xfffffff008add078: 425300b5  cbnz	x2, #0xfffffff008addae0
0xfffffff008add07c: 2153f8b7  tbnz	x1, #0x3f, #0xfffffff008addae0
0xfffffff008add080: 2f020039  strb	w15, [x17]
0xfffffff008add084: ce0500d1  sub	x14, x14, #1
0xfffffff008add088: 6b01108b  add	x11, x11, x16
0xfffffff008add08c: ad0500f1  subs	x13, x13, #1
0xfffffff008add090: 61fcff54  b.ne	#0xfffffff008add01c
0xfffffff008add094: 05000014  b	#0xfffffff008add0a8
0xfffffff008add098: f40300f9  str	x20, [sp]
0xfffffff008add09c: 203ffff0  adrp	x0, #0xfffffff0072c4000
0xfffffff008add0a0: 00583a91  add	x0, x0, #0xe96
0xfffffff008add0a4: dfe7e197  bl	#0xfffffff008357020
0xfffffff008add0a8: 610a5c29  ldp	w1, w2, [x19, #0xe0]
0xfffffff008add0ac: 700240f9  ldr	x16, [x19]
0xfffffff008add0b0: f10313aa  mov	x17, x19
0xfffffff008add0b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008add0b8: 301ac1da  autda	x16, x17
0xfffffff008add0bc: 11bb80d2  mov	x17, #0x5d8
0xfffffff008add0c0: 1002118b  add	x16, x16, x17
0xfffffff008add0c4: 080240f9  ldr	x8, [x16]
0xfffffff008add0c8: e90310aa  mov	x9, x16
0xfffffff008add0cc: e00313aa  mov	x0, x19
0xfffffff008add0d0: f10309aa  mov	x17, x9
0xfffffff008add0d4: 1156f2f2  movk	x17, #0x92b0, lsl #48
0xfffffff008add0d8: 11093fd7  blraa	x8, x17
0xfffffff008add0dc: 68265c29  ldp	w8, w9, [x19, #0xe0]
0xfffffff008add0e0: 0800080b  add	w8, w0, w8
0xfffffff008add0e4: 08050051  sub	w8, w8, #1
0xfffffff008add0e8: 0809c01a  udiv	w8, w8, w0
0xfffffff008add0ec: 297d001b  mul	w9, w9, w0
0xfffffff008add0f0: 68821d29  stp	w8, w0, [x19, #0xec]
0xfffffff008add0f4: 69ea00b9  str	w9, [x19, #0xe8]
0xfffffff008add0f8: 7fd60439  strb	wzr, [x19, #0x135]
0xfffffff008add0fc: b00240f9  ldr	x16, [x21]
0xfffffff008add100: f10315aa  mov	x17, x21
0xfffffff008add104: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008add108: 301ac1da  autda	x16, x17
0xfffffff008add10c: f10310aa  mov	x17, x16
0xfffffff008add110: f147c1da  xpacd	x17
0xfffffff008add114: 1f0211eb  cmp	x16, x17
0xfffffff008add118: 40000054  b.eq	#0xfffffff008add120
