; Candidate 10943
; ADRP+ADD at VM 0xfffffff008dedf38 (fileoff 0x1de9f38): page=0x1fe5d7000 add_imm=0xd21

0xfffffff008dedeb8: 2bf11f38  sturb	w11, [x9, #-1]
0xfffffff008dedebc: 0b144038  ldrb	w11, [x0], #1
0xfffffff008dedec0: 6b0d4092  and	x11, x11, #0xf
0xfffffff008dedec4: 4b696b38  ldrb	w11, [x10, x11]
0xfffffff008dedec8: 2b250038  strb	w11, [x9], #2
0xfffffff008dedecc: 080500f1  subs	x8, x8, #1
0xfffffff008deded0: e1feff54  b.ne	#0xfffffff008dedeac
0xfffffff008deded4: c0035fd6  ret	
0xfffffff008deded8: 7f2303d5  pacibsp	
0xfffffff008dededc: ff4302d1  sub	sp, sp, #0x90
0xfffffff008dedee0: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff008dedee4: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008dedee8: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008dedeec: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008dedef0: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008dedef4: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008dedef8: fd030291  add	x29, sp, #0x80
0xfffffff008dedefc: f40304aa  mov	x20, x4
0xfffffff008dedf00: f50303aa  mov	x21, x3
0xfffffff008dedf04: f30302aa  mov	x19, x2
0xfffffff008dedf08: f70301aa  mov	x23, x1
0xfffffff008dedf0c: f60300aa  mov	x22, x0
0xfffffff008dedf10: 9aa800d0  adrp	x26, #0xfffffff00a2ff000
0xfffffff008dedf14: 5a432c91  add	x26, x26, #0xb10
0xfffffff008dedf18: 48034039  ldrb	w8, [x26]
0xfffffff008dedf1c: b82effd0  adrp	x24, #0xfffffff0073c3000
0xfffffff008dedf20: 18773591  add	x24, x24, #0xd5d
0xfffffff008dedf24: b92eff90  adrp	x25, #0xfffffff0073c1000
0xfffffff008dedf28: 399f0c91  add	x25, x25, #0x327
0xfffffff008dedf2c: 1f290071  cmp	w8, #0xa
0xfffffff008dedf30: a8000054  b.hi	#0xfffffff008dedf44
0xfffffff008dedf34: f96300a9  stp	x25, x24, [sp]
0xfffffff008dedf38: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dedf3c: 00843491  add	x0, x0, #0xd21
0xfffffff008dedf40: 38a4d597  bl	#0xfffffff008357020
0xfffffff008dedf44: 930400b4  cbz	x19, #0xfffffff008dedfd4
0xfffffff008dedf48: 680240f9  ldr	x8, [x19]
0xfffffff008dedf4c: 1b0114ab  adds	x27, x8, x20
0xfffffff008dedf50: 02060054  b.hs	#0xfffffff008dee010
0xfffffff008dedf54: 760000b4  cbz	x22, #0xfffffff008dedf60
0xfffffff008dedf58: 7f0317eb  cmp	x27, x23
0xfffffff008dedf5c: e8060054  b.hi	#0xfffffff008dee038
0xfffffff008dedf60: 160100b4  cbz	x22, #0xfffffff008dedf80
0xfffffff008dedf64: f50000b4  cbz	x21, #0xfffffff008dedf80
0xfffffff008dedf68: d40000b4  cbz	x20, #0xfffffff008dedf80
0xfffffff008dedf6c: c00208ab  adds	x0, x22, x8
0xfffffff008dedf70: 22080054  b.hs	#0xfffffff008dee074
0xfffffff008dedf74: e10315aa  mov	x1, x21
0xfffffff008dedf78: e20314aa  mov	x2, x20
0xfffffff008dedf7c: 857abd97  bl	#0xfffffff007d4c990
0xfffffff008dedf80: 14008052  mov	w20, #0
0xfffffff008dedf84: 7b0200f9  str	x27, [x19]
0xfffffff008dedf88: 48018052  mov	w8, #0xa
0xfffffff008dedf8c: 49034039  ldrb	w9, [x26]
0xfffffff008dedf90: 1f01096b  cmp	w8, w9
0xfffffff008dedf94: e3000054  b.lo	#0xfffffff008dedfb0
0xfffffff008dedf98: 887e4093  sxtw	x8, w20
0xfffffff008dedf9c: f96300a9  stp	x25, x24, [sp]
0xfffffff008dedfa0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008dedfa4: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dedfa8: 00503591  add	x0, x0, #0xd54
0xfffffff008dedfac: 1da4d597  bl	#0xfffffff008357020
0xfffffff008dedfb0: e00314aa  mov	x0, x20
0xfffffff008dedfb4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
