; Candidate 15139
; ADRP+ADD at VM 0xfffffff009ac0ef4 (fileoff 0x2abcef4): page=0x1fe205000 add_imm=0xdf8

0xfffffff009ac0e74: e08309ad  stp	q0, q0, [sp, #0x130]
0xfffffff009ac0e78: e08308ad  stp	q0, q0, [sp, #0x110]
0xfffffff009ac0e7c: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff009ac0e80: e08306ad  stp	q0, q0, [sp, #0xd0]
0xfffffff009ac0e84: e08305ad  stp	q0, q0, [sp, #0xb0]
0xfffffff009ac0e88: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff009ac0e8c: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff009ac0e90: e9430191  add	x9, sp, #0x50
0xfffffff009ac0e94: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009ac0e98: 2a01088b  add	x10, x9, x8
0xfffffff009ac0e9c: 5f7d00a9  stp	xzr, xzr, [x10]
0xfffffff009ac0ea0: 08410091  add	x8, x8, #0x10
0xfffffff009ac0ea4: 1f0104f1  cmp	x8, #0x100
0xfffffff009ac0ea8: 81ffff54  b.ne	#0xfffffff009ac0e98
0xfffffff009ac0eac: 772a40f9  ldr	x23, [x19, #0x50]
0xfffffff009ac0eb0: f70100b4  cbz	x23, #0xfffffff009ac0eec
0xfffffff009ac0eb4: 010080d2  mov	x1, #0
0xfffffff009ac0eb8: 140080d2  mov	x20, #0
0xfffffff009ac0ebc: e80317aa  mov	x8, x23
0xfffffff009ac0ec0: 081940f9  ldr	x8, [x8, #0x30]
0xfffffff009ac0ec4: 94060091  add	x20, x20, #1
0xfffffff009ac0ec8: 21200091  add	x1, x1, #8
0xfffffff009ac0ecc: a8ffffb5  cbnz	x8, #0xfffffff009ac0ec0
0xfffffff009ac0ed0: 88060051  sub	w8, w20, #1
0xfffffff009ac0ed4: 1f810071  cmp	w8, #0x20
0xfffffff009ac0ed8: e2000054  b.hs	#0xfffffff009ac0ef4
0xfffffff009ac0edc: 1a0080d2  mov	x26, #0
0xfffffff009ac0ee0: f5430191  add	x21, sp, #0x50
0xfffffff009ac0ee4: 14048052  mov	w20, #0x20
0xfffffff009ac0ee8: 09000014  b	#0xfffffff009ac0f0c
0xfffffff009ac0eec: 1a0080d2  mov	x26, #0
0xfffffff009ac0ef0: 54000014  b	#0xfffffff009ac1040
0xfffffff009ac0ef4: 2010ffb0  adrp	x0, #0xfffffff007cc5000
0xfffffff009ac0ef8: 00e03791  add	x0, x0, #0xdf8
0xfffffff009ac0efc: b557a297  bl	#0xfffffff008356dd0
0xfffffff009ac0f00: f50300aa  mov	x21, x0
0xfffffff009ac0f04: 772a40f9  ldr	x23, [x19, #0x50]
0xfffffff009ac0f08: fa0300aa  mov	x26, x0
0xfffffff009ac0f0c: b70900b4  cbz	x23, #0xfffffff009ac1040
0xfffffff009ac0f10: fa1b00f9  str	x26, [sp, #0x30]
0xfffffff009ac0f14: f92300b9  str	w25, [sp, #0x20]
0xfffffff009ac0f18: a80e148b  add	x8, x21, x20, lsl #3
0xfffffff009ac0f1c: 1b0115eb  subs	x27, x8, x21
0xfffffff009ac0f20: e8279f1a  cset	w8, lo
0xfffffff009ac0f24: 7f7f60f2  tst	x27, #-0x100000000
0xfffffff009ac0f28: e9079f1a  cset	w9, ne
0xfffffff009ac0f2c: 0801092a  orr	w8, w8, w9
0xfffffff009ac0f30: e82f00b9  str	w8, [sp, #0x2c]
0xfffffff009ac0f34: 482f0037  tbnz	w8, #0, #0xfffffff009ac151c
0xfffffff009ac0f38: 160080d2  mov	x22, #0
0xfffffff009ac0f3c: 140080d2  mov	x20, #0
0xfffffff009ac0f40: 1c0080d2  mov	x28, #0
0xfffffff009ac0f44: 1900a252  mov	w25, #0x10000000
0xfffffff009ac0f48: 1a01c0d2  mov	x26, #0x800000000
0xfffffff009ac0f4c: 9f0319eb  cmp	x28, x25
0xfffffff009ac0f50: 80210054  b.eq	#0xfffffff009ac1380
0xfffffff009ac0f54: 1421f8b7  tbnz	x20, #0x3f, #0xfffffff009ac1374
0xfffffff009ac0f58: 88fe60d3  lsr	x8, x20, #0x20
0xfffffff009ac0f5c: 09210011  add	w9, w8, #8
0xfffffff009ac0f60: 3f011b6b  cmp	w9, w27
0xfffffff009ac0f64: 88200054  b.hi	#0xfffffff009ac1374
0xfffffff009ac0f68: a00208ab  adds	x0, x21, x8
0xfffffff009ac0f6c: e9379f1a  cset	w9, hs
0xfffffff009ac0f70: 28014093  sbfx	x8, x9, #0, #1
