; Candidate 11130
; ADRP+ADD at VM 0xfffffff008e74ea8 (fileoff 0x1e70ea8): page=0x1fe565000 add_imm=0xcef

0xfffffff008e74e28: f40303aa  mov	x20, x3
0xfffffff008e74e2c: f50302aa  mov	x21, x2
0xfffffff008e74e30: f60301aa  mov	x22, x1
0xfffffff008e74e34: f30300aa  mov	x19, x0
0xfffffff008e74e38: 6864fff0  adrp	x8, #0xfffffff007b03000
0xfffffff008e74e3c: 08a11591  add	x8, x8, #0x568
0xfffffff008e74e40: 098d47f8  ldr	x9, [x8, #0x78]!
0xfffffff008e74e44: f10308aa  mov	x17, x8
0xfffffff008e74e48: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff008e74e4c: 31093fd7  blraa	x9, x17
0xfffffff008e74e50: 40030034  cbz	w0, #0xfffffff008e74eb8
0xfffffff008e74e54: 765601a9  stp	x22, x21, [x19, #0x10]
0xfffffff008e74e58: 741200f9  str	x20, [x19, #0x20]
0xfffffff008e74e5c: 28008052  mov	w8, #1
0xfffffff008e74e60: 68660139  strb	w8, [x19, #0x59]
0xfffffff008e74e64: e00313aa  mov	x0, x19
0xfffffff008e74e68: 83612b94  bl	#0xfffffff00994d474
0xfffffff008e74e6c: 601a00f9  str	x0, [x19, #0x30]
0xfffffff008e74e70: 400200b4  cbz	x0, #0xfffffff008e74eb8
0xfffffff008e74e74: 202bffb0  adrp	x0, #0xfffffff0073d9000
0xfffffff008e74e78: 006c3391  add	x0, x0, #0xcdb
0xfffffff008e74e7c: 010080d2  mov	x1, #0
0xfffffff008e74e80: 02008252  mov	w2, #0x1000
0xfffffff008e74e84: 03008052  mov	w3, #0
0xfffffff008e74e88: fe5e2b94  bl	#0xfffffff00994ca80
0xfffffff008e74e8c: 601e00f9  str	x0, [x19, #0x38]
0xfffffff008e74e90: 400100b4  cbz	x0, #0xfffffff008e74eb8
0xfffffff008e74e94: 611a40f9  ldr	x1, [x19, #0x30]
0xfffffff008e74e98: 7e5e2b94  bl	#0xfffffff00994c890
0xfffffff008e74e9c: 60000034  cbz	w0, #0xfffffff008e74ea8
0xfffffff008e74ea0: 00008052  mov	w0, #0
0xfffffff008e74ea4: 05000014  b	#0xfffffff008e74eb8
0xfffffff008e74ea8: 202bffb0  adrp	x0, #0xfffffff0073d9000
0xfffffff008e74eac: 00bc3391  add	x0, x0, #0xcef
0xfffffff008e74eb0: 5c88d397  bl	#0xfffffff008357020
0xfffffff008e74eb4: 20008052  mov	w0, #1
0xfffffff008e74eb8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008e74ebc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008e74ec0: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008e74ec4: ff0f5fd6  retab	
0xfffffff008e74ec8: 5f2403d5  bti	c
0xfffffff008e74ecc: 1f640139  strb	wzr, [x0, #0x59]
0xfffffff008e74ed0: c0035fd6  ret	
0xfffffff008e74ed4: 7f2303d5  pacibsp	
0xfffffff008e74ed8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e74edc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e74ee0: fd430091  add	x29, sp, #0x10
0xfffffff008e74ee4: f30300aa  mov	x19, x0
0xfffffff008e74ee8: 28008052  mov	w8, #1
0xfffffff008e74eec: 08640139  strb	w8, [x0, #0x59]
0xfffffff008e74ef0: 088041a9  ldp	x8, x0, [x0, #0x18]
0xfffffff008e74ef4: e3010034  cbz	w3, #0xfffffff008e74f30
0xfffffff008e74ef8: c2010037  tbnz	w2, #0, #0xfffffff008e74f30
0xfffffff008e74efc: 81008052  mov	w1, #4
0xfffffff008e74f00: 020080d2  mov	x2, #0
0xfffffff008e74f04: 030080d2  mov	x3, #0
0xfffffff008e74f08: 311594d2  mov	x17, #0xa0a9
0xfffffff008e74f0c: 11093fd7  blraa	x8, x17
0xfffffff008e74f10: 688241a9  ldp	x8, x0, [x19, #0x18]
0xfffffff008e74f14: 61008052  mov	w1, #3
0xfffffff008e74f18: 020080d2  mov	x2, #0
0xfffffff008e74f1c: 030080d2  mov	x3, #0
0xfffffff008e74f20: 311594d2  mov	x17, #0xa0a9
0xfffffff008e74f24: 11093fd7  blraa	x8, x17
