; Candidate 12476
; ADRP+ADD at VM 0xfffffff0090a62c8 (fileoff 0x20a22c8): page=0x1fe3b3000 add_imm=0xe24

0xfffffff0090a6248: e00313aa  mov	x0, x19
0xfffffff0090a624c: f10309aa  mov	x17, x9
0xfffffff0090a6250: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090a6254: 11093fd7  blraa	x8, x17
0xfffffff0090a6258: 750100b4  cbz	x21, #0xfffffff0090a6284
0xfffffff0090a625c: b00240f9  ldr	x16, [x21]
0xfffffff0090a6260: f10315aa  mov	x17, x21
0xfffffff0090a6264: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090a6268: 301ac1da  autda	x16, x17
0xfffffff0090a626c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090a6270: e90310aa  mov	x9, x16
0xfffffff0090a6274: e00315aa  mov	x0, x21
0xfffffff0090a6278: f10309aa  mov	x17, x9
0xfffffff0090a627c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090a6280: 11093fd7  blraa	x8, x17
0xfffffff0090a6284: 1f030071  cmp	w24, #0
0xfffffff0090a6288: c8088052  mov	w8, #0x46
0xfffffff0090a628c: 49018052  mov	w9, #0xa
0xfffffff0090a6290: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090a6294: 499300f0  adrp	x9, #0xfffffff00a311000
0xfffffff0090a6298: 29a10391  add	x9, x9, #0xe8
0xfffffff0090a629c: 29014039  ldrb	w9, [x9]
0xfffffff0090a62a0: 1f01096b  cmp	w8, w9
0xfffffff0090a62a4: 83010054  b.lo	#0xfffffff0090a62d4
0xfffffff0090a62a8: e80318aa  mov	x8, x24
0xfffffff0090a62ac: 087d4093  sxtw	x8, w8
0xfffffff0090a62b0: e91dffb0  adrp	x9, #0xfffffff007463000
0xfffffff0090a62b4: 2afd3791  add	x10, x9, #0xdff
0xfffffff0090a62b8: e91dffb0  adrp	x9, #0xfffffff007463000
0xfffffff0090a62bc: 29212d91  add	x9, x9, #0xb48
0xfffffff0090a62c0: e92b00a9  stp	x9, x10, [sp]
0xfffffff0090a62c4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090a62c8: 801dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090a62cc: 00903891  add	x0, x0, #0xe24
0xfffffff0090a62d0: 54c3ca97  bl	#0xfffffff008357020
0xfffffff0090a62d4: e00318aa  mov	x0, x24
0xfffffff0090a62d8: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0090a62dc: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0090a62e0: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0090a62e4: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0090a62e8: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0090a62ec: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0090a62f0: ff430391  add	sp, sp, #0xd0
0xfffffff0090a62f4: ff0f5fd6  retab	
0xfffffff0090a62f8: e80318aa  mov	x8, x24
0xfffffff0090a62fc: 087d4093  sxtw	x8, w8
0xfffffff0090a6300: 69208052  mov	w9, #0x103
0xfffffff0090a6304: ea1dffb0  adrp	x10, #0xfffffff007463000
0xfffffff0090a6308: 4a393091  add	x10, x10, #0xc0e
0xfffffff0090a630c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff0090a6310: 891dfff0  adrp	x9, #0xfffffff007459000
0xfffffff0090a6314: 29b92d91  add	x9, x9, #0xb6e
0xfffffff0090a6318: ab1dff90  adrp	x11, #0xfffffff00745a000
0xfffffff0090a631c: 6b290291  add	x11, x11, #0x8a
0xfffffff0090a6320: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0090a6324: eb0300f9  str	x11, [sp]
0xfffffff0090a6328: 801dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090a632c: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090a6330: 3cc3ca97  bl	#0xfffffff008357020
0xfffffff0090a6334: f5cf44a9  ldp	x21, x19, [sp, #0x48]
0xfffffff0090a6338: bdffff17  b	#0xfffffff0090a622c
0xfffffff0090a633c: b8578052  mov	w24, #0x2bd
0xfffffff0090a6340: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff0090a6344: 081c8052  mov	w8, #0xe0
