; Candidate 8160
; ADRP+ADD at VM 0xfffffff00889878c (fileoff 0x189478c): page=0x1fe951000 add_imm=0xe80

0xfffffff00889870c: 000c2f91  add	x0, x0, #0xbc3
0xfffffff008898710: e80300f9  str	x8, [sp]
0xfffffff008898714: 537bd497  bl	#0xfffffff007db7460
0xfffffff008898718: 40000014  b	#0xfffffff008898818
0xfffffff00889871c: 76820191  add	x22, x19, #0x60
0xfffffff008898720: e00316aa  mov	x0, x22
0xfffffff008898724: c35bfe97  bl	#0xfffffff00882f630
0xfffffff008898728: 77c20191  add	x23, x19, #0x70
0xfffffff00889872c: e00317aa  mov	x0, x23
0xfffffff008898730: c05bfe97  bl	#0xfffffff00882f630
0xfffffff008898734: 9e6e0094  bl	#0xfffffff0088b41ac
0xfffffff008898738: f80300aa  mov	x24, x0
0xfffffff00889873c: e00315aa  mov	x0, x21
0xfffffff008898740: 448cff97  bl	#0xfffffff00887b850
0xfffffff008898744: f50300aa  mov	x21, x0
0xfffffff008898748: 790640f9  ldr	x25, [x19, #8]
0xfffffff00889874c: e00316aa  mov	x0, x22
0xfffffff008898750: b85bfe97  bl	#0xfffffff00882f630
0xfffffff008898754: f60300aa  mov	x22, x0
0xfffffff008898758: e00317aa  mov	x0, x23
0xfffffff00889875c: b55bfe97  bl	#0xfffffff00882f630
0xfffffff008898760: 68265029  ldp	w8, w9, [x19, #0x80]
0xfffffff008898764: 6a2e5129  ldp	w10, w11, [x19, #0x88]
0xfffffff008898768: ea2f05a9  stp	x10, x11, [sp, #0x50]
0xfffffff00889876c: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008898770: f60303a9  stp	x22, x0, [sp, #0x30]
0xfffffff008898774: f36702a9  stp	x19, x25, [sp, #0x20]
0xfffffff008898778: e8830191  add	x8, sp, #0x60
0xfffffff00889877c: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff008898780: 234efff0  adrp	x3, #0xfffffff00725f000
0xfffffff008898784: 63ec3391  add	x3, x3, #0xcfb
0xfffffff008898788: f85300a9  stp	x24, x20, [sp]
0xfffffff00889878c: 804affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008898790: 00003a91  add	x0, x0, #0xe80
0xfffffff008898794: 818bff90  adrp	x1, #0xfffffff007a08000
0xfffffff008898798: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889879c: 02008052  mov	w2, #0
0xfffffff0088987a0: 646aea97  bl	#0xfffffff008333130
0xfffffff0088987a4: 1d000014  b	#0xfffffff008898818
0xfffffff0088987a8: 74820191  add	x20, x19, #0x60
0xfffffff0088987ac: e00314aa  mov	x0, x20
0xfffffff0088987b0: a05bfe97  bl	#0xfffffff00882f630
0xfffffff0088987b4: 75c20191  add	x21, x19, #0x70
0xfffffff0088987b8: e00315aa  mov	x0, x21
0xfffffff0088987bc: 9d5bfe97  bl	#0xfffffff00882f630
0xfffffff0088987c0: 760640f9  ldr	x22, [x19, #8]
0xfffffff0088987c4: e00314aa  mov	x0, x20
0xfffffff0088987c8: 9a5bfe97  bl	#0xfffffff00882f630
0xfffffff0088987cc: f40300aa  mov	x20, x0
0xfffffff0088987d0: e00315aa  mov	x0, x21
0xfffffff0088987d4: 975bfe97  bl	#0xfffffff00882f630
0xfffffff0088987d8: 68265029  ldp	w8, w9, [x19, #0x80]
0xfffffff0088987dc: 6a2e5129  ldp	w10, w11, [x19, #0x88]
0xfffffff0088987e0: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff0088987e4: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0088987e8: f48301a9  stp	x20, x0, [sp, #0x18]
0xfffffff0088987ec: f3db00a9  stp	x19, x22, [sp, #8]
0xfffffff0088987f0: e8830191  add	x8, sp, #0x60
0xfffffff0088987f4: e80300f9  str	x8, [sp]
0xfffffff0088987f8: 804affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088987fc: 00003a91  add	x0, x0, #0xe80
0xfffffff008898800: 818bff90  adrp	x1, #0xfffffff007a08000
0xfffffff008898804: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008898808: 234efff0  adrp	x3, #0xfffffff00725f000
