; Candidate 360
; ADRP+ADD at VM 0xfffffff007ebc698 (fileoff 0xeb8698): page=0x1ff199000 add_imm=0xd21

0xfffffff007ebc618: 008c0991  add	x0, x0, #0x263
0xfffffff007ebc61c: bc5f1794  bl	#0xfffffff00849450c
0xfffffff007ebc620: 28838152  mov	w8, #0xc19
0xfffffff007ebc624: a98cff90  adrp	x9, #0xfffffff007050000
0xfffffff007ebc628: 29cd3c91  add	x9, x9, #0xf33
0xfffffff007ebc62c: aa8cffb0  adrp	x10, #0xfffffff007051000
0xfffffff007ebc630: 4a910a91  add	x10, x10, #0x2a4
0xfffffff007ebc634: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007ebc638: ea5300a9  stp	x10, x20, [sp]
0xfffffff007ebc63c: a08cffb0  adrp	x0, #0xfffffff007051000
0xfffffff007ebc640: 00cc0a91  add	x0, x0, #0x2b3
0xfffffff007ebc644: b25f1794  bl	#0xfffffff00849450c
0xfffffff007ebc648: 01000014  b	#0xfffffff007ebc64c
0xfffffff007ebc64c: 488fffb0  adrp	x8, #0xfffffff0070a5000
0xfffffff007ebc650: 08752591  add	x8, x8, #0x95d
0xfffffff007ebc654: 29388052  mov	w9, #0x1c1
0xfffffff007ebc658: e82700a9  stp	x8, x9, [sp]
0xfffffff007ebc65c: 408fffb0  adrp	x0, #0xfffffff0070a5000
0xfffffff007ebc660: 00102591  add	x0, x0, #0x944
0xfffffff007ebc664: aa5f1794  bl	#0xfffffff00849450c
0xfffffff007ebc668: a88cff90  adrp	x8, #0xfffffff007050000
0xfffffff007ebc66c: 08cd3c91  add	x8, x8, #0xf33
0xfffffff007ebc670: 29728152  mov	w9, #0xb91
0xfffffff007ebc674: e82700a9  stp	x8, x9, [sp]
0xfffffff007ebc678: c08cffb0  adrp	x0, #0xfffffff007055000
0xfffffff007ebc67c: 00a83391  add	x0, x0, #0xcea
0xfffffff007ebc680: a35f1794  bl	#0xfffffff00849450c
0xfffffff007ebc684: e9738152  mov	w9, #0xb9f
0xfffffff007ebc688: aa8cff90  adrp	x10, #0xfffffff007050000
0xfffffff007ebc68c: 4acd3c91  add	x10, x10, #0xf33
0xfffffff007ebc690: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff007ebc694: e80300f9  str	x8, [sp]
0xfffffff007ebc698: c08cffb0  adrp	x0, #0xfffffff007055000
0xfffffff007ebc69c: 00843491  add	x0, x0, #0xd21
0xfffffff007ebc6a0: 9b5f1794  bl	#0xfffffff00849450c
0xfffffff007ebc6a4: 7f2303d5  pacibsp	
0xfffffff007ebc6a8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007ebc6ac: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007ebc6b0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007ebc6b4: fd830091  add	x29, sp, #0x20
0xfffffff007ebc6b8: f30303aa  mov	x19, x3
0xfffffff007ebc6bc: f40302aa  mov	x20, x2
0xfffffff007ebc6c0: f50301aa  mov	x21, x1
0xfffffff007ebc6c4: f60300aa  mov	x22, x0
0xfffffff007ebc6c8: ed230094  bl	#0xfffffff007ec567c
0xfffffff007ebc6cc: a80216eb  subs	x8, x21, x22
0xfffffff007ebc6d0: 69020054  b.ls	#0xfffffff007ebc71c
0xfffffff007ebc6d4: 29d2ff90  adrp	x9, #0xfffffff007900000
0xfffffff007ebc6d8: 2ad2ff90  adrp	x10, #0xfffffff007900000
0xfffffff007ebc6dc: 0bd1ffb0  adrp	x11, #0xfffffff0078dd000
0xfffffff007ebc6e0: 0c008852  mov	w12, #0x4000
0xfffffff007ebc6e4: 04000014  b	#0xfffffff007ebc6f4
0xfffffff007ebc6e8: d6124091  add	x22, x22, #4, lsl #12
0xfffffff007ebc6ec: df0215eb  cmp	x22, x21
0xfffffff007ebc6f0: 62010054  b.hs	#0xfffffff007ebc71c
0xfffffff007ebc6f4: 2ded46f9  ldr	x13, [x9, #0xdd8]
0xfffffff007ebc6f8: 4ef146f9  ldr	x14, [x10, #0xde0]
0xfffffff007ebc6fc: cd020deb  subs	x13, x22, x13
0xfffffff007ebc700: c02156fa  ccmp	x14, x22, #0, hs
0xfffffff007ebc704: 29ffff54  b.ls	#0xfffffff007ebc6e8
0xfffffff007ebc708: adfd4ed3  lsr	x13, x13, #0xe
0xfffffff007ebc70c: 6e8145f9  ldr	x14, [x11, #0xb00]
0xfffffff007ebc710: cd452d8b  add	x13, x14, w13, uxtw #1
0xfffffff007ebc714: ad31ec78  ldsetalh	w12, w13, [x13]
