; Candidate 2280
; ADRP+ADD at VM 0xfffffff008609a6c (fileoff 0x1605a6c): page=0x1cce000 add_imm=0xe28

0xfffffff0086099ec: 080240f9  ldr	x8, [x16]
0xfffffff0086099f0: e90310aa  mov	x9, x16
0xfffffff0086099f4: f10309aa  mov	x17, x9
0xfffffff0086099f8: 915cecf2  movk	x17, #0x62e4, lsl #48
0xfffffff0086099fc: 11093fd7  blraa	x8, x17
0xfffffff008609a00: 08bc70d3  lsl	x8, x0, #0x10
0xfffffff008609a04: 693681b9  ldrsw	x9, [x19, #0x134]
0xfffffff008609a08: 0009c99a  udiv	x0, x8, x9
0xfffffff008609a0c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008609a10: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008609a14: ff0f5fd6  retab	
0xfffffff008609a18: 5f2403d5  bti	c
0xfffffff008609a1c: 08e04f39  ldrb	w8, [x0, #0x3f8]
0xfffffff008609a20: 09a00f91  add	x9, x0, #0x3e8
0xfffffff008609a24: 1f010071  cmp	w8, #0
0xfffffff008609a28: e003899a  csel	x0, xzr, x9, eq
0xfffffff008609a2c: c0035fd6  ret	
0xfffffff008609a30: 5f2403d5  bti	c
0xfffffff008609a34: 00008052  mov	w0, #0
0xfffffff008609a38: c0035fd6  ret	
0xfffffff008609a3c: 5f2403d5  bti	c
0xfffffff008609a40: 00008052  mov	w0, #0
0xfffffff008609a44: c0035fd6  ret	
0xfffffff008609a48: 5f2403d5  bti	c
0xfffffff008609a4c: 20008052  mov	w0, #1
0xfffffff008609a50: c0035fd6  ret	
0xfffffff008609a54: 5f2403d5  bti	c
0xfffffff008609a58: 004002d1  sub	x0, x0, #0x90
0xfffffff008609a5c: c0035fd6  ret	
0xfffffff008609a60: 7f2303d5  pacibsp	
0xfffffff008609a64: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008609a68: fd030091  mov	x29, sp
0xfffffff008609a6c: 60e600d0  adrp	x0, #0xfffffff00a2d7000
0xfffffff008609a70: 00a03891  add	x0, x0, #0xe28
0xfffffff008609a74: a157ffd0  adrp	x1, #0xfffffff0070ff000
0xfffffff008609a78: 21ac2891  add	x1, x1, #0xa2b
0xfffffff008609a7c: 62e600d0  adrp	x2, #0xfffffff00a2d7000
0xfffffff008609a80: 42003391  add	x2, x2, #0xcc0
0xfffffff008609a84: 03808052  mov	w3, #0x400
0xfffffff008609a88: 2c68f397  bl	#0xfffffff0082e3b38
0xfffffff008609a8c: 109efff0  adrp	x16, #0xfffffff0079cc000
0xfffffff008609a90: 10c20191  add	x16, x16, #0x70
0xfffffff008609a94: 10420091  add	x16, x16, #0x10
0xfffffff008609a98: f10300aa  mov	x17, x0
0xfffffff008609a9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008609aa0: 300ac1da  pacda	x16, x17
0xfffffff008609aa4: 100000f9  str	x16, [x0]
0xfffffff008609aa8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008609aac: ff0f5fd6  retab	
0xfffffff008609ab0: 5f2403d5  bti	c
0xfffffff008609ab4: 60e600d0  adrp	x0, #0xfffffff00a2d7000
0xfffffff008609ab8: 00a03891  add	x0, x0, #0xe28
0xfffffff008609abc: 0e6bf317  b	#0xfffffff0082e46f4
0xfffffff008609ac0: 7f2303d5  pacibsp	
0xfffffff008609ac4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008609ac8: fd030091  mov	x29, sp
0xfffffff008609acc: a157ffd0  adrp	x1, #0xfffffff0070ff000
0xfffffff008609ad0: 21d03d91  add	x1, x1, #0xf74
0xfffffff008609ad4: 62e600d0  adrp	x2, #0xfffffff00a2d7000
0xfffffff008609ad8: 42003891  add	x2, x2, #0xe00
0xfffffff008609adc: 03348052  mov	w3, #0x1a0
0xfffffff008609ae0: 1668f397  bl	#0xfffffff0082e3b38
0xfffffff008609ae4: 109efff0  adrp	x16, #0xfffffff0079cc000
0xfffffff008609ae8: 10022591  add	x16, x16, #0x940
