; Candidate 3166
; ADRP+ADD at VM 0xfffffff008718848 (fileoff 0x1714848): page=0x1fea19000 add_imm=0xd90

0xfffffff0087187c8: 12b3fd97  bl	#0xfffffff008685410
0xfffffff0087187cc: f60314aa  mov	x22, x20
0xfffffff0087187d0: df8e02f8  str	xzr, [x22, #0x28]!
0xfffffff0087187d4: c07e3fa9  stp	x0, xzr, [x22, #-0x10]
0xfffffff0087187d8: df920039  strb	wzr, [x22, #0x24]
0xfffffff0087187dc: df0e00f9  str	xzr, [x22, #0x18]
0xfffffff0087187e0: 08008012  mov	w8, #-1
0xfffffff0087187e4: c82200b9  str	w8, [x22, #0x20]
0xfffffff0087187e8: df2a00b9  str	wzr, [x22, #0x28]
0xfffffff0087187ec: c151ff90  adrp	x1, #0xfffffff007150000
0xfffffff0087187f0: 21482b91  add	x1, x1, #0xad2
0xfffffff0087187f4: e00315aa  mov	x0, x21
0xfffffff0087187f8: 1eb1fd97  bl	#0xfffffff008684c70
0xfffffff0087187fc: c0821ff8  stur	x0, [x22, #-8]
0xfffffff008718800: 600300b4  cbz	x0, #0xfffffff00871886c
0xfffffff008718804: 6852fff0  adrp	x8, #0xfffffff007167000
0xfffffff008718808: 003547fd  ldr	d0, [x8, #0xe68]
0xfffffff00871880c: e20314aa  mov	x2, x20
0xfffffff008718810: 400c03fc  str	d0, [x2, #0x30]!
0xfffffff008718814: 550400f9  str	x21, [x2, #8]
0xfffffff008718818: 100040f9  ldr	x16, [x0]
0xfffffff00871881c: f10300aa  mov	x17, x0
0xfffffff008718820: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008718824: 301ac1da  autda	x16, x17
0xfffffff008718828: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff00871882c: e90310aa  mov	x9, x16
0xfffffff008718830: 21008052  mov	w1, #1
0xfffffff008718834: e30316aa  mov	x3, x22
0xfffffff008718838: f10309aa  mov	x17, x9
0xfffffff00871883c: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff008718840: 11093fd7  blraa	x8, x17
0xfffffff008718844: a0020034  cbz	w0, #0xfffffff008718898
0xfffffff008718848: c050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871884c: 00403691  add	x0, x0, #0xd90
0xfffffff008718850: 2197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008718854: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008718858: 0351ff90  adrp	x3, #0xfffffff007138000
0xfffffff00871885c: 638c2091  add	x3, x3, #0x823
0xfffffff008718860: 02008052  mov	w2, #0
0xfffffff008718864: 336af097  bl	#0xfffffff008333130
0xfffffff008718868: 0c000014  b	#0xfffffff008718898
0xfffffff00871886c: e851ffb0  adrp	x8, #0xfffffff007155000
0xfffffff008718870: 08912891  add	x8, x8, #0xa24
0xfffffff008718874: e80300f9  str	x8, [sp]
0xfffffff008718878: c050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871887c: 00403691  add	x0, x0, #0xd90
0xfffffff008718880: 2197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008718884: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008718888: 0351ff90  adrp	x3, #0xfffffff007138000
0xfffffff00871888c: 63a41f91  add	x3, x3, #0x7e9
0xfffffff008718890: 02008052  mov	w2, #0
0xfffffff008718894: 276af097  bl	#0xfffffff008333130
0xfffffff008718898: 933200f9  str	x19, [x20, #0x60]
0xfffffff00871889c: e00314aa  mov	x0, x20
0xfffffff0087188a0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087188a4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087188a8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087188ac: ff030191  add	sp, sp, #0x40
0xfffffff0087188b0: ff0f5fd6  retab	
0xfffffff0087188b4: 5f2403d5  bti	c
0xfffffff0087188b8: 9dffff17  b	#0xfffffff00871872c
0xfffffff0087188bc: 7f2303d5  pacibsp	
0xfffffff0087188c0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0087188c4: fd7b01a9  stp	x29, x30, [sp, #0x10]
