; Candidate 10622
; ADRP+ADD at VM 0xfffffff008ddfd28 (fileoff 0x1ddbd28): page=0x1fe5e5000 add_imm=0xd21

0xfffffff008ddfca8: ea0300f9  str	x10, [sp]
0xfffffff008ddfcac: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddfcb0: 00543891  add	x0, x0, #0xe15
0xfffffff008ddfcb4: dbdcd597  bl	#0xfffffff008357020
0xfffffff008ddfcb8: 91ffff17  b	#0xfffffff008ddfafc
0xfffffff008ddfcbc: 7f2303d5  pacibsp	
0xfffffff008ddfcc0: ff0303d1  sub	sp, sp, #0xc0
0xfffffff008ddfcc4: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff008ddfcc8: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff008ddfccc: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff008ddfcd0: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff008ddfcd4: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff008ddfcd8: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff008ddfcdc: fdc30291  add	x29, sp, #0xb0
0xfffffff008ddfce0: f80307aa  mov	x24, x7
0xfffffff008ddfce4: f40306aa  mov	x20, x6
0xfffffff008ddfce8: f90305aa  mov	x25, x5
0xfffffff008ddfcec: fa0304aa  mov	x26, x4
0xfffffff008ddfcf0: fb0303aa  mov	x27, x3
0xfffffff008ddfcf4: fc0302aa  mov	x28, x2
0xfffffff008ddfcf8: f70301aa  mov	x23, x1
0xfffffff008ddfcfc: f60300aa  mov	x22, x0
0xfffffff008ddfd00: 13a90090  adrp	x19, #0xfffffff00a2ff000
0xfffffff008ddfd04: 73422c91  add	x19, x19, #0xb10
0xfffffff008ddfd08: 68024039  ldrb	w8, [x19]
0xfffffff008ddfd0c: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddfd10: 29fd1c91  add	x9, x9, #0x73f
0xfffffff008ddfd14: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddfd18: 4a9d0c91  add	x10, x10, #0x327
0xfffffff008ddfd1c: 1f290071  cmp	w8, #0xa
0xfffffff008ddfd20: a8000054  b.hi	#0xfffffff008ddfd34
0xfffffff008ddfd24: ea2700a9  stp	x10, x9, [sp]
0xfffffff008ddfd28: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddfd2c: 00843491  add	x0, x0, #0xd21
0xfffffff008ddfd30: bcdcd597  bl	#0xfffffff008357020
0xfffffff008ddfd34: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff008ddfd38: 08008252  mov	w8, #0x1000
0xfffffff008ddfd3c: ff2304a9  stp	xzr, x8, [sp, #0x40]
0xfffffff008ddfd40: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff008ddfd44: 161300b4  cbz	x22, #0xfffffff008ddffa4
0xfffffff008ddfd48: 1c1400b4  cbz	x28, #0xfffffff008ddffc8
0xfffffff008ddfd4c: 1b1500b4  cbz	x27, #0xfffffff008ddffec
0xfffffff008ddfd50: a80b40f9  ldr	x8, [x29, #0x10]
0xfffffff008ddfd54: e81500b4  cbz	x8, #0xfffffff008de0010
0xfffffff008ddfd58: 590000b4  cbz	x25, #0xfffffff008ddfd60
0xfffffff008ddfd5c: 74000035  cbnz	w20, #0xfffffff008ddfd68
0xfffffff008ddfd60: 392200b5  cbnz	x25, #0xfffffff008de01a4
0xfffffff008ddfd64: 14220035  cbnz	w20, #0xfffffff008de01a4
0xfffffff008ddfd68: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008ddfd6c: e6630191  add	x6, sp, #0x58
0xfffffff008ddfd70: e0031caa  mov	x0, x28
0xfffffff008ddfd74: e1031baa  mov	x1, x27
0xfffffff008ddfd78: e2031aaa  mov	x2, x26
0xfffffff008ddfd7c: e30318aa  mov	x3, x24
0xfffffff008ddfd80: e40319aa  mov	x4, x25
0xfffffff008ddfd84: e50314aa  mov	x5, x20
0xfffffff008ddfd88: 171c0094  bl	#0xfffffff008de6de4
0xfffffff008ddfd8c: 40150035  cbnz	w0, #0xfffffff008de0034
0xfffffff008ddfd90: f50317aa  mov	x21, x23
0xfffffff008ddfd94: f72f40f9  ldr	x23, [sp, #0x58]
0xfffffff008ddfd98: e00317aa  mov	x0, x23
0xfffffff008ddfd9c: 541b0094  bl	#0xfffffff008de6aec
0xfffffff008ddfda0: f30300aa  mov	x19, x0
0xfffffff008ddfda4: 002fffd0  adrp	x0, #0xfffffff0073c1000
