; Candidate 15244
; ADRP+ADD at VM 0xfffffff009b43580 (fileoff 0x2b3f580): page=0x1fdae5000 add_imm=0xed0

0xfffffff009b43500: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b43504: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b43508: e00313aa  mov	x0, x19
0xfffffff009b4350c: 010080d2  mov	x1, #0
0xfffffff009b43510: f10308aa  mov	x17, x8
0xfffffff009b43514: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b43518: 31093fd7  blraa	x9, x17
0xfffffff009b4351c: f90300aa  mov	x25, x0
0xfffffff009b43520: 700240f9  ldr	x16, [x19]
0xfffffff009b43524: f10313aa  mov	x17, x19
0xfffffff009b43528: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4352c: 301ac1da  autda	x16, x17
0xfffffff009b43530: f10310aa  mov	x17, x16
0xfffffff009b43534: f147c1da  xpacd	x17
0xfffffff009b43538: 1f0211eb  cmp	x16, x17
0xfffffff009b4353c: 40000054  b.eq	#0xfffffff009b43544
0xfffffff009b43540: 408e38d4  brk	#0xc472
0xfffffff009b43544: 08620891  add	x8, x16, #0x218
0xfffffff009b43548: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4354c: e00313aa  mov	x0, x19
0xfffffff009b43550: 010080d2  mov	x1, #0
0xfffffff009b43554: f10308aa  mov	x17, x8
0xfffffff009b43558: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4355c: 31093fd7  blraa	x9, x17
0xfffffff009b43560: 68ed8052  mov	w8, #0x76b
0xfffffff009b43564: f62302a9  stp	x22, x8, [sp, #0x20]
0xfffffff009b43568: 28d7fed0  adrp	x8, #0xfffffff007629000
0xfffffff009b4356c: 08611a91  add	x8, x8, #0x698
0xfffffff009b43570: 29d7fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b43574: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b43578: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4357c: f90300a9  stp	x25, x0, [sp]
0xfffffff009b43580: 20d7feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b43584: 00403b91  add	x0, x0, #0xed0
0xfffffff009b43588: 43d7fe90  adrp	x3, #0xfffffff00762b000
0xfffffff009b4358c: 63882991  add	x3, x3, #0xa62
0xfffffff009b43590: e10318aa  mov	x1, x24
0xfffffff009b43594: e20317aa  mov	x2, x23
0xfffffff009b43598: e6be9f97  bl	#0xfffffff008333130
0xfffffff009b4359c: b60cffb0  adrp	x22, #0xfffffff007cd8000
0xfffffff009b435a0: d66645f9  ldr	x22, [x22, #0xac8]
0xfffffff009b435a4: c20240f9  ldr	x2, [x22]
0xfffffff009b435a8: 700240f9  ldr	x16, [x19]
0xfffffff009b435ac: f10313aa  mov	x17, x19
0xfffffff009b435b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b435b4: 301ac1da  autda	x16, x17
0xfffffff009b435b8: 112680d2  mov	x17, #0x130
0xfffffff009b435bc: 1002118b  add	x16, x16, x17
0xfffffff009b435c0: 080240f9  ldr	x8, [x16]
0xfffffff009b435c4: e90310aa  mov	x9, x16
0xfffffff009b435c8: 21d7fed0  adrp	x1, #0xfffffff007629000
0xfffffff009b435cc: 21a03091  add	x1, x1, #0xc28
0xfffffff009b435d0: e00313aa  mov	x0, x19
0xfffffff009b435d4: 63008052  mov	w3, #3
0xfffffff009b435d8: f10309aa  mov	x17, x9
0xfffffff009b435dc: f141f4f2  movk	x17, #0xa20f, lsl #48
0xfffffff009b435e0: 11093fd7  blraa	x8, x17
0xfffffff009b435e4: e10315aa  mov	x1, x21
0xfffffff009b435e8: c3819e97  bl	#0xfffffff0082e3cf4
0xfffffff009b435ec: 800100b4  cbz	x0, #0xfffffff009b4361c
0xfffffff009b435f0: 100040f9  ldr	x16, [x0]
0xfffffff009b435f4: f10300aa  mov	x17, x0
0xfffffff009b435f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b435fc: 301ac1da  autda	x16, x17
