; Candidate 16557
; ADRP+ADD at VM 0xfffffff009ee2430 (fileoff 0x2ede430): page=0x1fd968000 add_imm=0xd84

0xfffffff009ee23b0: 68424039  ldrb	w8, [x19, #0x10]
0xfffffff009ee23b4: 1f090071  cmp	w8, #2
0xfffffff009ee23b8: 80070054  b.eq	#0xfffffff009ee24a8
0xfffffff009ee23bc: 1f050071  cmp	w8, #1
0xfffffff009ee23c0: 81080054  b.ne	#0xfffffff009ee24d0
0xfffffff009ee23c4: 68064079  ldrh	w8, [x19, #2]
0xfffffff009ee23c8: 892700d0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009ee23cc: 29212a91  add	x9, x9, #0xa88
0xfffffff009ee23d0: e80308cb  neg	x8, x8
0xfffffff009ee23d4: 280128f8  ldadd	x8, x8, [x9]
0xfffffff009ee23d8: 68064079  ldrh	w8, [x19, #2]
0xfffffff009ee23dc: 088100d1  sub	x8, x8, #0x20
0xfffffff009ee23e0: 088100b1  adds	x8, x8, #0x20
0xfffffff009ee23e4: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff009ee23e8: 2221889a  csel	x2, x9, x8, hs
0xfffffff009ee23ec: c0f2fe90  adrp	x0, #0xfffffff007d3a000
0xfffffff009ee23f0: 00202591  add	x0, x0, #0x948
0xfffffff009ee23f4: e10313aa  mov	x1, x19
0xfffffff009ee23f8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009ee23fc: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009ee2400: ff030191  add	sp, sp, #0x40
0xfffffff009ee2404: ff2303d5  autibsp	
0xfffffff009ee2408: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009ee240c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009ee2414
0xfffffff009ee2410: 208e38d4  brk	#0xc471
0xfffffff009ee2414: 75d29117  b	#0xfffffff008356de8
0xfffffff009ee2418: 9f2403d5  bti	j
0xfffffff009ee241c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ee2420: 48cbfe90  adrp	x8, #0xfffffff00784a000
0xfffffff009ee2424: 08c93691  add	x8, x8, #0xdb2
0xfffffff009ee2428: 295c8152  mov	w9, #0xae1
0xfffffff009ee242c: e82700a9  stp	x8, x9, [sp]
0xfffffff009ee2430: 40cbfe90  adrp	x0, #0xfffffff00784a000
0xfffffff009ee2434: 00103691  add	x0, x0, #0xd84
0xfffffff009ee2438: 2375fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ee243c: 25000014  b	#0xfffffff009ee24d0
0xfffffff009ee2440: 9f2403d5  bti	j
0xfffffff009ee2444: 60e20091  add	x0, x19, #0x38
0xfffffff009ee2448: 25df0194  bl	#0xfffffff009f5a0dc
0xfffffff009ee244c: a0f2feb0  adrp	x0, #0xfffffff007d37000
0xfffffff009ee2450: 00602a91  add	x0, x0, #0xa98
0xfffffff009ee2454: 19000014  b	#0xfffffff009ee24b8
0xfffffff009ee2458: 9f2403d5  bti	j
0xfffffff009ee245c: a0f2feb0  adrp	x0, #0xfffffff007d37000
0xfffffff009ee2460: 00602b91  add	x0, x0, #0xad8
0xfffffff009ee2464: e10313aa  mov	x1, x19
0xfffffff009ee2468: a9d09197  bl	#0xfffffff00835670c
0xfffffff009ee246c: 882700d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ee2470: 08212a91  add	x8, x8, #0xa88
0xfffffff009ee2474: e9038092  mov	x9, #-0x20
0xfffffff009ee2478: 15000014  b	#0xfffffff009ee24cc
0xfffffff009ee247c: 9f2403d5  bti	j
0xfffffff009ee2480: 60c20091  add	x0, x19, #0x30
0xfffffff009ee2484: 16df0194  bl	#0xfffffff009f5a0dc
0xfffffff009ee2488: a0f2feb0  adrp	x0, #0xfffffff007d37000
0xfffffff009ee248c: 00602c91  add	x0, x0, #0xb18
0xfffffff009ee2490: e10313aa  mov	x1, x19
0xfffffff009ee2494: 9ed09197  bl	#0xfffffff00835670c
0xfffffff009ee2498: 882700d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ee249c: 08212a91  add	x8, x8, #0xa88
0xfffffff009ee24a0: e9088092  mov	x9, #-0x48
0xfffffff009ee24a4: 0a000014  b	#0xfffffff009ee24cc
0xfffffff009ee24a8: 60e20091  add	x0, x19, #0x38
0xfffffff009ee24ac: 0cdf0194  bl	#0xfffffff009f5a0dc
