; Candidate 8931
; ADRP+ADD at VM 0xfffffff0088ef834 (fileoff 0x18eb834): page=0x1fe97f000 add_imm=0xe56

0xfffffff0088ef7b4: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088ef7b8: 06000094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef7bc: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef7c0: 00d43291  add	x0, x0, #0xcb5
0xfffffff0088ef7c4: 03000094  bl	#0xfffffff0088ef7d0
0xfffffff0088ef7c8: 5f2403d5  bti	c
0xfffffff0088ef7cc: cad3e717  b	#0xfffffff0082e46f4
0xfffffff0088ef7d0: 7f2303d5  pacibsp	
0xfffffff0088ef7d4: ffc300d1  sub	sp, sp, #0x30
0xfffffff0088ef7d8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0088ef7dc: fd830091  add	x29, sp, #0x20
0xfffffff0088ef7e0: a8068052  mov	w8, #0x35
0xfffffff0088ef7e4: e94bfff0  adrp	x9, #0xfffffff00726e000
0xfffffff0088ef7e8: 29652f91  add	x9, x9, #0xbd9
0xfffffff0088ef7ec: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0088ef7f0: e00300f9  str	x0, [sp]
0xfffffff0088ef7f4: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef7f8: 00342f91  add	x0, x0, #0xbcd
0xfffffff0088ef7fc: 4493ee97  bl	#0xfffffff00849450c
0xfffffff0088ef800: 7f2303d5  pacibsp	
0xfffffff0088ef804: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088ef808: fd030091  mov	x29, sp
0xfffffff0088ef80c: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef810: 001c3891  add	x0, x0, #0xe07
0xfffffff0088ef814: 89e6e897  bl	#0xfffffff008329238
0xfffffff0088ef818: 68cf0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ef81c: 009d06f9  str	x0, [x8, #0xd38]
0xfffffff0088ef820: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef824: 00cc3891  add	x0, x0, #0xe33
0xfffffff0088ef828: 84e6e897  bl	#0xfffffff008329238
0xfffffff0088ef82c: 68cf0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ef830: 00a106f9  str	x0, [x8, #0xd40]
0xfffffff0088ef834: e04bfff0  adrp	x0, #0xfffffff00726e000
0xfffffff0088ef838: 00583991  add	x0, x0, #0xe56
0xfffffff0088ef83c: 7fe6e897  bl	#0xfffffff008329238
0xfffffff0088ef840: 68cf0090  adrp	x8, #0xfffffff00a2db000
0xfffffff0088ef844: 00a506f9  str	x0, [x8, #0xd48]
0xfffffff0088ef848: 60cf0090  adrp	x0, #0xfffffff00a2db000
0xfffffff0088ef84c: 00603191  add	x0, x0, #0xc58
0xfffffff0088ef850: 014cff90  adrp	x1, #0xfffffff00726f000
0xfffffff0088ef854: 21fc1191  add	x1, x1, #0x47f
0xfffffff0088ef858: 4289ff90  adrp	x2, #0xfffffff007a17000
0xfffffff0088ef85c: 428443f9  ldr	x2, [x2, #0x708]
0xfffffff0088ef860: 03258052  mov	w3, #0x128
0xfffffff0088ef864: b5d0e797  bl	#0xfffffff0082e3b38
0xfffffff0088ef868: 5089ffd0  adrp	x16, #0xfffffff007a19000
0xfffffff0088ef86c: 10a21291  add	x16, x16, #0x4a8
0xfffffff0088ef870: 10420091  add	x16, x16, #0x10
0xfffffff0088ef874: f10300aa  mov	x17, x0
0xfffffff0088ef878: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ef87c: 300ac1da  pacda	x16, x17
0xfffffff0088ef880: 100000f9  str	x16, [x0]
0xfffffff0088ef884: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088ef888: ff0f5fd6  retab	
0xfffffff0088ef88c: 5f2403d5  bti	c
0xfffffff0088ef890: 60cf0090  adrp	x0, #0xfffffff00a2db000
0xfffffff0088ef894: 00603191  add	x0, x0, #0xc58
0xfffffff0088ef898: 97d3e717  b	#0xfffffff0082e46f4
0xfffffff0088ef89c: 7f2303d5  pacibsp	
0xfffffff0088ef8a0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088ef8a4: fd030091  mov	x29, sp
0xfffffff0088ef8a8: 014cff90  adrp	x1, #0xfffffff00726f000
0xfffffff0088ef8ac: 21bc1491  add	x1, x1, #0x52f
0xfffffff0088ef8b0: 62cf0090  adrp	x2, #0xfffffff00a2db000
