; Candidate 3105
; ADRP+ADD at VM 0xfffffff008713428 (fileoff 0x170f428): page=0x1fea1e000 add_imm=0xd90

0xfffffff0087133a8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087133ac: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087133b0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0087133b4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0087133b8: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0087133bc: ffc30191  add	sp, sp, #0x70
0xfffffff0087133c0: ff0f5fd6  retab	
0xfffffff0087133c4: 7f2303d5  pacibsp	
0xfffffff0087133c8: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087133cc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087133d0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087133d4: fdc30091  add	x29, sp, #0x30
0xfffffff0087133d8: f30301aa  mov	x19, x1
0xfffffff0087133dc: f40300aa  mov	x20, x0
0xfffffff0087133e0: 22000094  bl	#0xfffffff008713468
0xfffffff0087133e4: 1f040031  cmn	w0, #1
0xfffffff0087133e8: 40030054  b.eq	#0xfffffff008713450
0xfffffff0087133ec: 883240f9  ldr	x8, [x20, #0x60]
0xfffffff0087133f0: 09f48052  mov	w9, #0x7a0
0xfffffff0087133f4: 0820299b  smaddl	x8, w0, w9, x8
0xfffffff0087133f8: 683e00f9  str	x8, [x19, #0x78]
0xfffffff0087133fc: 009907b9  str	w0, [x8, #0x798]
0xfffffff008713400: 1fc503f9  str	xzr, [x8, #0x788]
0xfffffff008713404: 897a40b9  ldr	w9, [x20, #0x78]
0xfffffff008713408: 4a008052  mov	w10, #2
0xfffffff00871340c: 0a01a072  movk	w10, #8, lsl #16
0xfffffff008713410: 5f01296a  bics	wzr, w10, w9
0xfffffff008713414: 01020054  b.ne	#0xfffffff008713454
0xfffffff008713418: e0a300a9  stp	x0, x8, [sp, #8]
0xfffffff00871341c: 0852ffd0  adrp	x8, #0xfffffff007155000
0xfffffff008713420: 08bd0f91  add	x8, x8, #0x3ef
0xfffffff008713424: e80300f9  str	x8, [sp]
0xfffffff008713428: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871342c: 00403691  add	x0, x0, #0xd90
0xfffffff008713430: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713434: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713438: 2351ff90  adrp	x3, #0xfffffff007137000
0xfffffff00871343c: 63803c91  add	x3, x3, #0xf20
0xfffffff008713440: 02008052  mov	w2, #0
0xfffffff008713444: 3b7ff097  bl	#0xfffffff008333130
0xfffffff008713448: 683e40f9  ldr	x8, [x19, #0x78]
0xfffffff00871344c: 02000014  b	#0xfffffff008713454
0xfffffff008713450: 080080d2  mov	x8, #0
0xfffffff008713454: e00308aa  mov	x0, x8
0xfffffff008713458: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00871345c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008713460: ff030191  add	sp, sp, #0x40
0xfffffff008713464: ff0f5fd6  retab	
0xfffffff008713468: 7f2303d5  pacibsp	
0xfffffff00871346c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008713470: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008713474: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008713478: fd830091  add	x29, sp, #0x20
0xfffffff00871347c: e80300aa  mov	x8, x0
0xfffffff008713480: 093440f9  ldr	x9, [x0, #0x68]
0xfffffff008713484: 201140b9  ldr	w0, [x9, #0x10]
0xfffffff008713488: 2a0540b9  ldr	w10, [x9, #4]
0xfffffff00871348c: 1f000a6b  cmp	w0, w10
0xfffffff008713490: e2010054  b.hs	#0xfffffff0087134cc
0xfffffff008713494: 0b3140f9  ldr	x11, [x8, #0x60]
0xfffffff008713498: 0cf48052  mov	w12, #0x7a0
0xfffffff00871349c: 0b2c0c9b  madd	x11, x0, x12, x11
0xfffffff0087134a0: ec0300aa  mov	x12, x0
0xfffffff0087134a4: 6d0140b9  ldr	w13, [x11]
