; Candidate 16609
; ADRP+ADD at VM 0xfffffff009f00664 (fileoff 0x2efc664): page=0x1fd94d000 add_imm=0xda0

0xfffffff009f005e4: eb031caa  mov	x11, x28
0xfffffff009f005e8: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff009f005ec: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff009f005f0: facf01a9  stp	x26, x19, [sp, #0x18]
0xfffffff009f005f4: e85b40f9  ldr	x8, [sp, #0xb0]
0xfffffff009f005f8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f005fc: 68cafeb0  adrp	x8, #0xfffffff00784d000
0xfffffff009f00600: 08911e91  add	x8, x8, #0x7a4
0xfffffff009f00604: 89718a52  mov	w9, #0x538c
0xfffffff009f00608: 60cafeb0  adrp	x0, #0xfffffff00784d000
0xfffffff009f0060c: 00803691  add	x0, x0, #0xda0
0xfffffff009f00610: e82700a9  stp	x8, x9, [sp]
0xfffffff009f00614: acfcfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f00618: 36008052  mov	w22, #1
0xfffffff009f0061c: 28008052  mov	w8, #1
0xfffffff009f00620: e8f300b9  str	w8, [sp, #0xf0]
0xfffffff009f00624: c4fcff17  b	#0xfffffff009eff934
0xfffffff009f00628: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009f0062c: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f00630: c90240f9  ldr	x9, [x22]
0xfffffff009f00634: ea5740f9  ldr	x10, [sp, #0xa8]
0xfffffff009f00638: 4a0140f9  ldr	x10, [x10]
0xfffffff009f0063c: dc008052  mov	w28, #6
0xfffffff009f00640: 4bcafeb0  adrp	x11, #0xfffffff007849000
0xfffffff009f00644: 6b892291  add	x11, x11, #0x8a2
0xfffffff009f00648: ebf303a9  stp	x11, x28, [sp, #0x38]
0xfffffff009f0064c: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff009f00650: facf01a9  stp	x26, x19, [sp, #0x18]
0xfffffff009f00654: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f00658: 68cafeb0  adrp	x8, #0xfffffff00784d000
0xfffffff009f0065c: 08911e91  add	x8, x8, #0x7a4
0xfffffff009f00660: 29718a52  mov	w9, #0x5389
0xfffffff009f00664: 60cafeb0  adrp	x0, #0xfffffff00784d000
0xfffffff009f00668: 00803691  add	x0, x0, #0xda0
0xfffffff009f0066c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f00670: 95fcfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f00674: 36008052  mov	w22, #1
0xfffffff009f00678: 28008052  mov	w8, #1
0xfffffff009f0067c: e8f300b9  str	w8, [sp, #0xf0]
0xfffffff009f00680: 8efcff17  b	#0xfffffff009eff8b8
0xfffffff009f00684: ea4b40f9  ldr	x10, [sp, #0x90]
0xfffffff009f00688: 49814039  ldrb	w9, [x10, #0x20]
0xfffffff009f0068c: 37050153  ubfx	w23, w9, #1, #1
0xfffffff009f00690: ea4f00f9  str	x10, [sp, #0x98]
0xfffffff009f00694: d9feff17  b	#0xfffffff009f001f8
0xfffffff009f00698: c84d8a52  mov	w8, #0x526e
0xfffffff009f0069c: 49cafed0  adrp	x9, #0xfffffff00784a000
0xfffffff009f006a0: 29b11c91  add	x9, x9, #0x72c
0xfffffff009f006a4: 6acafe90  adrp	x10, #0xfffffff00784c000
0xfffffff009f006a8: 4a0d3191  add	x10, x10, #0xc43
0xfffffff009f006ac: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff009f006b0: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff009f006b4: ea0300f9  str	x10, [sp]
0xfffffff009f006b8: 60cafeb0  adrp	x0, #0xfffffff00784d000
0xfffffff009f006bc: 009c2191  add	x0, x0, #0x867
0xfffffff009f006c0: 934f9697  bl	#0xfffffff00849450c
0xfffffff009f006c4: 682641a9  ldp	x8, x9, [x19, #0x10]
0xfffffff009f006c8: 6a2240b9  ldr	w10, [x19, #0x20]
0xfffffff009f006cc: 8b688a52  mov	w11, #0x5344
0xfffffff009f006d0: 4ccafed0  adrp	x12, #0xfffffff00784a000
0xfffffff009f006d4: 8cb11c91  add	x12, x12, #0x72c
0xfffffff009f006d8: ec2f04a9  stp	x12, x11, [sp, #0x40]
0xfffffff009f006dc: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff009f006e0: f32302a9  stp	x19, x8, [sp, #0x20]
