; Candidate 4668
; ADRP+ADD at VM 0xfffffff0087c1690 (fileoff 0x17bd690): page=0x1fe970000 add_imm=0xd90

0xfffffff0087c1610: a90319f8  stur	x9, [x29, #-0x70]
0xfffffff0087c1614: 69800091  add	x9, x3, #0x20
0xfffffff0087c1618: 032405a9  stp	x3, x9, [x0, #0x50]
0xfffffff0087c161c: 69201c91  add	x9, x3, #0x708
0xfffffff0087c1620: 093000f9  str	x9, [x0, #0x60]
0xfffffff0087c1624: 7f9012b9  str	wzr, [x3, #0x1290]
0xfffffff0087c1628: 3a00028b  add	x26, x1, x2
0xfffffff0087c162c: 1a8801a9  stp	x26, x2, [x0, #0x18]
0xfffffff0087c1630: 018400a9  stp	x1, x1, [x0, #8]
0xfffffff0087c1634: 1f2c00b9  str	wzr, [x0, #0x2c]
0xfffffff0087c1638: 89008052  mov	w9, #4
0xfffffff0087c163c: ea0301aa  mov	x10, x1
0xfffffff0087c1640: 945e1853  lsl	w20, w20, #8
0xfffffff0087c1644: 5f011aeb  cmp	x10, x26
0xfffffff0087c1648: 02010054  b.hs	#0xfffffff0087c1668
0xfffffff0087c164c: 08210011  add	w8, w8, #8
0xfffffff0087c1650: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0087c1654: 4b050091  add	x11, x10, #1
0xfffffff0087c1658: 6b0a00f9  str	x11, [x19, #0x10]
0xfffffff0087c165c: 4a014039  ldrb	w10, [x10]
0xfffffff0087c1660: 94020a2a  orr	w20, w20, w10
0xfffffff0087c1664: ea030baa  mov	x10, x11
0xfffffff0087c1668: 29050071  subs	w9, w9, #1
0xfffffff0087c166c: a1feff54  b.ne	#0xfffffff0087c1640
0xfffffff0087c1670: 8a008052  mov	w10, #4
0xfffffff0087c1674: 0a01a072  movk	w10, #8, lsl #16
0xfffffff0087c1678: 69a67cb9  ldr	w9, [x19, #0x3ca4]
0xfffffff0087c167c: 4a0d0051  sub	w10, w10, #3
0xfffffff0087c1680: e00315aa  mov	x0, x21
0xfffffff0087c1684: 5f01296a  bics	wzr, w10, w9
0xfffffff0087c1688: 61010054  b.ne	#0xfffffff0087c16b4
0xfffffff0087c168c: f42300a9  stp	x20, x8, [sp]
0xfffffff0087c1690: 804bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087c1694: 00403691  add	x0, x0, #0xd90
0xfffffff0087c1698: e191ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c169c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c16a0: 634cffb0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c16a4: 63500191  add	x3, x3, #0x54
0xfffffff0087c16a8: 02008052  mov	w2, #0
0xfffffff0087c16ac: a1c6ed97  bl	#0xfffffff008333130
0xfffffff0087c16b0: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff0087c16b4: 742a00b9  str	w20, [x19, #0x28]
0xfffffff0087c16b8: 01008052  mov	w1, #0
0xfffffff0087c16bc: 82038052  mov	w2, #0x1c
0xfffffff0087c16c0: 402dd697  bl	#0xfffffff007d4cbc0
0xfffffff0087c16c4: 7f3a30b9  str	wzr, [x19, #0x3038]
0xfffffff0087c16c8: 7626f9b7  tbnz	x22, #0x3f, #0xfffffff0087c3b94
0xfffffff0087c16cc: f62701b4  cbz	x22, #0xfffffff0087c3bc8
0xfffffff0087c16d0: f76f00b9  str	w23, [sp, #0x6c]
0xfffffff0087c16d4: ff8700b9  str	wzr, [sp, #0x84]
0xfffffff0087c16d8: 68a20191  add	x8, x19, #0x68
0xfffffff0087c16dc: e83b00f9  str	x8, [sp, #0x70]
0xfffffff0087c16e0: e850fff0  adrp	x8, #0xfffffff0071e0000
0xfffffff0087c16e4: 087142fd  ldr	d8, [x8, #0x4e0]
0xfffffff0087c16e8: 284dffd0  adrp	x8, #0xfffffff007167000
0xfffffff0087c16ec: 093547fd  ldr	d9, [x8, #0xe68]
0xfffffff0087c16f0: fb3f00f9  str	x27, [sp, #0x78]
0xfffffff0087c16f4: 5f031beb  cmp	x26, x27
0xfffffff0087c16f8: 61000054  b.ne	#0xfffffff0087c1704
0xfffffff0087c16fc: 683a70b9  ldr	w8, [x19, #0x3038]
0xfffffff0087c1700: 48260134  cbz	w8, #0xfffffff0087c3bc8
0xfffffff0087c1704: 787a7cb9  ldr	w24, [x19, #0x3c78]
0xfffffff0087c1708: f8020034  cbz	w24, #0xfffffff0087c1764
0xfffffff0087c170c: 5b3801b4  cbz	x27, #0xfffffff0087c3e14
