; Candidate 7319
; ADRP+ADD at VM 0xfffffff0088671e8 (fileoff 0x18631e8): page=0x1fe982000 add_imm=0xe80

0xfffffff008867168: 4ab92791  add	x10, x10, #0x9ee
0xfffffff00886716c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008867170: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008867174: c89c8052  mov	w8, #0x4e6
0xfffffff008867178: 494dfff0  adrp	x9, #0xfffffff007212000
0xfffffff00886717c: 29553591  add	x9, x9, #0xd55
0xfffffff008867180: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008867184: 084eff90  adrp	x8, #0xfffffff007227000
0xfffffff008867188: 08811191  add	x8, x8, #0x460
0xfffffff00886718c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008867190: 680c8052  mov	w8, #0x63
0xfffffff008867194: 004effd0  adrp	x0, #0xfffffff007229000
0xfffffff008867198: 00782391  add	x0, x0, #0x8de
0xfffffff00886719c: 97000014  b	#0xfffffff0088673f8
0xfffffff0088671a0: 03340194  bl	#0xfffffff0088b41ac
0xfffffff0088671a4: f40300aa  mov	x20, x0
0xfffffff0088671a8: 80008052  mov	w0, #4
0xfffffff0088671ac: a9510094  bl	#0xfffffff00887b850
0xfffffff0088671b0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088671b4: 69a240b9  ldr	w9, [x19, #0xa0]
0xfffffff0088671b8: 557e8012  mov	w21, #-0x3f3
0xfffffff0088671bc: e95704a9  stp	x9, x21, [sp, #0x40]
0xfffffff0088671c0: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088671c4: 689a8052  mov	w8, #0x4d3
0xfffffff0088671c8: 494dfff0  adrp	x9, #0xfffffff007212000
0xfffffff0088671cc: 29553591  add	x9, x9, #0xd55
0xfffffff0088671d0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088671d4: 084eff90  adrp	x8, #0xfffffff007227000
0xfffffff0088671d8: 08811191  add	x8, x8, #0x460
0xfffffff0088671dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088671e0: 680c8052  mov	w8, #0x63
0xfffffff0088671e4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088671e8: 004cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088671ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088671f0: 018dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088671f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088671f8: 834fff90  adrp	x3, #0xfffffff007257000
0xfffffff0088671fc: 63b00d91  add	x3, x3, #0x36c
0xfffffff008867200: 02008052  mov	w2, #0
0xfffffff008867204: cb2feb97  bl	#0xfffffff008333130
0xfffffff008867208: f40315aa  mov	x20, x21
0xfffffff00886720c: 7d000014  b	#0xfffffff008867400
0xfffffff008867210: e7330194  bl	#0xfffffff0088b41ac
0xfffffff008867214: f50300aa  mov	x21, x0
0xfffffff008867218: 80008052  mov	w0, #4
0xfffffff00886721c: 8d510094  bl	#0xfffffff00887b850
0xfffffff008867220: e80314aa  mov	x8, x20
0xfffffff008867224: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008867228: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00886722c: 484dffb0  adrp	x8, #0xfffffff007210000
0xfffffff008867230: 08b92791  add	x8, x8, #0x9ee
0xfffffff008867234: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008867238: 089c8052  mov	w8, #0x4e0
0xfffffff00886723c: 494dfff0  adrp	x9, #0xfffffff007212000
0xfffffff008867240: 29553591  add	x9, x9, #0xd55
0xfffffff008867244: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008867248: 084eff90  adrp	x8, #0xfffffff007227000
0xfffffff00886724c: 08811191  add	x8, x8, #0x460
0xfffffff008867250: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008867254: 680c8052  mov	w8, #0x63
0xfffffff008867258: f52300a9  stp	x21, x8, [sp]
0xfffffff00886725c: 004cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008867260: 00003a91  add	x0, x0, #0xe80
0xfffffff008867264: 018dffb0  adrp	x1, #0xfffffff007a08000
