; Candidate 11376
; ADRP+ADD at VM 0xfffffff008efe7fc (fileoff 0x1efa7fc): page=0x1fe505000 add_imm=0xe10

0xfffffff008efe77c: 00c42a91  add	x0, x0, #0xab1
0xfffffff008efe780: 6357d697  bl	#0xfffffff00849450c
0xfffffff008efe784: 7f2303d5  pacibsp	
0xfffffff008efe788: ff8300d1  sub	sp, sp, #0x20
0xfffffff008efe78c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008efe790: fd430091  add	x29, sp, #0x10
0xfffffff008efe794: 2828ffb0  adrp	x8, #0xfffffff007403000
0xfffffff008efe798: 081d3591  add	x8, x8, #0xd47
0xfffffff008efe79c: e9048052  mov	w9, #0x27
0xfffffff008efe7a0: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe7a4: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe7a8: 00403491  add	x0, x0, #0xd10
0xfffffff008efe7ac: 5857d697  bl	#0xfffffff00849450c
0xfffffff008efe7b0: 7f2303d5  pacibsp	
0xfffffff008efe7b4: ff8300d1  sub	sp, sp, #0x20
0xfffffff008efe7b8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008efe7bc: fd430091  add	x29, sp, #0x10
0xfffffff008efe7c0: 2828ffb0  adrp	x8, #0xfffffff007403000
0xfffffff008efe7c4: 081d3591  add	x8, x8, #0xd47
0xfffffff008efe7c8: c90b8052  mov	w9, #0x5e
0xfffffff008efe7cc: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe7d0: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe7d4: 003c3791  add	x0, x0, #0xdcf
0xfffffff008efe7d8: 4d57d697  bl	#0xfffffff00849450c
0xfffffff008efe7dc: 7f2303d5  pacibsp	
0xfffffff008efe7e0: ff8300d1  sub	sp, sp, #0x20
0xfffffff008efe7e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008efe7e8: fd430091  add	x29, sp, #0x10
0xfffffff008efe7ec: 2828ffb0  adrp	x8, #0xfffffff007403000
0xfffffff008efe7f0: 081d3591  add	x8, x8, #0xd47
0xfffffff008efe7f4: 690c8052  mov	w9, #0x63
0xfffffff008efe7f8: e82700a9  stp	x8, x9, [sp]
0xfffffff008efe7fc: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe800: 00403891  add	x0, x0, #0xe10
0xfffffff008efe804: 4257d697  bl	#0xfffffff00849450c
0xfffffff008efe808: 7f2303d5  pacibsp	
0xfffffff008efe80c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008efe810: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008efe814: fd830091  add	x29, sp, #0x20
0xfffffff008efe818: 100040f9  ldr	x16, [x0]
0xfffffff008efe81c: 3018c1da  autda	x16, x1
0xfffffff008efe820: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008efe824: e90310aa  mov	x9, x16
0xfffffff008efe828: f10309aa  mov	x17, x9
0xfffffff008efe82c: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff008efe830: 11093fd7  blraa	x8, x17
0xfffffff008efe834: e80c8052  mov	w8, #0x67
0xfffffff008efe838: 2928ffb0  adrp	x9, #0xfffffff007403000
0xfffffff008efe83c: 291d3591  add	x9, x9, #0xd47
0xfffffff008efe840: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008efe844: e00300f9  str	x0, [sp]
0xfffffff008efe848: 2028ffb0  adrp	x0, #0xfffffff007403000
0xfffffff008efe84c: 00283991  add	x0, x0, #0xe4a
0xfffffff008efe850: 2f57d697  bl	#0xfffffff00849450c
0xfffffff008efe854: 7f2303d5  pacibsp	
0xfffffff008efe858: ffc300d1  sub	sp, sp, #0x30
0xfffffff008efe85c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008efe860: fd830091  add	x29, sp, #0x20
0xfffffff008efe864: 280b8052  mov	w8, #0x59
0xfffffff008efe868: 2928ffb0  adrp	x9, #0xfffffff007403000
0xfffffff008efe86c: 291d3591  add	x9, x9, #0xd47
0xfffffff008efe870: 2a28ffb0  adrp	x10, #0xfffffff007403000
0xfffffff008efe874: 4ab13691  add	x10, x10, #0xdac
0xfffffff008efe878: e9a300a9  stp	x9, x8, [sp, #8]
