; Candidate 584
; ADRP+ADD at VM 0xfffffff007f8e338 (fileoff 0xf8a338): page=0x1ff9e5000 add_imm=0xeb0

0xfffffff007f8e2b8: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff007f8e2bc: e007803d  str	q0, [sp, #0x10]
0xfffffff007f8e2c0: e00314aa  mov	x0, x20
0xfffffff007f8e2c4: 01008052  mov	w1, #0
0xfffffff007f8e2c8: 76c7ff97  bl	#0xfffffff007f800a0
0xfffffff007f8e2cc: 80020034  cbz	w0, #0xfffffff007f8e31c
0xfffffff007f8e2d0: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff007f8e2d4: e80300f9  str	x8, [sp]
0xfffffff007f8e2d8: 8288fff0  adrp	x2, #0xfffffff0070a1000
0xfffffff007f8e2dc: 42643b91  add	x2, x2, #0xed9
0xfffffff007f8e2e0: f5430091  add	x21, sp, #0x10
0xfffffff007f8e2e4: e0430091  add	x0, sp, #0x10
0xfffffff007f8e2e8: 01028052  mov	w1, #0x10
0xfffffff007f8e2ec: 9cb20994  bl	#0xfffffff0081fad5c
0xfffffff007f8e2f0: 88ae40b9  ldr	w8, [x20, #0xac]
0xfffffff007f8e2f4: 897ec179  ldrsh	w9, [x20, #0xbe]
0xfffffff007f8e2f8: e8270429  stp	w8, w9, [sp, #0x20]
0xfffffff007f8e2fc: 81820391  add	x1, x20, #0xe0
0xfffffff007f8e300: a2d20091  add	x2, x21, #0x34
0xfffffff007f8e304: 5e9eff97  bl	#0xfffffff007f75c7c
0xfffffff007f8e308: 885a41f9  ldr	x8, [x20, #0x2b0]
0xfffffff007f8e30c: 001140fd  ldr	d0, [x8, #0x20]
0xfffffff007f8e310: e01700fd  str	d0, [sp, #0x28]
0xfffffff007f8e314: 081d40f9  ldr	x8, [x8, #0x38]
0xfffffff007f8e318: e83300b9  str	w8, [sp, #0x30]
0xfffffff007f8e31c: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff007f8e320: e1430091  add	x1, sp, #0x10
0xfffffff007f8e324: e00313aa  mov	x0, x19
0xfffffff007f8e328: 82168052  mov	w2, #0xb4
0xfffffff007f8e32c: f1048dd2  mov	x17, #0x6827
0xfffffff007f8e330: 11093fd7  blraa	x8, x17
0xfffffff007f8e334: 38000014  b	#0xfffffff007f8e414
0xfffffff007f8e338: 20cfffb0  adrp	x0, #0xfffffff007973000
0xfffffff007f8e33c: 00c03a91  add	x0, x0, #0xeb0
0xfffffff007f8e340: 81009052  mov	w1, #0x8004
0xfffffff007f8e344: e462f897  bl	#0xfffffff007da6ed4
0xfffffff007f8e348: f50300aa  mov	x21, x0
0xfffffff007f8e34c: e00314aa  mov	x0, x20
0xfffffff007f8e350: e10315aa  mov	x1, x21
0xfffffff007f8e354: 8f9eff97  bl	#0xfffffff007f75d90
0xfffffff007f8e358: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007f8e35c: a00208ad  stp	q0, q0, [x21, #0x100]
0xfffffff007f8e360: a00207ad  stp	q0, q0, [x21, #0xe0]
0xfffffff007f8e364: a00206ad  stp	q0, q0, [x21, #0xc0]
0xfffffff007f8e368: a00205ad  stp	q0, q0, [x21, #0xa0]
0xfffffff007f8e36c: 88ae40f9  ldr	x8, [x20, #0x158]
0xfffffff007f8e370: a85200f9  str	x8, [x21, #0xa0]
0xfffffff007f8e374: 88b240f9  ldr	x8, [x20, #0x160]
0xfffffff007f8e378: a85600f9  str	x8, [x21, #0xa8]
0xfffffff007f8e37c: 88b640f9  ldr	x8, [x20, #0x168]
0xfffffff007f8e380: a85a00f9  str	x8, [x21, #0xb0]
0xfffffff007f8e384: 88ba40f9  ldr	x8, [x20, #0x170]
0xfffffff007f8e388: a85e00f9  str	x8, [x21, #0xb8]
0xfffffff007f8e38c: a1820491  add	x1, x21, #0x120
0xfffffff007f8e390: e00314aa  mov	x0, x20
0xfffffff007f8e394: af9eff97  bl	#0xfffffff007f75e50
0xfffffff007f8e398: a1820891  add	x1, x21, #0x220
0xfffffff007f8e39c: e00314aa  mov	x0, x20
0xfffffff007f8e3a0: f09eff97  bl	#0xfffffff007f75f60
0xfffffff007f8e3a4: a1220a91  add	x1, x21, #0x288
0xfffffff007f8e3a8: e00314aa  mov	x0, x20
0xfffffff007f8e3ac: 0c9fff97  bl	#0xfffffff007f75fdc
0xfffffff007f8e3b0: 680a40f9  ldr	x8, [x19, #0x10]
0xfffffff007f8e3b4: e80300b4  cbz	x8, #0xfffffff007f8e430
