; Candidate 15165
; ADRP+ADD at VM 0xfffffff009af5b30 (fileoff 0x2af1b30): page=0x1fe1de000 add_imm=0xd90

0xfffffff009af5ab0: f10314aa  mov	x17, x20
0xfffffff009af5ab4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009af5ab8: 301ac1da  autda	x16, x17
0xfffffff009af5abc: 118680d2  mov	x17, #0x430
0xfffffff009af5ac0: 1002118b  add	x16, x16, x17
0xfffffff009af5ac4: 080240f9  ldr	x8, [x16]
0xfffffff009af5ac8: e90310aa  mov	x9, x16
0xfffffff009af5acc: e00314aa  mov	x0, x20
0xfffffff009af5ad0: 01268052  mov	w1, #0x130
0xfffffff009af5ad4: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff009af5ad8: 020080d2  mov	x2, #0
0xfffffff009af5adc: 030080d2  mov	x3, #0
0xfffffff009af5ae0: f10309aa  mov	x17, x9
0xfffffff009af5ae4: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff009af5ae8: 11093fd7  blraa	x8, x17
0xfffffff009af5aec: 93620539  strb	w19, [x20, #0x158]
0xfffffff009af5af0: 00008052  mov	w0, #0
0xfffffff009af5af4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009af5af8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009af5afc: ff0f5fd6  retab	
0xfffffff009af5b00: 7f2303d5  pacibsp	
0xfffffff009af5b04: ff8301d1  sub	sp, sp, #0x60
0xfffffff009af5b08: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009af5b0c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009af5b10: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009af5b14: fd430191  add	x29, sp, #0x50
0xfffffff009af5b18: 410600b4  cbz	x1, #0xfffffff009af5be0
0xfffffff009af5b1c: f40301aa  mov	x20, x1
0xfffffff009af5b20: f30300aa  mov	x19, x0
0xfffffff009af5b24: 08844339  ldrb	w8, [x0, #0xe1]
0xfffffff009af5b28: 68020034  cbz	w8, #0xfffffff009af5b74
0xfffffff009af5b2c: 42020037  tbnz	w2, #0, #0xfffffff009af5b74
0xfffffff009af5b30: e00effd0  adrp	x0, #0xfffffff007cd3000
0xfffffff009af5b34: 00403691  add	x0, x0, #0xd90
0xfffffff009af5b38: 6f82a197  bl	#0xfffffff0083564f4
0xfffffff009af5b3c: 800700b4  cbz	x0, #0xfffffff009af5c2c
0xfffffff009af5b40: f50300aa  mov	x21, x0
0xfffffff009af5b44: 1f5000a9  stp	xzr, x20, [x0]
0xfffffff009af5b48: 60a640f9  ldr	x0, [x19, #0x148]
0xfffffff009af5b4c: e0d78a97  bl	#0xfffffff007dabacc
0xfffffff009af5b50: 685e41b9  ldr	w8, [x19, #0x15c]
0xfffffff009af5b54: 08050011  add	w8, w8, #1
0xfffffff009af5b58: 685e01b9  str	w8, [x19, #0x15c]
0xfffffff009af5b5c: 699e40f9  ldr	x9, [x19, #0x138]
0xfffffff009af5b60: 490200b4  cbz	x9, #0xfffffff009af5ba8
0xfffffff009af5b64: e80309aa  mov	x8, x9
0xfffffff009af5b68: 290140f9  ldr	x9, [x9]
0xfffffff009af5b6c: c9ffffb5  cbnz	x9, #0xfffffff009af5b64
0xfffffff009af5b70: 0f000014  b	#0xfffffff009af5bac
0xfffffff009af5b74: 686241b9  ldr	w8, [x19, #0x160]
0xfffffff009af5b78: 08050011  add	w8, w8, #1
0xfffffff009af5b7c: 686201b9  str	w8, [x19, #0x160]
0xfffffff009af5b80: e00314aa  mov	x0, x20
0xfffffff009af5b84: 661f0094  bl	#0xfffffff009afd91c
0xfffffff009af5b88: 686641b9  ldr	w8, [x19, #0x164]
0xfffffff009af5b8c: 08050011  add	w8, w8, #1
0xfffffff009af5b90: 686601b9  str	w8, [x19, #0x164]
0xfffffff009af5b94: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009af5b98: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009af5b9c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009af5ba0: ff830191  add	sp, sp, #0x60
0xfffffff009af5ba4: ff0f5fd6  retab	
0xfffffff009af5ba8: 68e20491  add	x8, x19, #0x138
0xfffffff009af5bac: 150100f9  str	x21, [x8]
