; Candidate 10805
; ADRP+ADD at VM 0xfffffff008de74d8 (fileoff 0x1de34d8): page=0x1fe5dd000 add_imm=0xd54

0xfffffff008de7458: a80a40f9  ldr	x8, [x21, #0x10]
0xfffffff008de745c: e82300f9  str	x8, [sp, #0x40]
0xfffffff008de7460: e0c30091  add	x0, sp, #0x30
0xfffffff008de7464: a4190094  bl	#0xfffffff008dedaf4
0xfffffff008de7468: 00050035  cbnz	w0, #0xfffffff008de7508
0xfffffff008de746c: 88021a8b  add	x8, x20, x26
0xfffffff008de7470: 890340b9  ldr	w9, [x28]
0xfffffff008de7474: ea3340b9  ldr	w10, [sp, #0x30]
0xfffffff008de7478: e24340b9  ldr	w2, [sp, #0x40]
0xfffffff008de747c: 0a250029  stp	w10, w9, [x8]
0xfffffff008de7480: 5a230091  add	x26, x26, #8
0xfffffff008de7484: c2000034  cbz	w2, #0xfffffff008de749c
0xfffffff008de7488: 80021a8b  add	x0, x20, x26
0xfffffff008de748c: e11f40f9  ldr	x1, [sp, #0x38]
0xfffffff008de7490: 4095bd97  bl	#0xfffffff007d4c990
0xfffffff008de7494: e84340b9  ldr	w8, [sp, #0x40]
0xfffffff008de7498: 5a03088b  add	x26, x26, x8
0xfffffff008de749c: 7b070091  add	x27, x27, #1
0xfffffff008de74a0: e84f40b9  ldr	w8, [sp, #0x4c]
0xfffffff008de74a4: b5620091  add	x21, x21, #0x18
0xfffffff008de74a8: 7f0308eb  cmp	x27, x8
0xfffffff008de74ac: 23fdff54  b.lo	#0xfffffff008de7450
0xfffffff008de74b0: 16008052  mov	w22, #0
0xfffffff008de74b4: 7a0200f9  str	x26, [x19]
0xfffffff008de74b8: 48018052  mov	w8, #0xa
0xfffffff008de74bc: 29436c39  ldrb	w9, [x25, #0xb10]
0xfffffff008de74c0: 1f01096b  cmp	w8, w9
0xfffffff008de74c4: 03010054  b.lo	#0xfffffff008de74e4
0xfffffff008de74c8: e80316aa  mov	x8, x22
0xfffffff008de74cc: 087d4093  sxtw	x8, w8
0xfffffff008de74d0: f85f00a9  stp	x24, x23, [sp]
0xfffffff008de74d4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de74d8: e02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de74dc: 00503591  add	x0, x0, #0xd54
0xfffffff008de74e0: d0bed597  bl	#0xfffffff008357020
0xfffffff008de74e4: e00316aa  mov	x0, x22
0xfffffff008de74e8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008de74ec: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008de74f0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008de74f4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008de74f8: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008de74fc: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff008de7500: ffc30291  add	sp, sp, #0xb0
0xfffffff008de7504: ff0f5fd6  retab	
0xfffffff008de7508: f60300aa  mov	x22, x0
0xfffffff008de750c: c87e4093  sxtw	x8, w22
0xfffffff008de7510: 49128052  mov	w9, #0x92
0xfffffff008de7514: ca2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de7518: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008de751c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de7520: e92effb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de7524: 29493991  add	x9, x9, #0xe52
0xfffffff008de7528: eb2effb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de752c: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de7530: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de7534: eb0300f9  str	x11, [sp]
0xfffffff008de7538: e02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de753c: 00543891  add	x0, x0, #0xe15
0xfffffff008de7540: b8bed597  bl	#0xfffffff008357020
0xfffffff008de7544: c8088052  mov	w8, #0x46
0xfffffff008de7548: ddffff17  b	#0xfffffff008de74bc
0xfffffff008de754c: 88108052  mov	w8, #0x84
0xfffffff008de7550: c92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de7554: 29e92e91  add	x9, x9, #0xbba
