; Candidate 16794
; ADRP+ADD at VM 0xfffffff009f64bb8 (fileoff 0x2f60bb8): page=0x470000 add_imm=0xe58

0xfffffff009f64b38: 02008052  mov	w2, #0
0xfffffff009f64b3c: 7d398f97  bl	#0xfffffff008333130
0xfffffff009f64b40: e9a341a9  ldp	x9, x8, [sp, #0x18]
0xfffffff009f64b44: 280100f9  str	x8, [x9]
0xfffffff009f64b48: d00240f9  ldr	x16, [x22]
0xfffffff009f64b4c: f10316aa  mov	x17, x22
0xfffffff009f64b50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f64b54: 301ac1da  autda	x16, x17
0xfffffff009f64b58: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009f64b5c: e90310aa  mov	x9, x16
0xfffffff009f64b60: e00316aa  mov	x0, x22
0xfffffff009f64b64: f10309aa  mov	x17, x9
0xfffffff009f64b68: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009f64b6c: 11093fd7  blraa	x8, x17
0xfffffff009f64b70: e00313aa  mov	x0, x19
0xfffffff009f64b74: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009f64b78: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009f64b7c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009f64b80: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009f64b84: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff009f64b88: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff009f64b8c: ff830291  add	sp, sp, #0xa0
0xfffffff009f64b90: ff0f5fd6  retab	
0xfffffff009f64b94: 5f2403d5  bti	c
0xfffffff009f64b98: c8eefe90  adrp	x8, #0xfffffff007d3c000
0xfffffff009f64b9c: 087142f9  ldr	x8, [x8, #0x4e0]
0xfffffff009f64ba0: 06c11191  add	x6, x8, #0x470
0xfffffff009f64ba4: 103942f9  ldr	x16, [x8, #0x470]
0xfffffff009f64ba8: f10306aa  mov	x17, x6
0xfffffff009f64bac: b159f0f2  movk	x17, #0x82cd, lsl #48
0xfffffff009f64bb0: 110a1fd7  braa	x16, x17
0xfffffff009f64bb4: 5f2403d5  bti	c
0xfffffff009f64bb8: 80230090  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f64bbc: 00603991  add	x0, x0, #0xe58
0xfffffff009f64bc0: c0035fd6  ret	
0xfffffff009f64bc4: 7f2303d5  pacibsp	
0xfffffff009f64bc8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009f64bcc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009f64bd0: fd430091  add	x29, sp, #0x10
0xfffffff009f64bd4: f30300aa  mov	x19, x0
0xfffffff009f64bd8: da7c9097  bl	#0xfffffff008383f40
0xfffffff009f64bdc: e0eefef0  adrp	x0, #0xfffffff007d43000
0xfffffff009f64be0: 00601891  add	x0, x0, #0x618
0xfffffff009f64be4: e10313aa  mov	x1, x19
0xfffffff009f64be8: 02118052  mov	w2, #0x88
0xfffffff009f64bec: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009f64bf0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009f64bf4: ff2303d5  autibsp	
0xfffffff009f64bf8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009f64bfc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009f64c04
0xfffffff009f64c00: 208e38d4  brk	#0xc471
0xfffffff009f64c04: a60a8e17  b	#0xfffffff0082e769c
0xfffffff009f64c08: 5f2403d5  bti	c
0xfffffff009f64c0c: cd7c9017  b	#0xfffffff008383f40
0xfffffff009f64c10: 7f2303d5  pacibsp	
0xfffffff009f64c14: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009f64c18: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009f64c1c: fd430091  add	x29, sp, #0x10
0xfffffff009f64c20: e0eefef0  adrp	x0, #0xfffffff007d43000
0xfffffff009f64c24: 00601891  add	x0, x0, #0x618
0xfffffff009f64c28: 01118052  mov	w1, #0x88
0xfffffff009f64c2c: 830a8e97  bl	#0xfffffff0082e7638
0xfffffff009f64c30: f30300aa  mov	x19, x0
0xfffffff009f64c34: 94230090  adrp	x20, #0xfffffff00a3d4000
