; Candidate 11459
; ADRP+ADD at VM 0xfffffff008f50338 (fileoff 0x1f4c338): page=0x1fe4cd000 add_imm=0xec1

0xfffffff008f502b8: 42a03991  add	x2, x2, #0xe68
0xfffffff008f502bc: e5010014  b	#0xfffffff008f50a50
0xfffffff008f502c0: f70301a9  stp	x23, x0, [sp, #0x10]
0xfffffff008f502c4: 6826ffb0  adrp	x8, #0xfffffff00741d000
0xfffffff008f502c8: 08b12891  add	x8, x8, #0xa2c
0xfffffff008f502cc: f62300a9  stp	x22, x8, [sp]
0xfffffff008f502d0: 6026ffb0  adrp	x0, #0xfffffff00741d000
0xfffffff008f502d4: 001c3a91  add	x0, x0, #0xe87
0xfffffff008f502d8: 521bd097  bl	#0xfffffff008357020
0xfffffff008f502dc: 755240f9  ldr	x21, [x19, #0xa0]
0xfffffff008f502e0: 700240f9  ldr	x16, [x19]
0xfffffff008f502e4: f10313aa  mov	x17, x19
0xfffffff008f502e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f502ec: 301ac1da  autda	x16, x17
0xfffffff008f502f0: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f502f4: e90310aa  mov	x9, x16
0xfffffff008f502f8: e00313aa  mov	x0, x19
0xfffffff008f502fc: f10309aa  mov	x17, x9
0xfffffff008f50300: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f50304: 11093fd7  blraa	x8, x17
0xfffffff008f50308: 9451ce97  bl	#0xfffffff0082e4958
0xfffffff008f5030c: 6826ffb0  adrp	x8, #0xfffffff00741d000
0xfffffff008f50310: 08b12891  add	x8, x8, #0xa2c
0xfffffff008f50314: 150100b4  cbz	x21, #0xfffffff008f50334
0xfffffff008f50318: e02300a9  stp	x0, x8, [sp]
0xfffffff008f5031c: 6226ffb0  adrp	x2, #0xfffffff00741d000
0xfffffff008f50320: 42043b91  add	x2, x2, #0xec1
0xfffffff008f50324: e00315aa  mov	x0, x21
0xfffffff008f50328: 41008052  mov	w1, #2
0xfffffff008f5032c: c6d04094  bl	#0xfffffff009f84644
0xfffffff008f50330: 05000014  b	#0xfffffff008f50344
0xfffffff008f50334: e02300a9  stp	x0, x8, [sp]
0xfffffff008f50338: 6026ffb0  adrp	x0, #0xfffffff00741d000
0xfffffff008f5033c: 00043b91  add	x0, x0, #0xec1
0xfffffff008f50340: 381bd097  bl	#0xfffffff008357020
0xfffffff008f50344: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff008f50348: 100040f9  ldr	x16, [x0]
0xfffffff008f5034c: f10300aa  mov	x17, x0
0xfffffff008f50350: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f50354: 301ac1da  autda	x16, x17
0xfffffff008f50358: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff008f5035c: e90310aa  mov	x9, x16
0xfffffff008f50360: 21008052  mov	w1, #1
0xfffffff008f50364: f10309aa  mov	x17, x9
0xfffffff008f50368: b18cf9f2  movk	x17, #0xcc65, lsl #48
0xfffffff008f5036c: 11093fd7  blraa	x8, x17
0xfffffff008f50370: 20030034  cbz	w0, #0xfffffff008f503d4
0xfffffff008f50374: f50300aa  mov	x21, x0
0xfffffff008f50378: 765240f9  ldr	x22, [x19, #0xa0]
0xfffffff008f5037c: 700240f9  ldr	x16, [x19]
0xfffffff008f50380: f10313aa  mov	x17, x19
0xfffffff008f50384: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f50388: 301ac1da  autda	x16, x17
0xfffffff008f5038c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f50390: e90310aa  mov	x9, x16
0xfffffff008f50394: e00313aa  mov	x0, x19
0xfffffff008f50398: f10309aa  mov	x17, x9
0xfffffff008f5039c: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f503a0: 11093fd7  blraa	x8, x17
0xfffffff008f503a4: 6d51ce97  bl	#0xfffffff0082e4958
0xfffffff008f503a8: d60500b4  cbz	x22, #0xfffffff008f50460
0xfffffff008f503ac: 6826ffb0  adrp	x8, #0xfffffff00741d000
0xfffffff008f503b0: 08b12891  add	x8, x8, #0xa2c
0xfffffff008f503b4: e8d700a9  stp	x8, x21, [sp, #8]
