; Candidate 5498
; ADRP+ADD at VM 0xfffffff0087f4b54 (fileoff 0x17f0b54): page=0x1fe9f5000 add_imm=0xe80

0xfffffff0087f4ad4: 09468052  mov	w9, #0x230
0xfffffff0087f4ad8: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f4adc: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4ae0: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f4ae4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f4ae8: e80e8052  mov	w8, #0x77
0xfffffff0087f4aec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f4af0: f70300f9  str	x23, [sp]
0xfffffff0087f4af4: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f4af8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f4afc: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f4b00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f4b04: 6352ff90  adrp	x3, #0xfffffff007240000
0xfffffff0087f4b08: 63781d91  add	x3, x3, #0x75e
0xfffffff0087f4b0c: 02008052  mov	w2, #0
0xfffffff0087f4b10: 88f9ec97  bl	#0xfffffff008333130
0xfffffff0087f4b14: 4ffeff17  b	#0xfffffff0087f4450
0xfffffff0087f4b18: a5fd0294  bl	#0xfffffff0088b41ac
0xfffffff0087f4b1c: f70300aa  mov	x23, x0
0xfffffff0087f4b20: 80008052  mov	w0, #4
0xfffffff0087f4b24: 4b1b0294  bl	#0xfffffff00887b850
0xfffffff0087f4b28: 480340b9  ldr	w8, [x26]
0xfffffff0087f4b2c: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0087f4b30: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4b34: 08c52c91  add	x8, x8, #0xb31
0xfffffff0087f4b38: 093d8052  mov	w9, #0x1e8
0xfffffff0087f4b3c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f4b40: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4b44: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f4b48: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f4b4c: e80e8052  mov	w8, #0x77
0xfffffff0087f4b50: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f4b54: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f4b58: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f4b5c: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f4b60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f4b64: 6352ff90  adrp	x3, #0xfffffff007240000
0xfffffff0087f4b68: 63bc1891  add	x3, x3, #0x62f
0xfffffff0087f4b6c: 02008052  mov	w2, #0
0xfffffff0087f4b70: 70f9ec97  bl	#0xfffffff008333130
0xfffffff0087f4b74: 37feff17  b	#0xfffffff0087f4450
0xfffffff0087f4b78: e00e8052  mov	w0, #0x77
0xfffffff0087f4b7c: 81008052  mov	w1, #4
0xfffffff0087f4b80: 141b0294  bl	#0xfffffff00887b7d0
0xfffffff0087f4b84: 60c6ff34  cbz	w0, #0xfffffff0087f4450
0xfffffff0087f4b88: e00e8052  mov	w0, #0x77
0xfffffff0087f4b8c: 231b0294  bl	#0xfffffff00887b818
0xfffffff0087f4b90: f80300aa  mov	x24, x0
0xfffffff0087f4b94: 86fd0294  bl	#0xfffffff0088b41ac
0xfffffff0087f4b98: f70300aa  mov	x23, x0
0xfffffff0087f4b9c: 80008052  mov	w0, #4
0xfffffff0087f4ba0: 2c1b0294  bl	#0xfffffff00887b850
0xfffffff0087f4ba4: 18140034  cbz	w24, #0xfffffff0087f4e24
0xfffffff0087f4ba8: 480340b9  ldr	w8, [x26]
0xfffffff0087f4bac: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0087f4bb0: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4bb4: 08292e91  add	x8, x8, #0xb8a
0xfffffff0087f4bb8: c9418052  mov	w9, #0x20e
0xfffffff0087f4bbc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f4bc0: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4bc4: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f4bc8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f4bcc: e80e8052  mov	w8, #0x77
0xfffffff0087f4bd0: 0051ffb0  adrp	x0, #0xfffffff007215000
