; Candidate 6664
; ADRP+ADD at VM 0xfffffff008838d18 (fileoff 0x1834d18): page=0x1fe9b1000 add_imm=0xe80

0xfffffff008838c98: 082d1c91  add	x8, x8, #0x70b
0xfffffff008838c9c: fba301a9  stp	x27, x8, [sp, #0x18]
0xfffffff008838ca0: 880a8052  mov	w8, #0x54
0xfffffff008838ca4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008838ca8: f80300f9  str	x24, [sp]
0xfffffff008838cac: 804dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008838cb0: 00003a91  add	x0, x0, #0xe80
0xfffffff008838cb4: 818eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008838cb8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008838cbc: 02008052  mov	w2, #0
0xfffffff008838cc0: a350ffd0  adrp	x3, #0xfffffff00724e000
0xfffffff008838cc4: 63c42291  add	x3, x3, #0x8b1
0xfffffff008838cc8: 1ae9eb97  bl	#0xfffffff008333130
0xfffffff008838ccc: 13fc0736  tbz	w19, #0, #0xfffffff008838c4c
0xfffffff008838cd0: 39070011  add	w25, w25, #1
0xfffffff008838cd4: 3f130071  cmp	w25, #4
0xfffffff008838cd8: 21f4ff54  b.ne	#0xfffffff008838b5c
0xfffffff008838cdc: 51000014  b	#0xfffffff008838e20
0xfffffff008838ce0: 33ed0194  bl	#0xfffffff0088b41ac
0xfffffff008838ce4: f50300aa  mov	x21, x0
0xfffffff008838ce8: e0008052  mov	w0, #7
0xfffffff008838cec: d90a0194  bl	#0xfffffff00887b850
0xfffffff008838cf0: 484ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008838cf4: 0a2d1c91  add	x10, x8, #0x70b
0xfffffff008838cf8: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff008838cfc: e9d302a9  stp	x9, x20, [sp, #0x28]
0xfffffff008838d00: 484ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008838d04: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008838d08: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008838d0c: 880a8052  mov	w8, #0x54
0xfffffff008838d10: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008838d14: f50300f9  str	x21, [sp]
0xfffffff008838d18: 804dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008838d1c: 00003a91  add	x0, x0, #0xe80
0xfffffff008838d20: 818eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008838d24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008838d28: a350ffd0  adrp	x3, #0xfffffff00724e000
0xfffffff008838d2c: 63642191  add	x3, x3, #0x859
0xfffffff008838d30: 02008052  mov	w2, #0
0xfffffff008838d34: ffe8eb97  bl	#0xfffffff008333130
0xfffffff008838d38: 74f0ffb5  cbnz	x20, #0xfffffff008838b44
0xfffffff008838d3c: 800a8052  mov	w0, #0x54
0xfffffff008838d40: 81008052  mov	w1, #4
0xfffffff008838d44: a30a0194  bl	#0xfffffff00887b7d0
0xfffffff008838d48: a0060034  cbz	w0, #0xfffffff008838e1c
0xfffffff008838d4c: 800a8052  mov	w0, #0x54
0xfffffff008838d50: b20a0194  bl	#0xfffffff00887b818
0xfffffff008838d54: f60300aa  mov	x22, x0
0xfffffff008838d58: 15ed0194  bl	#0xfffffff0088b41ac
0xfffffff008838d5c: f50300aa  mov	x21, x0
0xfffffff008838d60: 80008052  mov	w0, #4
0xfffffff008838d64: bb0a0194  bl	#0xfffffff00887b850
0xfffffff008838d68: 76020034  cbz	w22, #0xfffffff008838db4
0xfffffff008838d6c: 284fff90  adrp	x8, #0xfffffff00721c000
0xfffffff008838d70: 0a450491  add	x10, x8, #0x111
0xfffffff008838d74: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff008838d78: e9ff03a9  stp	x9, xzr, [sp, #0x38]
0xfffffff008838d7c: 28248052  mov	w8, #0x121
0xfffffff008838d80: 494ffff0  adrp	x9, #0xfffffff007223000
0xfffffff008838d84: 292d1c91  add	x9, x9, #0x70b
0xfffffff008838d88: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008838d8c: 484ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008838d90: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008838d94: e8a701a9  stp	x8, x9, [sp, #0x18]
