; Candidate 6201
; ADRP+ADD at VM 0xfffffff008819d48 (fileoff 0x1815d48): page=0x1fe9d0000 add_imm=0xe80

0xfffffff008819cc8: e10300aa  mov	x1, x0
0xfffffff008819ccc: 820640b9  ldr	w2, [x20, #4]
0xfffffff008819cd0: e00317aa  mov	x0, x23
0xfffffff008819cd4: e30316aa  mov	x3, x22
0xfffffff008819cd8: 9f1cff97  bl	#0xfffffff0087e0f54
0xfffffff008819cdc: f70300aa  mov	x23, x0
0xfffffff008819ce0: 80130011  add	w0, w28, #4
0xfffffff008819ce4: e10319aa  mov	x1, x25
0xfffffff008819ce8: e2031baa  mov	x2, x27
0xfffffff008819cec: e3031aaa  mov	x3, x26
0xfffffff008819cf0: e40318aa  mov	x4, x24
0xfffffff008819cf4: 050080d2  mov	x5, #0
0xfffffff008819cf8: 8390e597  bl	#0xfffffff00817df04
0xfffffff008819cfc: 40ffff17  b	#0xfffffff0088199fc
0xfffffff008819d00: 2b690294  bl	#0xfffffff0088b41ac
0xfffffff008819d04: f80300aa  mov	x24, x0
0xfffffff008819d08: 80008052  mov	w0, #4
0xfffffff008819d0c: d1860194  bl	#0xfffffff00887b850
0xfffffff008819d10: e80317aa  mov	x8, x23
0xfffffff008819d14: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008819d18: 8a0640b9  ldr	w10, [x20, #4]
0xfffffff008819d1c: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff008819d20: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008819d24: a84ffff0  adrp	x8, #0xfffffff007210000
0xfffffff008819d28: 08b92791  add	x8, x8, #0x9ee
0xfffffff008819d2c: 697e8152  mov	w9, #0xbf3
0xfffffff008819d30: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008819d34: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819d38: 08c13691  add	x8, x8, #0xdb0
0xfffffff008819d3c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008819d40: 880e8052  mov	w8, #0x74
0xfffffff008819d44: f82300a9  stp	x24, x8, [sp]
0xfffffff008819d48: 804eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008819d4c: 00003a91  add	x0, x0, #0xe80
0xfffffff008819d50: 618ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008819d54: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008819d58: 8351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff008819d5c: 63200b91  add	x3, x3, #0x2c8
0xfffffff008819d60: 02008052  mov	w2, #0
0xfffffff008819d64: f364ec97  bl	#0xfffffff008333130
0xfffffff008819d68: 25ffff17  b	#0xfffffff0088199fc
0xfffffff008819d6c: 0c000000  udf	#0xc
0xfffffff008819d70: 28000000  udf	#0x28
0xfffffff008819d74: 38000000  udf	#0x38
0xfffffff008819d78: 50000000  udf	#0x50
0xfffffff008819d7c: 60000000  udf	#0x60
0xfffffff008819d80: 70000000  udf	#0x70
0xfffffff008819d84: 7f2303d5  pacibsp	
0xfffffff008819d88: ff8304d1  sub	sp, sp, #0x120
0xfffffff008819d8c: fc6f0ca9  stp	x28, x27, [sp, #0xc0]
0xfffffff008819d90: fa670da9  stp	x26, x25, [sp, #0xd0]
0xfffffff008819d94: f85f0ea9  stp	x24, x23, [sp, #0xe0]
0xfffffff008819d98: f6570fa9  stp	x22, x21, [sp, #0xf0]
0xfffffff008819d9c: f44f10a9  stp	x20, x19, [sp, #0x100]
0xfffffff008819da0: fd7b11a9  stp	x29, x30, [sp, #0x110]
0xfffffff008819da4: fd430491  add	x29, sp, #0x110
0xfffffff008819da8: f70305aa  mov	x23, x5
0xfffffff008819dac: f90304aa  mov	x25, x4
0xfffffff008819db0: f50303aa  mov	x21, x3
0xfffffff008819db4: f60302aa  mov	x22, x2
0xfffffff008819db8: f40301aa  mov	x20, x1
0xfffffff008819dbc: f30300aa  mov	x19, x0
0xfffffff008819dc0: 688ffff0  adrp	x8, #0xfffffff007a08000
0xfffffff008819dc4: 082942f9  ldr	x8, [x8, #0x450]
