; Candidate 4006
; ADRP+ADD at VM 0xfffffff0087820d0 (fileoff 0x177e0d0): page=0x1fe9af000 add_imm=0xd90

0xfffffff008782050: f70300aa  mov	x23, x0
0xfffffff008782054: d00240f9  ldr	x16, [x22]
0xfffffff008782058: f10316aa  mov	x17, x22
0xfffffff00878205c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008782060: 301ac1da  autda	x16, x17
0xfffffff008782064: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008782068: e90310aa  mov	x9, x16
0xfffffff00878206c: e00316aa  mov	x0, x22
0xfffffff008782070: f10309aa  mov	x17, x9
0xfffffff008782074: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008782078: 11093fd7  blraa	x8, x17
0xfffffff00878207c: 97040034  cbz	w23, #0xfffffff00878210c
0xfffffff008782080: 94578052  mov	w20, #0x2bc
0xfffffff008782084: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008782088: 684effd0  adrp	x8, #0xfffffff007150000
0xfffffff00878208c: 08c12c91  add	x8, x8, #0xb30
0xfffffff008782090: e85700a9  stp	x8, x21, [sp]
0xfffffff008782094: 604dfff0  adrp	x0, #0xfffffff007131000
0xfffffff008782098: 00403691  add	x0, x0, #0xd90
0xfffffff00878209c: c193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087820a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087820a4: 034efff0  adrp	x3, #0xfffffff007145000
0xfffffff0087820a8: 63ec1291  add	x3, x3, #0x4bb
0xfffffff0087820ac: 02008052  mov	w2, #0
0xfffffff0087820b0: 20c4ee97  bl	#0xfffffff008333130
0xfffffff0087820b4: 0f000014  b	#0xfffffff0087820f0
0xfffffff0087820b8: 94578052  mov	w20, #0x2bc
0xfffffff0087820bc: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0087820c0: ffd700a9  stp	xzr, x21, [sp, #8]
0xfffffff0087820c4: 684effd0  adrp	x8, #0xfffffff007150000
0xfffffff0087820c8: 08c12c91  add	x8, x8, #0xb30
0xfffffff0087820cc: e80300f9  str	x8, [sp]
0xfffffff0087820d0: 604dfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087820d4: 00403691  add	x0, x0, #0xd90
0xfffffff0087820d8: c193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087820dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087820e0: 034efff0  adrp	x3, #0xfffffff007145000
0xfffffff0087820e4: 63fc1191  add	x3, x3, #0x47f
0xfffffff0087820e8: 02008052  mov	w2, #0
0xfffffff0087820ec: 11c4ee97  bl	#0xfffffff008333130
0xfffffff0087820f0: e00314aa  mov	x0, x20
0xfffffff0087820f4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087820f8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0087820fc: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008782100: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008782104: ff830191  add	sp, sp, #0x60
0xfffffff008782108: ff0f5fd6  retab	
0xfffffff00878210c: 800240f9  ldr	x0, [x20]
0xfffffff008782110: 800400b4  cbz	x0, #0xfffffff0087821a0
0xfffffff008782114: 28008052  mov	w8, #1
0xfffffff008782118: 68320139  strb	w8, [x19, #0x4c]
0xfffffff00878211c: 3ad2fc97  bl	#0xfffffff0086b6a04
0xfffffff008782120: f50300aa  mov	x21, x0
0xfffffff008782124: 1f040071  cmp	w0, #1
0xfffffff008782128: 80010054  b.eq	#0xfffffff008782158
0xfffffff00878212c: 684effd0  adrp	x8, #0xfffffff007150000
0xfffffff008782130: 08c12c91  add	x8, x8, #0xb30
0xfffffff008782134: e85700a9  stp	x8, x21, [sp]
0xfffffff008782138: 604dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00878213c: 00403691  add	x0, x0, #0xd90
0xfffffff008782140: c193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008782144: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008782148: 034efff0  adrp	x3, #0xfffffff007145000
0xfffffff00878214c: 63901491  add	x3, x3, #0x524
