; Candidate 1933
; ADRP+ADD at VM 0xfffffff00853cc34 (fileoff 0x1538c34): page=0x1feba5000 add_imm=0xdd8

0xfffffff00853cbb4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00853cbb8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00853cbbc: fd430091  add	x29, sp, #0x10
0xfffffff00853cbc0: 20a3ffb0  adrp	x0, #0xfffffff0079a1000
0xfffffff00853cbc4: 00003591  add	x0, x0, #0xd40
0xfffffff00853cbc8: 01168052  mov	w1, #0xb0
0xfffffff00853cbcc: 9baaf697  bl	#0xfffffff0082e7638
0xfffffff00853cbd0: f30300aa  mov	x19, x0
0xfffffff00853cbd4: d4ec00b0  adrp	x20, #0xfffffff00a2d5000
0xfffffff00853cbd8: 94a23491  add	x20, x20, #0xd28
0xfffffff00853cbdc: e10314aa  mov	x1, x20
0xfffffff00853cbe0: 56b54c94  bl	#0xfffffff00986a138
0xfffffff00853cbe4: 10a3ffb0  adrp	x16, #0xfffffff00799d000
0xfffffff00853cbe8: 10222d91  add	x16, x16, #0xb48
0xfffffff00853cbec: 10420091  add	x16, x16, #0x10
0xfffffff00853cbf0: f10300aa  mov	x17, x0
0xfffffff00853cbf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00853cbf8: 300ac1da  pacda	x16, x17
0xfffffff00853cbfc: 100000f9  str	x16, [x0]
0xfffffff00853cc00: e00314aa  mov	x0, x20
0xfffffff00853cc04: 4ca1f697  bl	#0xfffffff0082e5134
0xfffffff00853cc08: e00313aa  mov	x0, x19
0xfffffff00853cc0c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00853cc10: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00853cc14: ff0f5fd6  retab	
0xfffffff00853cc18: 5f2403d5  bti	c
0xfffffff00853cc1c: b69ef617  b	#0xfffffff0082e46f4
0xfffffff00853cc20: 5f2403d5  bti	c
0xfffffff00853cc24: b49ef617  b	#0xfffffff0082e46f4
0xfffffff00853cc28: 7f2303d5  pacibsp	
0xfffffff00853cc2c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00853cc30: fd030091  mov	x29, sp
0xfffffff00853cc34: 205dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853cc38: 00603791  add	x0, x0, #0xdd8
0xfffffff00853cc3c: 7fb1f797  bl	#0xfffffff008329238
0xfffffff00853cc40: c8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853cc44: 005506f9  str	x0, [x8, #0xca8]
0xfffffff00853cc48: 205dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853cc4c: 00083891  add	x0, x0, #0xe02
0xfffffff00853cc50: 7ab1f797  bl	#0xfffffff008329238
0xfffffff00853cc54: c8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853cc58: 005906f9  str	x0, [x8, #0xcb0]
0xfffffff00853cc5c: 205dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853cc60: 00883891  add	x0, x0, #0xe22
0xfffffff00853cc64: 75b1f797  bl	#0xfffffff008329238
0xfffffff00853cc68: c8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853cc6c: 005d06f9  str	x0, [x8, #0xcb8]
0xfffffff00853cc70: 205dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853cc74: 00e43891  add	x0, x0, #0xe39
0xfffffff00853cc78: 70b1f797  bl	#0xfffffff008329238
0xfffffff00853cc7c: c8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853cc80: 006106f9  str	x0, [x8, #0xcc0]
0xfffffff00853cc84: 205dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853cc88: 004c3991  add	x0, x0, #0xe53
0xfffffff00853cc8c: 6bb1f797  bl	#0xfffffff008329238
0xfffffff00853cc90: c8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853cc94: 006506f9  str	x0, [x8, #0xcc8]
0xfffffff00853cc98: 205dffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff00853cc9c: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00853cca0: 66b1f797  bl	#0xfffffff008329238
0xfffffff00853cca4: c8ec00b0  adrp	x8, #0xfffffff00a2d5000
0xfffffff00853cca8: 006906f9  str	x0, [x8, #0xcd0]
0xfffffff00853ccac: c0ec00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff00853ccb0: 00603391  add	x0, x0, #0xcd8
