; Candidate 2097
; ADRP+ADD at VM 0xfffffff008553890 (fileoff 0x154f890): page=0x1feb8e000 add_imm=0xe53

0xfffffff008553810: 4946f697  bl	#0xfffffff0082e5134
0xfffffff008553814: e00313aa  mov	x0, x19
0xfffffff008553818: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00855381c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008553820: ff0f5fd6  retab	
0xfffffff008553824: 5f2403d5  bti	c
0xfffffff008553828: b343f617  b	#0xfffffff0082e46f4
0xfffffff00855382c: 5f2403d5  bti	c
0xfffffff008553830: b143f617  b	#0xfffffff0082e46f4
0xfffffff008553834: 7f2303d5  pacibsp	
0xfffffff008553838: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00855383c: fd030091  mov	x29, sp
0xfffffff008553840: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008553844: 00603791  add	x0, x0, #0xdd8
0xfffffff008553848: 7c56f797  bl	#0xfffffff008329238
0xfffffff00855384c: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008553850: 005d03f9  str	x0, [x8, #0x6b8]
0xfffffff008553854: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008553858: 00083891  add	x0, x0, #0xe02
0xfffffff00855385c: 7756f797  bl	#0xfffffff008329238
0xfffffff008553860: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008553864: 006103f9  str	x0, [x8, #0x6c0]
0xfffffff008553868: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855386c: 00883891  add	x0, x0, #0xe22
0xfffffff008553870: 7256f797  bl	#0xfffffff008329238
0xfffffff008553874: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008553878: 006503f9  str	x0, [x8, #0x6c8]
0xfffffff00855387c: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008553880: 00e43891  add	x0, x0, #0xe39
0xfffffff008553884: 6d56f797  bl	#0xfffffff008329238
0xfffffff008553888: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855388c: 006903f9  str	x0, [x8, #0x6d0]
0xfffffff008553890: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008553894: 004c3991  add	x0, x0, #0xe53
0xfffffff008553898: 6856f797  bl	#0xfffffff008329238
0xfffffff00855389c: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085538a0: 006d03f9  str	x0, [x8, #0x6d8]
0xfffffff0085538a4: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085538a8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0085538ac: 6356f797  bl	#0xfffffff008329238
0xfffffff0085538b0: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085538b4: 007103f9  str	x0, [x8, #0x6e0]
0xfffffff0085538b8: 00ec00f0  adrp	x0, #0xfffffff00a2d6000
0xfffffff0085538bc: 00a01b91  add	x0, x0, #0x6e8
0xfffffff0085538c0: 615cffb0  adrp	x1, #0xfffffff0070e0000
0xfffffff0085538c4: 217c3091  add	x1, x1, #0xc1f
0xfffffff0085538c8: 02a2ffd0  adrp	x2, #0xfffffff007995000
0xfffffff0085538cc: 425845f9  ldr	x2, [x2, #0xab0]
0xfffffff0085538d0: 030f8052  mov	w3, #0x78
0xfffffff0085538d4: 9940f697  bl	#0xfffffff0082e3b38
0xfffffff0085538d8: 70a2ff90  adrp	x16, #0xfffffff00799f000
0xfffffff0085538dc: 10e23591  add	x16, x16, #0xd78
0xfffffff0085538e0: 10420091  add	x16, x16, #0x10
0xfffffff0085538e4: f10300aa  mov	x17, x0
0xfffffff0085538e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085538ec: 300ac1da  pacda	x16, x17
0xfffffff0085538f0: 100000f9  str	x16, [x0]
0xfffffff0085538f4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085538f8: ff0f5fd6  retab	
0xfffffff0085538fc: 5f2403d5  bti	c
0xfffffff008553900: 00ec00f0  adrp	x0, #0xfffffff00a2d6000
0xfffffff008553904: 00a01b91  add	x0, x0, #0x6e8
0xfffffff008553908: 7b43f617  b	#0xfffffff0082e46f4
0xfffffff00855390c: 7f2303d5  pacibsp	
