; Candidate 4121
; ADRP+ADD at VM 0xfffffff008792c90 (fileoff 0x178ec90): page=0x1fe99f000 add_imm=0xd90

0xfffffff008792c10: 3f090071  cmp	w9, #2
0xfffffff008792c14: 43070054  b.lo	#0xfffffff008792cfc
0xfffffff008792c18: 1f0d0071  cmp	w8, #3
0xfffffff008792c1c: 60090054  b.eq	#0xfffffff008792d48
0xfffffff008792c20: 1f110071  cmp	w8, #4
0xfffffff008792c24: 610b0054  b.ne	#0xfffffff008792d90
0xfffffff008792c28: 880a40b9  ldr	w8, [x20, #8]
0xfffffff008792c2c: 69a669b9  ldr	w9, [x19, #0x29a4]
0xfffffff008792c30: 1f01096b  cmp	w8, w9
0xfffffff008792c34: e90a0054  b.ls	#0xfffffff008792d90
0xfffffff008792c38: 56588052  mov	w22, #0x2c2
0xfffffff008792c3c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008792c40: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008792c44: 494effb0  adrp	x9, #0xfffffff00715b000
0xfffffff008792c48: 29410591  add	x9, x9, #0x150
0xfffffff008792c4c: e90300f9  str	x9, [sp]
0xfffffff008792c50: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008792c54: 00403691  add	x0, x0, #0xd90
0xfffffff008792c58: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792c5c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792c60: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792c64: 63c83891  add	x3, x3, #0xe32
0xfffffff008792c68: 02008052  mov	w2, #0
0xfffffff008792c6c: 3181ee97  bl	#0xfffffff008333130
0xfffffff008792c70: 614241b9  ldr	w1, [x19, #0x140]
0xfffffff008792c74: 80228052  mov	w0, #0x114
0xfffffff008792c78: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff008792c7c: 020080d2  mov	x2, #0
0xfffffff008792c80: 030080d2  mov	x3, #0
0xfffffff008792c84: a4a79f92  mov	x4, #-0xfd3e
0xfffffff008792c88: 0400bcf2  movk	x4, #0xe000, lsl #16
0xfffffff008792c8c: f5feff17  b	#0xfffffff008792860
0xfffffff008792c90: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008792c94: 00403691  add	x0, x0, #0xd90
0xfffffff008792c98: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792c9c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792ca0: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792ca4: 631c3691  add	x3, x3, #0xd87
0xfffffff008792ca8: 02008052  mov	w2, #0
0xfffffff008792cac: 2181ee97  bl	#0xfffffff008333130
0xfffffff008792cb0: 48588052  mov	w8, #0x2c2
0xfffffff008792cb4: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008792cb8: 16190051  sub	w22, w8, #6
0xfffffff008792cbc: 9fffff17  b	#0xfffffff008792b38
0xfffffff008792cc0: 484effb0  adrp	x8, #0xfffffff00715b000
0xfffffff008792cc4: 08410591  add	x8, x8, #0x150
0xfffffff008792cc8: e80300f9  str	x8, [sp]
0xfffffff008792ccc: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008792cd0: 00403691  add	x0, x0, #0xd90
0xfffffff008792cd4: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792cd8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792cdc: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792ce0: 63183791  add	x3, x3, #0xdc6
0xfffffff008792ce4: 02008052  mov	w2, #0
0xfffffff008792ce8: 1281ee97  bl	#0xfffffff008333130
0xfffffff008792cec: 48588052  mov	w8, #0x2c2
0xfffffff008792cf0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008792cf4: 16150051  sub	w22, w8, #5
0xfffffff008792cf8: 90ffff17  b	#0xfffffff008792b38
0xfffffff008792cfc: 880a40b9  ldr	w8, [x20, #8]
0xfffffff008792d00: 095d0012  and	w9, w8, #0xffffff
0xfffffff008792d04: 6aa669b9  ldr	w10, [x19, #0x29a4]
0xfffffff008792d08: 3f010a6b  cmp	w9, w10
0xfffffff008792d0c: 29040054  b.ls	#0xfffffff008792d90
