; Candidate 9884
; ADRP+ADD at VM 0xfffffff008ba19b4 (fileoff 0x1b9d9b4): page=0x1743000 add_imm=0xd28

0xfffffff008ba1934: f6f355a9  ldp	x22, x28, [sp, #0x158]
0xfffffff008ba1938: 88e35839  ldrb	w8, [x28, #0x638]
0xfffffff008ba193c: b4020012  and	w20, w21, #1
0xfffffff008ba1940: 68000034  cbz	w8, #0xfffffff008ba194c
0xfffffff008ba1944: f57f40f9  ldr	x21, [sp, #0xf8]
0xfffffff008ba1948: 19000014  b	#0xfffffff008ba19ac
0xfffffff008ba194c: f5cf4fa9  ldp	x21, x19, [sp, #0xf8]
0xfffffff008ba1950: 68c24039  ldrb	w8, [x19, #0x30]
0xfffffff008ba1954: c8020035  cbnz	w8, #0xfffffff008ba19ac
0xfffffff008ba1958: c80e40f9  ldr	x8, [x22, #0x18]
0xfffffff008ba195c: 090b40b9  ldr	w9, [x24, #8]
0xfffffff008ba1960: ea5340f9  ldr	x10, [sp, #0xa0]
0xfffffff008ba1964: 4a3940b9  ldr	w10, [x10, #0x38]
0xfffffff008ba1968: eb9f40f9  ldr	x11, [sp, #0x138]
0xfffffff008ba196c: e82f02a9  stp	x8, x11, [sp, #0x20]
0xfffffff008ba1970: e83f40f9  ldr	x8, [sp, #0x78]
0xfffffff008ba1974: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff008ba1978: 683cfff0  adrp	x8, #0xfffffff007330000
0xfffffff008ba197c: 08810591  add	x8, x8, #0x160
0xfffffff008ba1980: e92300a9  stp	x9, x8, [sp]
0xfffffff008ba1984: 203bff90  adrp	x0, #0xfffffff007305000
0xfffffff008ba1988: 00400c91  add	x0, x0, #0x310
0xfffffff008ba198c: 6177ff90  adrp	x1, #0xfffffff007a8d000
0xfffffff008ba1990: 21a441f9  ldr	x1, [x1, #0x348]
0xfffffff008ba1994: 033cff90  adrp	x3, #0xfffffff007321000
0xfffffff008ba1998: 63540b91  add	x3, x3, #0x2d5
0xfffffff008ba199c: 02008052  mov	w2, #0
0xfffffff008ba19a0: e445de97  bl	#0xfffffff008333130
0xfffffff008ba19a4: 28008052  mov	w8, #1
0xfffffff008ba19a8: 68c20039  strb	w8, [x19, #0x30]
0xfffffff008ba19ac: a86e5af9  ldr	x8, [x21, #0x34d8]
0xfffffff008ba19b0: 481000b4  cbz	x8, #0xfffffff008ba1bb8
0xfffffff008ba19b4: 00ba00f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008ba19b8: 00a03491  add	x0, x0, #0xd28
0xfffffff008ba19bc: 100040f9  ldr	x16, [x0]
0xfffffff008ba19c0: f10300aa  mov	x17, x0
0xfffffff008ba19c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ba19c8: 301ac1da  autda	x16, x17
0xfffffff008ba19cc: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008ba19d0: e90310aa  mov	x9, x16
0xfffffff008ba19d4: f10309aa  mov	x17, x9
0xfffffff008ba19d8: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008ba19dc: 11093fd7  blraa	x8, x17
0xfffffff008ba19e0: f30300aa  mov	x19, x0
0xfffffff008ba19e4: e04249b9  ldr	w0, [x23, #0x940]
0xfffffff008ba19e8: 000c040e  dup	v0.2s, w0
0xfffffff008ba19ec: 600e00fd  str	d0, [x19, #0x18]
0xfffffff008ba19f0: 7fa20039  strb	wzr, [x19, #0x28]
0xfffffff008ba19f4: 761200f9  str	x22, [x19, #0x20]
0xfffffff008ba19f8: d3a618f9  str	x19, [x22, #0x3148]
0xfffffff008ba19fc: 94000034  cbz	w20, #0xfffffff008ba1a0c
0xfffffff008ba1a00: e85b40f9  ldr	x8, [sp, #0xb0]
0xfffffff008ba1a04: 08114339  ldrb	w8, [x8, #0xc4]
0xfffffff008ba1a08: 880d0034  cbz	w8, #0xfffffff008ba1bb8
0xfffffff008ba1a0c: 62420091  add	x2, x19, #0x10
0xfffffff008ba1a10: 01488852  mov	w1, #0x4240
0xfffffff008ba1a14: e101a072  movk	w1, #0xf, lsl #16
0xfffffff008ba1a18: 1db3c797  bl	#0xfffffff007d8e68c
0xfffffff008ba1a1c: a06a5af9  ldr	x0, [x21, #0x34d0]
0xfffffff008ba1a20: 100040f9  ldr	x16, [x0]
0xfffffff008ba1a24: f10300aa  mov	x17, x0
0xfffffff008ba1a28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ba1a2c: 301ac1da  autda	x16, x17
0xfffffff008ba1a30: 088e4df8  ldr	x8, [x16, #0xd8]!
