; Candidate 16149
; ADRP+ADD at VM 0xfffffff009e29aa8 (fileoff 0x2e25aa8): page=0x1fd87a000 add_imm=0xe00

0xfffffff009e29a28: e10300aa  mov	x1, x0
0xfffffff009e29a2c: 171000f9  str	x23, [x0, #0x20]
0xfffffff009e29a30: 1b400039  strb	w27, [x0, #0x10]
0xfffffff009e29a34: 181c00f9  str	x24, [x0, #0x38]
0xfffffff009e29a38: 570000b4  cbz	x23, #0xfffffff009e29a40
0xfffffff009e29a3c: e10e00f9  str	x1, [x23, #0x18]
0xfffffff009e29a40: e2830091  add	x2, sp, #0x20
0xfffffff009e29a44: e00314aa  mov	x0, x20
0xfffffff009e29a48: 926aff97  bl	#0xfffffff009e04490
0xfffffff009e29a4c: e00313aa  mov	x0, x19
0xfffffff009e29a50: 6b137e97  bl	#0xfffffff007dae7fc
0xfffffff009e29a54: a82c00d0  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e29a58: 08911b91  add	x8, x8, #0x6e4
0xfffffff009e29a5c: 29008052  mov	w9, #1
0xfffffff009e29a60: 0801e9b8  ldaddal	w9, w8, [x8]
0xfffffff009e29a64: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff009e29a68: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff009e29a6c: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff009e29a70: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff009e29a74: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff009e29a78: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff009e29a7c: ff830391  add	sp, sp, #0xe0
0xfffffff009e29a80: ff0f5fd6  retab	
0xfffffff009e29a84: 9a018052  mov	w26, #0xc
0xfffffff009e29a88: 5bf7ff35  cbnz	w27, #0xfffffff009e29970
0xfffffff009e29a8c: c3ffff17  b	#0xfffffff009e29998
0xfffffff009e29a90: e00313aa  mov	x0, x19
0xfffffff009e29a94: 5a137e97  bl	#0xfffffff007dae7fc
0xfffffff009e29a98: f3ffff17  b	#0xfffffff009e29a64
0xfffffff009e29a9c: 88cffe90  adrp	x8, #0xfffffff007819000
0xfffffff009e29aa0: 08153391  add	x8, x8, #0xcc5
0xfffffff009e29aa4: e85700a9  stp	x8, x21, [sp]
0xfffffff009e29aa8: c0c3fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e29aac: 00003891  add	x0, x0, #0xe00
0xfffffff009e29ab0: 01f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e29ab4: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e29ab8: a3cffed0  adrp	x3, #0xfffffff00781f000
0xfffffff009e29abc: 63383891  add	x3, x3, #0xe0e
0xfffffff009e29ac0: 02028052  mov	w2, #0x10
0xfffffff009e29ac4: 9b259497  bl	#0xfffffff008333130
0xfffffff009e29ac8: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff009e29acc: 011140f9  ldr	x1, [x8, #0x20]
0xfffffff009e29ad0: e00314aa  mov	x0, x20
0xfffffff009e29ad4: 2f6bff97  bl	#0xfffffff009e04790
0xfffffff009e29ad8: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff009e29adc: c7ffff17  b	#0xfffffff009e299f8
0xfffffff009e29ae0: 88cffe90  adrp	x8, #0xfffffff007819000
0xfffffff009e29ae4: 08e53291  add	x8, x8, #0xcb9
0xfffffff009e29ae8: e9968052  mov	w9, #0x4b7
0xfffffff009e29aec: e82700a9  stp	x8, x9, [sp]
0xfffffff009e29af0: 80cffe90  adrp	x0, #0xfffffff007819000
0xfffffff009e29af4: 00583391  add	x0, x0, #0xcd6
0xfffffff009e29af8: 85aa9997  bl	#0xfffffff00849450c
0xfffffff009e29afc: 7f2303d5  pacibsp	
0xfffffff009e29b00: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009e29b04: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009e29b08: fd430091  add	x29, sp, #0x10
0xfffffff009e29b0c: f30300aa  mov	x19, x0
0xfffffff009e29b10: 08404639  ldrb	w8, [x0, #0x190]
0xfffffff009e29b14: 08013837  tbnz	w8, #7, #0xfffffff009e29b34
0xfffffff009e29b18: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff009e29b1c: b9418497  bl	#0xfffffff007f3a200
0xfffffff009e29b20: 607201b9  str	w0, [x19, #0x170]
0xfffffff009e29b24: 68ca40f9  ldr	x8, [x19, #0x190]
