; Candidate 13833
; ADRP+ADD at VM 0xfffffff0095ad3b8 (fileoff 0x25a93b8): page=0x1fdfb2000 add_imm=0xd1d

0xfffffff0095ad338: bf8317b8  stur	wzr, [x29, #-0x88]
0xfffffff0095ad33c: a12302d1  sub	x1, x29, #0x88
0xfffffff0095ad340: a30302d1  sub	x3, x29, #0x80
0xfffffff0095ad344: e00313aa  mov	x0, x19
0xfffffff0095ad348: 62018052  mov	w2, #0xb
0xfffffff0095ad34c: 63b0ff97  bl	#0xfffffff0095994d8
0xfffffff0095ad350: a08357fc  ldur	d0, [x29, #-0x88]
0xfffffff0095ad354: 604f00fd  str	d0, [x27, #0x98]
0xfffffff0095ad358: 0800261e  fmov	w8, s0
0xfffffff0095ad35c: 60050034  cbz	w0, #0xfffffff0095ad408
0xfffffff0095ad360: 1a008052  mov	w26, #0
0xfffffff0095ad364: 1b3c0012  and	w27, w0, #0xffff
0xfffffff0095ad368: f70f40f9  ldr	x23, [sp, #0x18]
0xfffffff0095ad36c: ff9a00b9  str	wzr, [x23, #0x98]
0xfffffff0095ad370: f82740b9  ldr	w24, [sp, #0x24]
0xfffffff0095ad374: 603f0013  sxth	w0, w27
0xfffffff0095ad378: 70e1ff97  bl	#0xfffffff0095a5938
0xfffffff0095ad37c: 76720d91  add	x22, x19, #0x35c
0xfffffff0095ad380: 087c4093  sxtw	x8, w0
0xfffffff0095ad384: e85b00a9  stp	x8, x22, [sp]
0xfffffff0095ad388: 80fdfed0  adrp	x0, #0xfffffff00755f000
0xfffffff0095ad38c: 00a43391  add	x0, x0, #0xce9
0xfffffff0095ad390: 3428a097  bl	#0xfffffff007db7460
0xfffffff0095ad394: c8008052  mov	w8, #6
0xfffffff0095ad398: 283b0079  strh	w8, [x25, #0x1c]
0xfffffff0095ad39c: 38e301b8  stur	w24, [x25, #0x1e]
0xfffffff0095ad3a0: 3f470079  strh	wzr, [x25, #0x22]
0xfffffff0095ad3a4: e00314aa  mov	x0, x20
0xfffffff0095ad3a8: e10319aa  mov	x1, x25
0xfffffff0095ad3ac: 3900ff97  bl	#0xfffffff00956d490
0xfffffff0095ad3b0: 00010034  cbz	w0, #0xfffffff0095ad3d0
0xfffffff0095ad3b4: f60300f9  str	x22, [sp]
0xfffffff0095ad3b8: 80fdfed0  adrp	x0, #0xfffffff00755f000
0xfffffff0095ad3bc: 00743491  add	x0, x0, #0xd1d
0xfffffff0095ad3c0: 2828a097  bl	#0xfffffff007db7460
0xfffffff0095ad3c4: e00313aa  mov	x0, x19
0xfffffff0095ad3c8: 21008052  mov	w1, #1
0xfffffff0095ad3cc: cf91ff97  bl	#0xfffffff009591b08
0xfffffff0095ad3d0: 5af0ff34  cbz	w26, #0xfffffff0095ad1d8
0xfffffff0095ad3d4: e19a40b9  ldr	w1, [x23, #0x98]
0xfffffff0095ad3d8: 01f0ff34  cbz	w1, #0xfffffff0095ad1d8
0xfffffff0095ad3dc: e29e40b9  ldr	w2, [x23, #0x9c]
0xfffffff0095ad3e0: e00313aa  mov	x0, x19
0xfffffff0095ad3e4: 03008052  mov	w3, #0
0xfffffff0095ad3e8: 6ebbff97  bl	#0xfffffff00959c1a0
0xfffffff0095ad3ec: ff4e00f9  str	xzr, [x23, #0x98]
0xfffffff0095ad3f0: 7affff17  b	#0xfffffff0095ad1d8
0xfffffff0095ad3f4: e82740b9  ldr	w8, [sp, #0x24]
0xfffffff0095ad3f8: 1b008052  mov	w27, #0
0xfffffff0095ad3fc: f6eeffb4  cbz	x22, #0xfffffff0095ad1d8
0xfffffff0095ad400: c80200b9  str	w8, [x22]
0xfffffff0095ad404: 75ffff17  b	#0xfffffff0095ad1d8
0xfffffff0095ad408: e803082a  mov	w8, w8
0xfffffff0095ad40c: e97e4093  sxtw	x9, w23
0xfffffff0095ad410: 087d099b  mul	x8, x8, x9
0xfffffff0095ad414: 0809da9a  udiv	x8, x8, x26
0xfffffff0095ad418: 696244b9  ldr	w9, [x19, #0x460]
0xfffffff0095ad41c: 2909da1a  udiv	w9, w9, w26
0xfffffff0095ad420: 0101098b  add	x1, x8, x9
0xfffffff0095ad424: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff0095ad428: 680640b9  ldr	w8, [x19, #4]
0xfffffff0095ad42c: 093a8052  mov	w9, #0x1d0
0xfffffff0095ad430: 2a09c81a  udiv	w10, w9, w8
0xfffffff0095ad434: 4aa5081b  msub	w10, w10, w8, w9
