; Candidate 437
; ADRP+ADD at VM 0xfffffff007f0ba34 (fileoff 0xf07a34): page=0x2331000 add_imm=0xdc8

0xfffffff007f0b9b4: 69e206f9  str	x9, [x19, #0xdc0]
0xfffffff007f0b9b8: 34010034  cbz	w20, #0xfffffff007f0b9dc
0xfffffff007f0b9bc: 891701d0  adrp	x9, #0xfffffff00a1fd000
0xfffffff007f0b9c0: 287143b9  ldr	w8, [x9, #0x370]
0xfffffff007f0b9c4: 08050011  add	w8, w8, #1
0xfffffff007f0b9c8: 287103b9  str	w8, [x9, #0x370]
0xfffffff007f0b9cc: 13008152  mov	w19, #0x800
0xfffffff007f0b9d0: 34008052  mov	w20, #1
0xfffffff007f0b9d4: fa5340b9  ldr	w26, [sp, #0x50]
0xfffffff007f0b9d8: 17000014  b	#0xfffffff007f0ba34
0xfffffff007f0b9dc: 13008152  mov	w19, #0x800
0xfffffff007f0b9e0: 34008052  mov	w20, #1
0xfffffff007f0b9e4: fa5340b9  ldr	w26, [sp, #0x50]
0xfffffff007f0b9e8: 7a020837  tbnz	w26, #1, #0xfffffff007f0ba34
0xfffffff007f0b9ec: e94740b9  ldr	w9, [sp, #0x44]
0xfffffff007f0b9f0: 29020034  cbz	w9, #0xfffffff007f0ba34
0xfffffff007f0b9f4: 891701d0  adrp	x9, #0xfffffff00a1fd000
0xfffffff007f0b9f8: 297183b9  ldrsw	x9, [x9, #0x370]
0xfffffff007f0b9fc: 1f0109eb  cmp	x8, x9
0xfffffff007f0ba00: ab010054  b.lt	#0xfffffff007f0ba34
0xfffffff007f0ba04: 13008152  mov	w19, #0x800
0xfffffff007f0ba08: 1320a072  movk	w19, #0x100, lsl #16
0xfffffff007f0ba0c: 881701d0  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f0ba10: 090542f9  ldr	x9, [x8, #0x408]
0xfffffff007f0ba14: 29050091  add	x9, x9, #1
0xfffffff007f0ba18: 090502f9  str	x9, [x8, #0x408]
0xfffffff007f0ba1c: 881701d0  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f0ba20: 090144b9  ldr	w9, [x8, #0x400]
0xfffffff007f0ba24: 29050011  add	w9, w9, #1
0xfffffff007f0ba28: 090104b9  str	w9, [x8, #0x400]
0xfffffff007f0ba2c: 5bf2ff97  bl	#0xfffffff007f08398
0xfffffff007f0ba30: 14008052  mov	w20, #0
0xfffffff007f0ba34: 801901b0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0ba38: 00203791  add	x0, x0, #0xdc8
0xfffffff007f0ba3c: 5290fa97  bl	#0xfffffff007dafb84
0xfffffff007f0ba40: a8cfffd0  adrp	x8, #0xfffffff007901000
0xfffffff007f0ba44: 08e143f9  ldr	x8, [x8, #0x7c0]
0xfffffff007f0ba48: 000540a9  ldp	x0, x1, [x8]
0xfffffff007f0ba4c: 82009052  mov	w2, #0x8004
0xfffffff007f0ba50: 60e6fb97  bl	#0xfffffff007e053d0
0xfffffff007f0ba54: f50300aa  mov	x21, x0
0xfffffff007f0ba58: 685b9d52  mov	w8, #0xeadb
0xfffffff007f0ba5c: a801a072  movk	w8, #0xd, lsl #16
0xfffffff007f0ba60: 1f2001a9  stp	xzr, x8, [x0, #0x10]
0xfffffff007f0ba64: 891501d0  adrp	x9, #0xfffffff00a1bd000
0xfffffff007f0ba68: 29b11d91  add	x9, x9, #0x76c
0xfffffff007f0ba6c: 280140b9  ldr	w8, [x9]
0xfffffff007f0ba70: 0a40a452  mov	w10, #0x22000000
0xfffffff007f0ba74: 0a200029  stp	w10, w8, [x0]
0xfffffff007f0ba78: 1f0400f9  str	xzr, [x0, #8]
0xfffffff007f0ba7c: 2a310091  add	x10, x9, #0xc
0xfffffff007f0ba80: 28008052  mov	w8, #1
0xfffffff007f0ba84: 4a0128b8  ldadd	w8, w10, [x10]
0xfffffff007f0ba88: 290140b9  ldr	w9, [x9]
0xfffffff007f0ba8c: 0901f836  tbz	w9, #0x1f, #0xfffffff007f0baac
0xfffffff007f0ba90: 891501d0  adrp	x9, #0xfffffff00a1bd000
0xfffffff007f0ba94: 29a11d91  add	x9, x9, #0x768
0xfffffff007f0ba98: 280128b8  ldadd	w8, w8, [x9]
0xfffffff007f0ba9c: e9130432  mov	w9, #-0xfffffff
0xfffffff007f0baa0: 0801090b  add	w8, w8, w9
0xfffffff007f0baa4: 1f01096b  cmp	w8, w9
0xfffffff007f0baa8: c9700054  b.ls	#0xfffffff007f0c8c0
0xfffffff007f0baac: f60315aa  mov	x22, x21
0xfffffff007f0bab0: df0e03f8  str	xzr, [x22, #0x30]!
