; Candidate 15142
; ADRP+ADD at VM 0xfffffff009ac1424 (fileoff 0x2abd424): page=0x1fe204000 add_imm=0xda8

0xfffffff009ac13a4: e90313aa  mov	x9, x19
0xfffffff009ac13a8: 308d4cf8  ldr	x16, [x9, #0xc8]!
0xfffffff009ac13ac: 280118f8  stur	x8, [x9, #-0x80]
0xfffffff009ac13b0: 0a4940b9  ldr	w10, [x8, #0x48]
0xfffffff009ac13b4: f10309aa  mov	x17, x9
0xfffffff009ac13b8: 7173f4f2  movk	x17, #0xa39b, lsl #48
0xfffffff009ac13bc: 301ac1da  autda	x16, x17
0xfffffff009ac13c0: f10310aa  mov	x17, x16
0xfffffff009ac13c4: f147c1da  xpacd	x17
0xfffffff009ac13c8: 1f0211eb  cmp	x16, x17
0xfffffff009ac13cc: 40000054  b.eq	#0xfffffff009ac13d4
0xfffffff009ac13d0: 408e38d4  brk	#0xc472
0xfffffff009ac13d4: 0a120079  strh	w10, [x16, #8]
0xfffffff009ac13d8: 493340f9  ldr	x9, [x26, #0x60]
0xfffffff009ac13dc: 090200f9  str	x9, [x16]
0xfffffff009ac13e0: 085540b9  ldr	w8, [x8, #0x54]
0xfffffff009ac13e4: 08160079  strh	w8, [x16, #0xa]
0xfffffff009ac13e8: 28008052  mov	w8, #1
0xfffffff009ac13ec: 880200b9  str	w8, [x20]
0xfffffff009ac13f0: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff009ac13f4: 7259a297  bl	#0xfffffff0083579bc
0xfffffff009ac13f8: 750000b4  cbz	x21, #0xfffffff009ac1404
0xfffffff009ac13fc: e00315aa  mov	x0, x21
0xfffffff009ac1400: c72a0094  bl	#0xfffffff009acbf1c
0xfffffff009ac1404: e02340f9  ldr	x0, [sp, #0x40]
0xfffffff009ac1408: 600000b4  cbz	x0, #0xfffffff009ac1414
0xfffffff009ac140c: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff009ac1410: c32a0094  bl	#0xfffffff009acbf1c
0xfffffff009ac1414: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff009ac1418: 3659a297  bl	#0xfffffff0083578f0
0xfffffff009ac141c: 160080d2  mov	x22, #0
0xfffffff009ac1420: db0000b4  cbz	x27, #0xfffffff009ac1438
0xfffffff009ac1424: 2010ff90  adrp	x0, #0xfffffff007cc5000
0xfffffff009ac1428: 00a03691  add	x0, x0, #0xda8
0xfffffff009ac142c: e1031baa  mov	x1, x27
0xfffffff009ac1430: e20317aa  mov	x2, x23
0xfffffff009ac1434: 6d56a297  bl	#0xfffffff008356de8
0xfffffff009ac1438: 141f8052  mov	w20, #0xf8
0xfffffff009ac143c: f5430191  add	x21, sp, #0x50
0xfffffff009ac1440: a06a74f8  ldr	x0, [x21, x20]
0xfffffff009ac1444: 400100b4  cbz	x0, #0xfffffff009ac146c
0xfffffff009ac1448: 100040f9  ldr	x16, [x0]
0xfffffff009ac144c: f10300aa  mov	x17, x0
0xfffffff009ac1450: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ac1454: 301ac1da  autda	x16, x17
0xfffffff009ac1458: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009ac145c: e90310aa  mov	x9, x16
0xfffffff009ac1460: f10309aa  mov	x17, x9
0xfffffff009ac1464: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009ac1468: 11093fd7  blraa	x8, x17
0xfffffff009ac146c: bf6a34f8  str	xzr, [x21, x20]
0xfffffff009ac1470: 942200d1  sub	x20, x20, #8
0xfffffff009ac1474: 9f2200b1  cmn	x20, #8
0xfffffff009ac1478: 41feff54  b.ne	#0xfffffff009ac1440
0xfffffff009ac147c: 760100b4  cbz	x22, #0xfffffff009ac14a8
0xfffffff009ac1480: d00240f9  ldr	x16, [x22]
0xfffffff009ac1484: f10316aa  mov	x17, x22
0xfffffff009ac1488: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ac148c: 301ac1da  autda	x16, x17
0xfffffff009ac1490: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009ac1494: e90310aa  mov	x9, x16
0xfffffff009ac1498: e00316aa  mov	x0, x22
0xfffffff009ac149c: f10309aa  mov	x17, x9
0xfffffff009ac14a0: f150e7f2  movk	x17, #0x3a87, lsl #48
