; Candidate 1396
; ADRP+ADD at VM 0xfffffff0083988ec (fileoff 0x13948ec): page=0x1eaf000 add_imm=0xeb0

0xfffffff00839886c: 881600b9  str	w8, [x20, #0x14]
0xfffffff008398870: fc0308aa  mov	x28, x8
0xfffffff008398874: 91000014  b	#0xfffffff008398ab8
0xfffffff008398878: 08bc9f52  mov	w8, #0xfde0
0xfffffff00839887c: e8ffa372  movk	w8, #0x1fff, lsl #16
0xfffffff008398880: 0803080b  add	w8, w24, w8
0xfffffff008398884: 1fd50071  cmp	w8, #0x35
0xfffffff008398888: e8000054  b.hi	#0xfffffff0083988a4
0xfffffff00839888c: 29008052  mov	w9, #1
0xfffffff008398890: 2821c89a  lsl	x8, x9, x8
0xfffffff008398894: e98300b2  mov	x9, #0x1000100010001
0xfffffff008398898: 2904e0f2  movk	x9, #0x21, lsl #48
0xfffffff00839889c: 1f0109ea  tst	x8, x9
0xfffffff0083988a0: 41030054  b.ne	#0xfffffff008398908
0xfffffff0083988a4: 08428052  mov	w8, #0x210
0xfffffff0083988a8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0083988ac: 0e000014  b	#0xfffffff0083988e4
0xfffffff0083988b0: 089e9f52  mov	w8, #0xfcf0
0xfffffff0083988b4: e8ffa372  movk	w8, #0x1fff, lsl #16
0xfffffff0083988b8: 0803080b  add	w8, w24, w8
0xfffffff0083988bc: 1fc10071  cmp	w8, #0x30
0xfffffff0083988c0: e8000054  b.hi	#0xfffffff0083988dc
0xfffffff0083988c4: 29008052  mov	w9, #1
0xfffffff0083988c8: 2821c89a  lsl	x8, x9, x8
0xfffffff0083988cc: e90310b2  mov	x9, #0x1000000010000
0xfffffff0083988d0: 290080f2  movk	x9, #1
0xfffffff0083988d4: 1f0109ea  tst	x8, x9
0xfffffff0083988d8: 81010054  b.ne	#0xfffffff008398908
0xfffffff0083988dc: 08828852  mov	w8, #0x4410
0xfffffff0083988e0: 6800bc72  movk	w8, #0xe003, lsl #16
0xfffffff0083988e4: 1f03086b  cmp	w24, w8
0xfffffff0083988e8: 00010054  b.eq	#0xfffffff008398908
0xfffffff0083988ec: 60f500f0  adrp	x0, #0xfffffff00a247000
0xfffffff0083988f0: 00c03a91  add	x0, x0, #0xeb0
0xfffffff0083988f4: f80300f9  str	x24, [sp]
0xfffffff0083988f8: 2268ff90  adrp	x2, #0xfffffff00709c000
0xfffffff0083988fc: 42e03891  add	x2, x2, #0xe38
0xfffffff008398900: 010a8052  mov	w1, #0x50
0xfffffff008398904: 1689f997  bl	#0xfffffff0081fad5c
0xfffffff008398908: 801640f9  ldr	x0, [x20, #0x28]
0xfffffff00839890c: 100040f9  ldr	x16, [x0]
0xfffffff008398910: f10300aa  mov	x17, x0
0xfffffff008398914: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008398918: 301ac1da  autda	x16, x17
0xfffffff00839891c: 113d80d2  mov	x17, #0x1e8
0xfffffff008398920: 1002118b  add	x16, x16, x17
0xfffffff008398924: 080240f9  ldr	x8, [x16]
0xfffffff008398928: e90310aa  mov	x9, x16
0xfffffff00839892c: 010080d2  mov	x1, #0
0xfffffff008398930: f10309aa  mov	x17, x9
0xfffffff008398934: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008398938: 11093fd7  blraa	x8, x17
0xfffffff00839893c: fa0300aa  mov	x26, x0
0xfffffff008398940: aaaeffd0  adrp	x10, #0xfffffff00796e000
0xfffffff008398944: a9aeffd0  adrp	x9, #0xfffffff00796e000
0xfffffff008398948: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff00839894c: a80100b4  cbz	x8, #0xfffffff008398980
0xfffffff008398950: 081140f9  ldr	x8, [x8, #0x20]
0xfffffff008398954: 680300b4  cbz	x8, #0xfffffff0083989c0
0xfffffff008398958: f00308aa  mov	x16, x8
0xfffffff00839895c: 519a80d2  mov	x17, #0x4d2
0xfffffff008398960: 3012c1da  autia	x16, x17
0xfffffff008398964: f10310aa  mov	x17, x16
0xfffffff008398968: f143c1da  xpaci	x17
